idx,facility_name,grade_range,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,authority_type,address_str,street_addr,city,postal_code,province,provider,address_str_clean,street_no,street_name
457,RIVERSIDE SCHOOL,1-9,0,0,1,1,0,NON-FUNDED SCHOOLS,BOX 136 ELMA R0E 0Z0 MB,BOX 136,ELMA,R0E 0Z0,MB,Province of Manitoba,elma r0e 0z0 mb,,elma
458,ROCK LAKE SCHOOL,1-9,0,0,1,1,0,NON-FUNDED SCHOOLS,BOX 69 CARTWRIGHT R0K 0L0 MB,BOX 69,CARTWRIGHT,R0K 0L0,MB,Province of Manitoba,cartwright r0k 0l0 mb,,
459,SHADY OAK CHRISTIAN SCHOOL,K-9,0,1,1,1,0,NON-FUNDED SCHOOLS,BOX 14 BIRNIE R0J 0J0 MB,BOX 14,BIRNIE,R0J 0J0,MB,Province of Manitoba,birnie r0j 0j0 mb,,
460,SOLID ROCK MINISTRIES CHRISTIAN SCHOOL,K-12,0,1,1,1,1,NON-FUNDED SCHOOLS,125 - 4TH AVENUE PORTAGE LA PRAIRIE R1N 0E9 MB,125 - 4TH AVENUE,PORTAGE LA PRAIRIE,R1N 0E9,MB,Province of Manitoba,125 4th avenue portage la prairie r1n 0e9 mb,125,4th avenue
461,STONY CREEK SCHOOL,1-9,0,0,1,1,0,NON-FUNDED SCHOOLS,BOX 5 SINCLAIR R0M 2A0 MB,BOX 5,SINCLAIR,R0M 2A0,MB,Province of Manitoba,sinclair r0m 2a0 mb,,
462,SUNFLOWER VALLEY CHRISTIAN SCHOOL,1-9,0,0,1,1,0,NON-FUNDED SCHOOLS,BOX 2484 ALTONA R0G 0B0 MB,BOX 2484,ALTONA,R0G 0B0,MB,Province of Manitoba,altona r0g 0b0 mb,,
463,TWELVE TRIBES SCHOOL,1-12,0,0,1,1,1,NON-FUNDED SCHOOLS,89 EAST GATE WINNIPEG R3C 2C2 MB,89 EAST GATE,WINNIPEG,R3C 2C2,MB,Province of Manitoba,89 east gate winnipeg r3c 2c2 mb,89,east gate
464,TWIN RIVERS COUNTRY SCHOOL,1-9,0,0,1,1,0,NON-FUNDED SCHOOLS,BOX 30 ELMA R0E 0Z0 MB,BOX 30,ELMA,R0E 0Z0,MB,Province of Manitoba,elma r0e 0z0 mb,,elma
465,VALLEY MENNONITE ACADEMY,K-12,0,1,1,1,1,NON-FUNDED SCHOOLS,BOX 139 GRP 7 RR 1 WINKLER R6W 4A1 MB,BOX 139 GRP 7 RR 1,WINKLER,R6W 4A1,MB,Province of Manitoba,grp 7 rr 1 winkler r6w 4a1 mb,,grp 7 rr 1 winkler
466,WILD ROSE SCHOOL,1-9,0,0,1,1,0,NON-FUNDED SCHOOLS,33157 ROAD 27E KLEEFELD R0A 0V1 MB,33157 ROAD 27E,KLEEFELD,R0A 0V1,MB,Province of Manitoba,33157 road 27e kleefeld r0a 0v1 mb,33157,road 27e kleefeld r0a
467,WILLOW GROVE SCHOOL,K-9,0,1,1,1,0,NON-FUNDED SCHOOLS,BOX 59 BEAUSEJOUR R0E 0C0 MB,BOX 59,BEAUSEJOUR,R0E 0C0,MB,Province of Manitoba,beausejour r0e 0c0 mb,,
468,WINNIPEG MONTESSORI SCHOOL INC.,K-K,0,1,0,0,0,NON-FUNDED SCHOOLS,1525 WILSON PLACE WINNIPEG R3T 4H1 MB,1525 WILSON PLACE,WINNIPEG,R3T 4H1,MB,Province of Manitoba,1525 wilson place winnipeg r3t 4h1 mb,1525,wilson place
469,BINSCARTH ELEMENTARY,K-8,0,1,1,1,0,PARK WEST SCHOOL DIVISION,BOX 130 BINSCARTH R0J 0G0 MB,BOX 130,BINSCARTH,R0J 0G0,MB,Province of Manitoba,binscarth r0j 0g0 mb,,
470,BIRTLE COLLEGIATE,5-12,0,0,1,1,1,PARK WEST SCHOOL DIVISION,BOX 370 BIRTLE R0M 0C0 MB,BOX 370,BIRTLE,R0M 0C0,MB,Province of Manitoba,birtle r0m 0c0 mb,,
471,BIRTLE ELEMENTARY,K-4,0,1,1,0,0,PARK WEST SCHOOL DIVISION,BOX 340 BIRTLE R0M 0C0 MB,BOX 340,BIRTLE,R0M 0C0,MB,Province of Manitoba,birtle r0m 0c0 mb,,
472,DECKER COLONY SCHOOL,K-12,0,1,1,1,1,PARK WEST SCHOOL DIVISION,DECKER COLONY BOX 8 DECKER R0M 0K0 MB,DECKER COLONY,DECKER,R0M 0K0,MB,Province of Manitoba,decker colony decker r0m 0k0 mb,,
473,HAMIOTA COLLEGIATE,6-12,0,0,1,1,1,PARK WEST SCHOOL DIVISION,BOX 200 HAMIOTA R0M 0T0 MB,BOX 200,HAMIOTA,R0M 0T0,MB,Province of Manitoba,hamiota r0m 0t0 mb,,
474,HAMIOTA ELEMENTARY,K-5,0,1,1,0,0,PARK WEST SCHOOL DIVISION,BOX 427 HAMIOTA R0M 0T0 MB,BOX 427,HAMIOTA,R0M 0T0,MB,Province of Manitoba,hamiota r0m 0t0 mb,,
475,INGLIS ELEMENTARY,K-8,0,1,1,1,0,PARK WEST SCHOOL DIVISION,BOX 30 INGLIS R0J 0X0 MB,BOX 30,INGLIS,R0J 0X0,MB,Province of Manitoba,inglis r0j 0x0 mb,,inglis
476,MAJOR PRATT SCHOOL,K-12,0,1,1,1,1,PARK WEST SCHOOL DIVISION,GENERAL DELIVERY RUSSELL R0J 1W0 MB,GENERAL DELIVERY,RUSSELL,R0J 1W0,MB,Province of Manitoba,general delivery russell r0j 1w0 mb,,general delivery
477,MINIOTA SCHOOL,K-8,0,1,1,1,0,PARK WEST SCHOOL DIVISION,BOX 190 MINIOTA R0M 1M0 MB,BOX 190,MINIOTA,R0M 1M0,MB,Province of Manitoba,miniota r0m 1m0 mb,,
478,MONARCH COLONY SCHOOL,K-12,0,1,1,1,1,PARK WEST SCHOOL DIVISION,MONARCH COLONY FARMS LTD. BOX 226 FOXWARREN R0J 0R0 MB,MONARCH COLONY FARMS LTD.,FOXWARREN,R0J 0R0,MB,Province of Manitoba,monarch colony farms ltd foxwarren r0j 0r0 mb,,foxwarren
479,ROSSBURN COLLEGIATE,9-12,0,0,0,1,1,PARK WEST SCHOOL DIVISION,BOX 370 ROSSBURN R0J 1V0 MB,BOX 370,ROSSBURN,R0J 1V0,MB,Province of Manitoba,rossburn r0j 1v0 mb,,
480,ROSSBURN ELEMENTARY,K-8,0,1,1,1,0,PARK WEST SCHOOL DIVISION,BOX 160 ROSSBURN R0J 1V0 MB,BOX 160,ROSSBURN,R0J 1V0,MB,Province of Manitoba,rossburn r0j 1v0 mb,,
481,SHOAL LAKE SCHOOL,K-12,0,1,1,1,1,PARK WEST SCHOOL DIVISION,BOX 10 SHOAL LAKE R0J 1Z0 MB,BOX 10,SHOAL LAKE,R0J 1Z0,MB,Province of Manitoba,shoal lake r0j 1z0 mb,,
482,STRATHCLAIR COMMUNITY SCHOOL,K-12,0,1,1,1,1,PARK WEST SCHOOL DIVISION,BOX 130 STRATHCLAIR R0J 2C0 MB,BOX 130,STRATHCLAIR,R0J 2C0,MB,Province of Manitoba,strathclair r0j 2c0 mb,,
483,WAYWAYSEECAPPO COMMUNITY SCHOOL,N-8,1,1,1,1,0,PARK WEST SCHOOL DIVISION,BOX 9 WAYWAYSEECAPPO R0J 1S0 MB,BOX 9,WAYWAYSEECAPPO,R0J 1S0,MB,Province of Manitoba,waywayseecappo r0j 1s0 mb,,
484,ACADIA JUNIOR HIGH SCHOOL,7-9,0,0,0,1,0,PEMBINA TRAILS SCHOOL DIVISION,175 KILLARNEY AVENUE WINNIPEG R3T 3B3 MB,175 KILLARNEY AVENUE,WINNIPEG,R3T 3B3,MB,Province of Manitoba,175 killarney avenue winnipeg r3t 3b3 mb,175,killarney avenue
485,ARTHUR A. LEACH JUNIOR HIGH,5-9,0,0,1,1,0,PEMBINA TRAILS SCHOOL DIVISION,1827 CHANCELLOR DRIVE WINNIPEG R3T 4C4 MB,1827 CHANCELLOR DRIVE,WINNIPEG,R3T 4C4,MB,Province of Manitoba,1827 chancellor drive winnipeg r3t 4c4 mb,1827,chancellor drive
486,BAIRDMORE SCHOOL,K-6,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,700 BAIRDMORE BOULEVARD WINNIPEG R3T 5R3 MB,700 BAIRDMORE BOULEVARD,WINNIPEG,R3T 5R3,MB,Province of Manitoba,700 bairdmore boulevard winnipeg r3t 5r3 mb,700,bairdmore boulevard
487,BEAUMONT SCHOOL,K-5,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,5880 BETSWORTH AVENUE WINNIPEG R3R 0J7 MB,5880 BETSWORTH AVENUE,WINNIPEG,R3R 0J7,MB,Province of Manitoba,5880 betsworth avenue winnipeg r3r 0j7 mb,5880,betsworth avenue
488,BEAVERLODGE SCHOOL,K-5,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,6691 RANNOCK AVENUE WINNIPEG R3R 1Z3 MB,6691 RANNOCK AVENUE,WINNIPEG,R3R 1Z3,MB,Province of Manitoba,6691 rannock avenue winnipeg r3r 1z3 mb,6691,rannock avenue
489,CHANCELLOR ELEMENTARY,K-6,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,1520 CHANCELLOR DRIVE WINNIPEG R3T 4P8 MB,1520 CHANCELLOR DRIVE,WINNIPEG,R3T 4P8,MB,Province of Manitoba,1520 chancellor drive winnipeg r3t 4p8 mb,1520,chancellor drive
490,DALHOUSIE SCHOOL,K-6,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,262 DALHOUSIE DRIVE WINNIPEG R3T 2Z1 MB,262 DALHOUSIE DRIVE,WINNIPEG,R3T 2Z1,MB,Province of Manitoba,262 dalhousie drive winnipeg r3t 2z1 mb,262,dalhousie drive
491,ÉCOLE CHARLESWOOD SCHOOL,5-8,0,0,1,1,0,PEMBINA TRAILS SCHOOL DIVISION,505 OAKDALE DRIVE WINNIPEG R3R 0Z9 MB,505 OAKDALE DRIVE,WINNIPEG,R3R 0Z9,MB,Province of Manitoba,505 oakdale drive winnipeg r3r 0z9 mb,505,oakdale drive
492,ÉCOLE CRANE,M-4,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,888 AVENUE CRANE WINNIPEG R3T 1T9 MB,888 AVENUE CRANE,WINNIPEG,R3T 1T9,MB,Province of Manitoba,888 avenue crane winnipeg r3t 1t9 mb,888,avenue crane
493,ÉCOLE DIEPPE,M-4,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,530 CHEMIN DIEPPE WINNIPEG R3R 1C4 MB,530 CHEMIN DIEPPE,WINNIPEG,R3R 1C4,MB,Province of Manitoba,530 chemin dieppe winnipeg r3r 1c4 mb,530,chemin dieppe
494,ÉCOLE SAINT-AVILA,M-6,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,633 AVENUE PATRICIA WINNIPEG R3T 3A8 MB,633 AVENUE PATRICIA,WINNIPEG,R3T 3A8,MB,Province of Manitoba,633 avenue patricia winnipeg r3t 3a8 mb,633,avenue patricia
495,ÉCOLE SOUTH POINTE SCHOOL,K-8,0,1,1,1,0,PEMBINA TRAILS SCHOOL DIVISION,615 KIRKBRIDGE DRIVE WINNIPEG R3T 6B4 MB,615 KIRKBRIDGE DRIVE,WINNIPEG,R3T 6B4,MB,Province of Manitoba,615 kirkbridge drive winnipeg r3t 6b4 mb,615,kirkbridge drive
496,ÉCOLE TUXEDO PARK,M-4,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,2300 AVENUE CORYDON WINNIPEG R3P 0N6 MB,2300 AVENUE CORYDON,WINNIPEG,R3P 0N6,MB,Province of Manitoba,2300 avenue corydon winnipeg r3p 0n6 mb,2300,avenue corydon
497,ÉCOLE VISCOUNT ALEXANDER,5-8,0,0,1,1,0,PEMBINA TRAILS SCHOOL DIVISION,810 AVENUE WATERFORD WINNIPEG R3T 1G7 MB,810 AVENUE WATERFORD,WINNIPEG,R3T 1G7,MB,Province of Manitoba,810 avenue waterford winnipeg r3t 1g7 mb,810,avenue
498,FORT RICHMOND COLLEGIATE,10-12,0,0,0,0,1,PEMBINA TRAILS SCHOOL DIVISION,99 KILLARNEY AVENUE WINNIPEG R3T 3B3 MB,99 KILLARNEY AVENUE,WINNIPEG,R3T 3B3,MB,Province of Manitoba,99 killarney avenue winnipeg r3t 3b3 mb,99,killarney avenue
499,GENERAL BYNG SCHOOL,K-9,0,1,1,1,0,PEMBINA TRAILS SCHOOL DIVISION,1250 BEAUMONT STREET WINNIPEG R3T 0L8 MB,1250 BEAUMONT STREET,WINNIPEG,R3T 0L8,MB,Province of Manitoba,1250 beaumont street winnipeg r3t 0l8 mb,1250,beaumont street
500,HENRY G. IZATT MIDDLE SCHOOL,5-9,0,0,1,1,0,PEMBINA TRAILS SCHOOL DIVISION,960 SCURFIELD BLVD. WINNIPEG R3Y 1N6 MB,960 SCURFIELD BLVD.,WINNIPEG,R3Y 1N6,MB,Province of Manitoba,960 scurfield blvd winnipeg r3y 1n6 mb,960,scurfield blvd
501,LAIDLAW SCHOOL,K-8,0,1,1,1,0,PEMBINA TRAILS SCHOOL DIVISION,515 LAIDLAW BOULEVARD WINNIPEG R3P 0L2 MB,515 LAIDLAW BOULEVARD,WINNIPEG,R3P 0L2,MB,Province of Manitoba,515 laidlaw boulevard winnipeg r3p 0l2 mb,515,laidlaw boulevard
502,LINDEN MEADOWS SCHOOL,K-8,0,1,1,1,0,PEMBINA TRAILS SCHOOL DIVISION,335 LINDENWOOD DRIVE EAST WINNIPEG R3P 2H1 MB,335 LINDENWOOD DRIVE EAST,WINNIPEG,R3P 2H1,MB,Province of Manitoba,335 lindenwood drive east winnipeg r3p 2h1 mb,335,lindenwood drive east
503,OAK PARK HIGH,9-12,0,0,0,1,1,PEMBINA TRAILS SCHOOL DIVISION,820 CHARLESWOOD ROAD WINNIPEG R3R 1K6 MB,820 CHARLESWOOD ROAD,WINNIPEG,R3R 1K6,MB,Province of Manitoba,820 charleswood road winnipeg r3r 1k6 mb,820,charleswood road
504,OAKENWALD SCHOOL,K-6,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,666 OAKENWALD AVENUE WINNIPEG R3T 1M4 MB,666 OAKENWALD AVENUE,WINNIPEG,R3T 1M4,MB,Province of Manitoba,666 oakenwald avenue winnipeg r3t 1m4 mb,666,oakenwald avenue
505,PACIFIC JUNCTION SCHOOL,K-5,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,715 CATHCART STREET WINNIPEG R3R 3M7 MB,715 CATHCART STREET,WINNIPEG,R3R 3M7,MB,Province of Manitoba,715 cathcart street winnipeg r3r 3m7 mb,715,cathcart street
506,PEMBINA TRAILS ALTERNATIVE HIGH SCHOOL,11-12,0,0,0,0,1,PEMBINA TRAILS SCHOOL DIVISION,315 CHANCELLOR MATHESON ROAD WINNIPEG R3T 1Z2 MB,315 CHANCELLOR MATHESON ROAD,WINNIPEG,R3T 1Z2,MB,Province of Manitoba,315 chancellor matheson road winnipeg r3t 1z2 mb,315,chancellor matheson road
507,R.H.G. BONNYCASTLE SCHOOL,K-4,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,1100 CHANCELLOR DRIVE WINNIPEG R3T 4W8 MB,1100 CHANCELLOR DRIVE,WINNIPEG,R3T 4W8,MB,Province of Manitoba,1100 chancellor drive winnipeg r3t 4w8 mb,1100,chancellor drive
508,RALPH MAYBANK SCHOOL,K-6,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,20 DONNELLY STREET WINNIPEG R3T 0S4 MB,20 DONNELLY STREET,WINNIPEG,R3T 0S4,MB,Province of Manitoba,20 donnelly street winnipeg r3t 0s4 mb,20,donnelly street
509,RIVER WEST PARK SCHOOL,K-8,0,1,1,1,0,PEMBINA TRAILS SCHOOL DIVISION,30 STACK STREET WINNIPEG R3R 2H3 MB,30 STACK STREET,WINNIPEG,R3R 2H3,MB,Province of Manitoba,30 stack street winnipeg r3r 2h3 mb,30,stack street
510,ROYAL SCHOOL,K-5,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,450 LAXDAL ROAD WINNIPEG R3R 0W4 MB,450 LAXDAL ROAD,WINNIPEG,R3R 0W4,MB,Province of Manitoba,450 laxdal road winnipeg r3r 0w4 mb,450,laxdal road
511,RYERSON ELEMENTARY,K-6,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,10 RYERSON AVENUE WINNIPEG R3T 3P9 MB,10 RYERSON AVENUE,WINNIPEG,R3T 3P9,MB,Province of Manitoba,10 ryerson avenue winnipeg r3t 3p9 mb,10,ryerson avenue
512,SHAFTESBURY HIGH,9-12,0,0,0,1,1,PEMBINA TRAILS SCHOOL DIVISION,2240 GRANT AVENUE WINNIPEG R3P 0P7 MB,2240 GRANT AVENUE,WINNIPEG,R3P 0P7,MB,Province of Manitoba,2240 grant avenue winnipeg r3p 0p7 mb,2240,grant avenue
513,VAN WALLEGHEM SCHOOL,K-8,0,1,1,1,0,PEMBINA TRAILS SCHOOL DIVISION,1 PRINCEMERE ROAD WINNIPEG R3P 1K9 MB,1 PRINCEMERE ROAD,WINNIPEG,R3P 1K9,MB,Province of Manitoba,1 princemere road winnipeg r3p 1k9 mb,1,princemere road
514,VINCENT MASSEY COLLEGIATE,9-12,0,0,0,1,1,PEMBINA TRAILS SCHOOL DIVISION,975 DOWKER AVENUE WINNIPEG R3T 1R7 MB,975 DOWKER AVENUE,WINNIPEG,R3T 1R7,MB,Province of Manitoba,975 dowker avenue winnipeg r3t 1r7 mb,975,dowker avenue
515,WESTDALE JUNIOR HIGH,6-8,0,0,1,1,0,PEMBINA TRAILS SCHOOL DIVISION,6720 BETSWORTH AVENUE WINNIPEG R3R 1W3 MB,6720 BETSWORTH AVENUE,WINNIPEG,R3R 1W3,MB,Province of Manitoba,6720 betsworth avenue winnipeg r3r 1w3 mb,6720,betsworth avenue
516,WESTGROVE SCHOOL,K-5,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,50 WESTGROVE WAY WINNIPEG R3R 1R7 MB,50 WESTGROVE WAY,WINNIPEG,R3R 1R7,MB,Province of Manitoba,50 westgrove way winnipeg r3r 1r7 mb,50,westgrove way
517,WHYTE RIDGE ELEMENTARY,K-4,0,1,1,0,0,PEMBINA TRAILS SCHOOL DIVISION,400 SCURFIELD BOULEVARD WINNIPEG R3Y 1L3 MB,400 SCURFIELD BOULEVARD,WINNIPEG,R3Y 1L3,MB,Province of Manitoba,400 scurfield boulevard winnipeg r3y 1l3 mb,400,scurfield boulevard
518,AUSTIN ELEMENTARY,K-8,0,1,1,1,0,PINE CREEK SCHOOL DIVISION,BOX 130 AUSTIN R0H 0C0 MB,BOX 130,AUSTIN,R0H 0C0,MB,Province of Manitoba,austin r0h 0c0 mb,,
519,BEAVER CREEK SCHOOL,K-12,0,1,1,1,1,PINE CREEK SCHOOL DIVISION,ASPENHEIM COLONY BOX 179 AUSTIN R0H 0C0 MB,ASPENHEIM COLONY,AUSTIN,R0H 0C0,MB,Province of Manitoba,aspenheim colony austin r0h 0c0 mb,,
520,CASCADE COLONY SCHOOL,K-12,0,1,1,1,1,PINE CREEK SCHOOL DIVISION,BOX 179 AUSTIN R0H 0C0 MB,BOX 179,AUSTIN,R0H 0C0,MB,Province of Manitoba,austin r0h 0c0 mb,,
521,EMERALD COLONY SCHOOL,K-12,0,1,1,1,1,PINE CREEK SCHOOL DIVISION,SE 35-14-12W BOX 179 AUSTIN R0H 0C0 MB,SE 35-14-12W,AUSTIN,R0H 0C0,MB,Province of Manitoba,se 35 14 12w austin r0h 0c0 mb,14,12w
522,FOREST HOME SCHOOL,K-12,0,1,1,1,1,PINE CREEK SCHOOL DIVISION,RIVERDALE COLONY BOX 179 AUSTIN R0H 0C0 MB,RIVERDALE COLONY,AUSTIN,R0H 0C0,MB,Province of Manitoba,riverdale colony austin r0h 0c0 mb,,riverdale colony
523,GLADSTONE ELEMENTARY,K-6,0,1,1,0,0,PINE CREEK SCHOOL DIVISION,BOX 690 GLADSTONE R0J 0T0 MB,BOX 690,GLADSTONE,R0J 0T0,MB,Province of Manitoba,gladstone r0j 0t0 mb,,
524,HIDDEN VALLEY SCHOOL,K-12,0,1,1,1,1,PINE CREEK SCHOOL DIVISION,HIDDEN VALLEY COLONY BOX 179 AUSTIN R0H 0C0 MB,HIDDEN VALLEY COLONY,AUSTIN,R0H 0C0,MB,Province of Manitoba,hidden valley colony austin r0h 0c0 mb,,hidden valley colony
525,LANGRUTH ELEMENTARY,K-8,0,1,1,1,0,PINE CREEK SCHOOL DIVISION,BOX 148 LANGRUTH R0H 0N0 MB,BOX 148,LANGRUTH,R0H 0N0,MB,Province of Manitoba,langruth r0h 0n0 mb,,
526,MACGREGOR COLLEGIATE,9-12,0,0,0,1,1,PINE CREEK SCHOOL DIVISION,BOX 160 MACGREGOR R0H 0R0 MB,BOX 160,MACGREGOR,R0H 0R0,MB,Province of Manitoba,macgregor r0h 0r0 mb,,
527,MACGREGOR ELEMENTARY,K-8,0,1,1,1,0,PINE CREEK SCHOOL DIVISION,BOX 10 MACGREGOR R0H 0R0 MB,BOX 10,MACGREGOR,R0H 0R0,MB,Province of Manitoba,macgregor r0h 0r0 mb,,
528,MULLER SCHOOL,K-12,0,1,1,1,1,PINE CREEK SCHOOL DIVISION,BOX 179 AUSTIN R0H 0C0 MB,BOX 179,AUSTIN,R0H 0C0,MB,Province of Manitoba,austin r0h 0c0 mb,,
529,PLUMAS ELEMENTARY,K-8,0,1,1,1,0,PINE CREEK SCHOOL DIVISION,BOX 40 PLUMAS R0J 1P0 MB,BOX 40,PLUMAS,R0J 1P0,MB,Province of Manitoba,plumas r0j 1p0 mb,,
530,WEST PLAINS SCHOOL,K-12,0,1,1,1,1,PINE CREEK SCHOOL DIVISION,BOX 179 AUSTIN R0H 0C0 MB,BOX 179,AUSTIN,R0H 0C0,MB,Province of Manitoba,austin r0h 0c0 mb,,
531,WILLIAM MORTON COLLEGIATE,7-12,0,0,0,1,1,PINE CREEK SCHOOL DIVISION,BOX 510 GLADSTONE R0J 0T0 MB,BOX 510,GLADSTONE,R0J 0T0,MB,Province of Manitoba,gladstone r0j 0t0 mb,,
532,BRANTWOOD SCHOOL,K-12,0,1,1,1,1,PORTAGE LA PRAIRIE SCHOOL DIVISION,BRANTWOOD COLONY 65 - 3RD STREET SW PORTAGE LA PRAIRIE R1N 2B6 MB,BRANTWOOD COLONY,PORTAGE LA PRAIRIE,R1N 2B6,MB,Province of Manitoba,brantwood colony 65 3rd street sw portage la prairie r1n 2b6 mb,65,3rd street sw
533,BRENNAN SCHOOL,K-12,0,1,1,1,1,PORTAGE LA PRAIRIE SCHOOL DIVISION,ELM RIVER COLONY-NEWTON SIDING 65 - 3RD STREET SW PORTAGE LA PRAIRIE R1N 2B6 MB,ELM RIVER COLONY-NEWTON SIDING,PORTAGE LA PRAIRIE,R1N 2B6,MB,Province of Manitoba,elm river colony newton siding 65 3rd street sw portage la prairie r1n 2b6 mb,65,3rd street sw
534,ÉCOLE ARTHUR MEIGHEN SCHOOL,5-8,0,0,1,1,0,PORTAGE LA PRAIRIE SCHOOL DIVISION,201 RIVER ROAD PORTAGE LA PRAIRIE R1N 3W2 MB,201 RIVER ROAD,PORTAGE LA PRAIRIE,R1N 3W2,MB,Province of Manitoba,201 river road portage la prairie r1n 3w2 mb,201,river road
535,ÉCOLE CRESCENTVIEW SCHOOL,K-4,0,1,1,0,0,PORTAGE LA PRAIRIE SCHOOL DIVISION,751 CRESCENT ROAD EAST PORTAGE LA PRAIRIE R1N 0Y2 MB,751 CRESCENT ROAD EAST,PORTAGE LA PRAIRIE,R1N 0Y2,MB,Province of Manitoba,751 crescent road east portage la prairie r1n 0y2 mb,751,crescent road east
536,FORT LA REINE SCHOOL,K-6,0,1,1,0,0,PORTAGE LA PRAIRIE SCHOOL DIVISION,36 - 13TH STREET N.W. PORTAGE LA PRAIRIE R1N 2T5 MB,36 - 13TH STREET N.W.,PORTAGE LA PRAIRIE,R1N 2T5,MB,Province of Manitoba,36 13th street nw portage la prairie r1n 2t5 mb,36,13th street nw
537,GOOD HOPE COLONY SCHOOL,K-12,0,1,1,1,1,PORTAGE LA PRAIRIE SCHOOL DIVISION,GOOD HOPE COLONY 65 - 3RD STREET SW PORTAGE LA PRAIRIE R1N 2B6 MB,GOOD HOPE COLONY,PORTAGE LA PRAIRIE,R1N 2B6,MB,Province of Manitoba,good hope colony 65 3rd street sw portage la prairie r1n 2b6 mb,65,3rd street sw
538,INGLESIDE SCHOOL,K-12,0,1,1,1,1,PORTAGE LA PRAIRIE SCHOOL DIVISION,GRANDE COLONY (OAKVILLE) 65 - 3RD STREET SW PORTAGE LA PRAIRIE R1N 2B6 MB,GRANDE COLONY (OAKVILLE),PORTAGE LA PRAIRIE,R1N 2B6,MB,Province of Manitoba,grande colony 65 3rd street sw portage la prairie r1n 2b6 mb,65,3rd street sw
539,LA VERENDRYE SCHOOL,K-8,0,1,1,1,0,PORTAGE LA PRAIRIE SCHOOL DIVISION,500 - 7TH AVENUE N.W. PORTAGE LA PRAIRIE R1N 0A5 MB,500 - 7TH AVENUE N.W.,PORTAGE LA PRAIRIE,R1N 0A5,MB,Province of Manitoba,500 7th avenue nw portage la prairie r1n 0a5 mb,500,7th avenue nw
540,NORQUAY COLONY SCHOOL,K-12,0,1,1,1,1,PORTAGE LA PRAIRIE SCHOOL DIVISION,C/O PORTAGE LA PRARIE SD 65 - 3RD STREET SW PORTAGE LA PRAIRIE R1N 2B6 MB,C/O PORTAGE LA PRARIE SD,PORTAGE LA PRAIRIE,R1N 2B6,MB,Province of Manitoba,c/o portage la prarie sd 65 3rd street sw portage la prairie r1n 2b6 mb,,c/o portage la prarie sd 65 3rd street sw
541,NORTH MEMORIAL SCHOOL,K-6,0,1,1,0,0,PORTAGE LA PRAIRIE SCHOOL DIVISION,410 - 6TH AVENUE N.E. PORTAGE LA PRAIRIE R1N 0B4 MB,410 - 6TH AVENUE N.E.,PORTAGE LA PRAIRIE,R1N 0B4,MB,Province of Manitoba,410 6th avenue ne portage la prairie r1n 0b4 mb,410,6th avenue ne
542,NORTHERN BREEZE COLONY SCHOOL,K-12,0,1,1,1,1,PORTAGE LA PRAIRIE SCHOOL DIVISION,C/O PORTAGE LA PRAIRIE SD 65 - 3RD STREET SW PORTAGE LA PRAIRIE R1N 2B6 MB,C/O PORTAGE LA PRAIRIE SD,PORTAGE LA PRAIRIE,R1N 2B6,MB,Province of Manitoba,c/o portage la prairie sd 65 3rd street sw portage la prairie r1n 2b6 mb,,c/o portage la prairie sd 65 3rd street sw
543,OAKVILLE SCHOOL,K-8,0,1,1,1,0,PORTAGE LA PRAIRIE SCHOOL DIVISION,BOX 130 OAKVILLE R0H 0Y0 MB,BOX 130,OAKVILLE,R0H 0Y0,MB,Province of Manitoba,oakville r0h 0y0 mb,,
544,PORTAGE COLLEGIATE INSTITUTE,9-12,0,0,0,1,1,PORTAGE LA PRAIRIE SCHOOL DIVISION,65 - 3RD STREET S.W. PORTAGE LA PRAIRIE R1N 2B6 MB,65 - 3RD STREET S.W.,PORTAGE LA PRAIRIE,R1N 2B6,MB,Province of Manitoba,65 3rd street sw portage la prairie r1n 2b6 mb,65,3rd street sw
545,SOMMERFELD COLONY SCHOOL,K-12,0,1,1,1,1,PORTAGE LA PRAIRIE SCHOOL DIVISION,SOMMERFELD COLONY (HIGH BLUFF) 65 - 3RD STREET SW PORTAGE LA PRAIRIE R1N 2B6 MB,SOMMERFELD COLONY (HIGH BLUFF),PORTAGE LA PRAIRIE,R1N 2B6,MB,Province of Manitoba,sommerfeld colony 65 3rd street sw portage la prairie r1n 2b6 mb,65,3rd street sw
