idx,facility_name,source_id,authority_type,ISCED1,ISCED2,ISCED3,address_str,city,province,postal_code,provider,address_str_clean,street_no,street_name
1375,Ermineskin Kindergarten,4284,Federal First Nations,N,N,N,P.O. Box 600 Maskwacis AB T0C1N0,Maskwacis,AB,T0C1N0,Province of Alberta,maskwacis ab t0c1n0,,
1376,Echo Valley Christian School,4285,Private School,N,N,N,P.O. Box 19 Bluffton AB T0C0M0,Bluffton,AB,T0C0M0,Province of Alberta,bluffton ab t0c0m0,,
1377,Grace Marie Swampy Memorial Primary School,4287,Federal First Nations,Y,N,N,P.O. Box 1350 Maskwacis AB T0C1N0,Maskwacis,AB,T0C1N0,Province of Alberta,maskwacis ab t0c1n0,,
1378,Nipisihkopahk Secondary School,4288,Federal First Nations,N,Y,Y,P.O. Box 990 Maskwacis AB T0C1N0,Maskwacis,AB,T0C1N0,Province of Alberta,maskwacis ab t0c1n0,,
1379,Maskwachees Cultural School,4289,Private School,N,N,Y,P.O. Box 960 Maskwacis AB T0C1N0,Maskwacis,AB,T0C1N0,Province of Alberta,maskwacis ab t0c1n0,,
1380,Ermineskin Junior Senior High School,4290,Federal First Nations,N,Y,Y,P.O. Box 249 Maskwacis AB T0C1N0,Maskwacis,AB,T0C1N0,Province of Alberta,maskwacis ab t0c1n0,,
1381,Ermineskin Elementary School,4291,Federal First Nations,Y,N,N,P.O. Box 420 Maskwacis AB T0C1N0,Maskwacis,AB,T0C1N0,Province of Alberta,maskwacis ab t0c1n0,,
1382,Nipisihkopahk Elementary School,4292,Federal First Nations,Y,N,N,P.O. Box 369 Maskwacis AB T0C1N0,Maskwacis,AB,T0C1N0,Province of Alberta,maskwacis ab t0c1n0,,
1383,Woodlands Adventist School,4293,Private School,Y,Y,N,"Box 16, Site 2, R.R. 3 Ponoka AB T4J1R3",Ponoka,AB,T4J1R3,Province of Alberta,site 2 rr 3 ponoka ab t4j1r3,,rr 3
1384,Ponoka Christian School,4294,Private School,Y,Y,N,6300 - 50 Street Ponoka AB T4J1V3,Ponoka,AB,T4J1V3,Province of Alberta,6300 50 street ponoka ab t4j1v3,6300,50 street
1385,Rimbey Christian School,4298,Private School,Y,Y,N,P.O. Box 90 Rimbey AB T0C2J0,Rimbey,AB,T0C2J0,Province of Alberta,rimbey ab t0c2j0,,
1386,Wolf Creek Education Centre,4299,Public,N,N,Y,P.O. Box 1000 Ponoka AB T4J1R8,Ponoka,AB,T4J1R8,Province of Alberta,ponoka ab t4j1r8,,
1387,Alix (Mirror and Alix Central),4301,Public,Y,Y,Y,P.O. Box 160 Alix AB T0C0B0,Alix,AB,T0C0B0,Province of Alberta,alix ab t0c0b0,,
1388,Bentley School,4302,Public,Y,Y,Y,P.O. Box 299 Bentley AB T0C0J0,Bentley,AB,T0C0J0,Province of Alberta,bentley ab t0c0j0,,
1389,Iron Ridge Junior Campus,4304,Public,N,Y,N,P.O. Box 1240 Blackfalds AB T0M0J0,Blackfalds,AB,T0M0J0,Province of Alberta,blackfalds ab t0m0j0,,
1390,Clive School,4305,Public,Y,Y,N,General Delivery Clive AB T0C0Y0,Clive,AB,T0C0Y0,Province of Alberta,general delivery clive ab t0c0y0,,
1391,Eckville Junior Senior High School,4306,Public,N,Y,Y,P.O. Box 360 Eckville AB T0M0X0,Eckville,AB,T0M0X0,Province of Alberta,eckville ab t0m0x0,,
1392,Ecole Secondaire Lacombe Composite High School,4307,Public,N,N,Y,5628 - 56 Avenue Lacombe AB T4L1G6,Lacombe,AB,T4L1G6,Province of Alberta,5628 56 avenue lacombe ab t4l1g6,5628,56 avenue
1393,Ecole Lacombe Junior High School,4308,Public,N,Y,N,5830 - 50 Street Lacombe AB T4L1G5,Lacombe,AB,T4L1G5,Province of Alberta,5830 50 street lacombe ab t4l1g5,5830,50 street
1394,Ecole James S. McCormick School,4309,Public,Y,N,N,5424 - 50 Street Lacombe AB T4L1G2,Lacombe,AB,T4L1G2,Province of Alberta,5424 50 street lacombe ab t4l1g2,5424,50 street
1395,Terrace Ridge School,4310,Public,Y,Y,N,6739 C & E Trail Lacombe AB T4L2P2,Lacombe,AB,T4L2P2,Province of Alberta,6739 c & e trail lacombe ab t4l2p2,6739,c & e trail
1396,Eckville Elementary School,4315,Public,Y,N,N,P.O. Box 476 Eckville AB T0M0X0,Eckville,AB,T0M0X0,Province of Alberta,eckville ab t0m0x0,,
1397,Pleasant Valley Colony School,4316,Public,Y,Y,N,R.R. 1 Clive AB T0C0Y0,Clive,AB,T0C0Y0,Province of Alberta,rr 1 clive ab t0c0y0,,rr 1
1398,Leedale Hutterite Colony,4317,Public,Y,Y,N,Box 590 Rimbey AB T0C2J0,Rimbey,AB,T0C2J0,Province of Alberta,rimbey ab t0c2j0,,
1399,Ecole Lacombe Upper Elementary School,4319,Public,Y,N,N,5414 - 50 Street Lacombe AB T4L1G4,Lacombe,AB,T4L1G4,Province of Alberta,5414 50 street lacombe ab t4l1g4,5414,50 street
1400,Alix Colony School,4320,Public,Y,Y,N,P.O. Box 369 Alix AB T0C0B0,Alix,AB,T0C0B0,Province of Alberta,alix ab t0c0b0,,
1401,Home Schooling,4321,Public,N,N,N,"P.O. Bag 6000, Highway 2A Ponoka AB T4J1P6",Ponoka,AB,T4J1P6,Province of Alberta,po bag 6000 highway 2a ponoka ab t4j1p6,6000,highway 2a
1402,Lacombe Outreach School,4322,Public,N,Y,Y,5346 - 50 Avenue Lacombe AB T4L1N5,Lacombe,AB,T4L1N5,Province of Alberta,5346 50 avenue lacombe ab t4l1n5,5346,50 avenue
1403,College Heights Christian School,4390,Private School,Y,Y,N,5201 College Avenue Lacombe AB T4L1Z6,Lacombe,AB,T4L1Z6,Province of Alberta,5201 college avenue lacombe ab t4l1z6,5201,college avenue
1404,Parkview Adventist Academy,4391,Private School,N,N,Y,6940 University Dr Lacombe AB T4L2E7,Lacombe,AB,T4L2E7,Province of Alberta,6940 university dr lacombe ab t4l2e7,6940,university dr
1405,Lacombe Christian School,4392,Private School,Y,Y,N,5206 - 58 Street Lacombe AB T4L1G9,Lacombe,AB,T4L1G9,Province of Alberta,5206 58 street lacombe ab t4l1g9,5206,58 street
1406,Lighthouse Christian School,4394,Private School,Y,Y,Y,4290 50 Street Sylvan Lake AB T4S0H3,Sylvan Lake,AB,T4S0H3,Province of Alberta,4290 50 street sylvan lake ab t4s0h3,4290,50 street
1407,Sunchild First Nation School,4395,Federal First Nations,Y,Y,Y,P.O. Box 1149 Rocky Mountain House AB T4T1A8,Rocky Mountain House,AB,T4T1A8,Province of Alberta,rocky mountain house ab t4t1a8,,
1408,Bowden (Grandview) School,4402,Public,Y,Y,Y,P.O. Box 40 Bowden AB T0M0K0,Bowden,AB,T0M0K0,Province of Alberta,bowden ab t0m0k0,,
1409,Delburne Centralized School,4403,Public,Y,Y,Y,P.O. Box 280 Delburne AB T0M0V0,Delburne,AB,T0M0V0,Province of Alberta,delburne ab t0m0v0,,
1410,Elnora School,4404,Public,Y,Y,N,P.O. Box 530 Elnora AB T0M0Y0,Elnora,AB,T0M0Y0,Province of Alberta,elnora ab t0m0y0,,
1411,Innisfail High School,4405,Public,N,Y,Y,4459 - 51 Avenue Innisfail AB T4G1A8,Innisfail,AB,T4G1A8,Province of Alberta,4459 51 avenue innisfail ab t4g1a8,4459,51 avenue
1412,École John Wilson Elementary School,4406,Public,Y,N,N,4401 - 52 Avenue Innisfail AB T4G1A7,Innisfail,AB,T4G1A7,Province of Alberta,4401 52 avenue innisfail ab t4g1a7,4401,52 avenue
1413,Penhold Elementary School,4407,Public,Y,N,N,P.O. Box 130 Penhold AB T0M1R0,Penhold,AB,T0M1R0,Province of Alberta,penhold ab t0m1r0,,
1414,Pine Hill Colony School,4408,Public,Y,Y,N,R.R. 4 Red Deer AB T4N5E4,Red Deer,AB,T4N5E4,Province of Alberta,rr 4 red deer ab t4n5e4,,rr 4
1415,Spruce View School,4410,Public,Y,Y,Y,P.O. Box 130 Spruce View AB T0M1V0,Spruce View,AB,T0M1V0,Province of Alberta,spruce view ab t0m1v0,,
1416,École H.J. Cody High School,4411,Public,N,Y,Y,4520 - 50 Street Sylvan Lake AB T4S1A4,Sylvan Lake,AB,T4S1A4,Province of Alberta,4520 50 street sylvan lake ab t4s1a4,4520,50 street
1417,C. P. Blakely Elementary School,4412,Public,Y,N,N,4815 - 43 Street Sylvan Lake AB T4S1A3,Sylvan Lake,AB,T4S1A3,Province of Alberta,4815 43 street sylvan lake ab t4s1a3,4815,43 street
1418,Poplar Ridge School,4413,Public,Y,N,N,38458 Rng Rd 283 Red Deer County AB T4E0L9,Red Deer County,AB,T4E0L9,Province of Alberta,38458 rng rd 283 red deer county ab t4e0l9,38458,rng rd 283
1419,Jessie Duncan Elementary School,4414,Public,Y,N,N,Box 29 Penhold AB T0M1R0,Penhold,AB,T0M1R0,Province of Alberta,penhold ab t0m1r0,,
1420,École Steffie Woima Elementary School,4415,Public,Y,N,N,4720 - 45 Avenue Sylvan Lake AB T4S1A5,Sylvan Lake,AB,T4S1A5,Province of Alberta,4720 45 avenue sylvan lake ab t4s1a5,4720,45 avenue
1421,Gasoline Alley Career High School,4416,Public,N,Y,Y,#104 159B Leva Ave Red Deer County AB T4E0A5,Red Deer County,AB,T4E0A5,Province of Alberta,#104 159b leva ave red deer county ab t4e0a5,159b,leva ave
1422,Sylvan Lake Career High School,4417,Public,N,Y,Y,"#6, 1 Sylvan Drive Sylvan Lake AB T4S1J9",Sylvan Lake,AB,T4S1J9,Province of Alberta,#6 1 sylvan drive sylvan lake ab t4s1j9,1,sylvan drive
1423,Chinook's Edge Summer School,4418,Public,N,N,Y,4904 - 50 Street Innisfail AB T4G1W4,Innisfail,AB,T4G1W4,Province of Alberta,4904 50 street innisfail ab t4g1w4,4904,50 street
1424,Didsbury Career High School,4419,Public,N,Y,Y,Box 1800 Didsbury AB T0M0W0,Didsbury,AB,T0M0W0,Province of Alberta,didsbury ab t0m0w0,,
1425,Sundre Learning Centre,4420,Public,N,Y,Y,Postal Bag #2 Sundre AB T0M1X0,Sundre,AB,T0M1X0,Province of Alberta,postal bag #2 sundre ab t0m1x0,,
1426,Innisfail Career High School,4421,Public,N,Y,Y,4404 - 42 Avenue Innisfail AB T4G1P6,Innisfail,AB,T4G1P6,Province of Alberta,4404 42 avenue innisfail ab t4g1p6,4404,42 avenue
1427,Off Campus Learning,4423,Public,Y,Y,N,C 5314 - 46 Street Olds AB T4H1B8,Olds,AB,T4H1B8,Province of Alberta,c 5314 46 street olds ab t4h1b8,,c 5314 46 street
1428,Olds Career High School,4425,Public,N,Y,Y,C 5314 - 46 Street Olds AB T4H1B8,Olds,AB,T4H1B8,Province of Alberta,c 5314 46 street olds ab t4h1b8,,c 5314 46 street
1429,Red Deer School District Home Education,4432,Public,N,N,N,#202 5214 47 Avenue Red Deer AB T4N3P7,Red Deer,AB,T4N3P7,Province of Alberta,#202 5214 47 avenue red deer ab t4n3p7,5214,47 avenue
1430,Hunting Hills High School,4433,Public,N,Y,Y,150 Lockwood Avenue Red Deer AB T4R2M4,Red Deer,AB,T4R2M4,Province of Alberta,150 lockwood avenue red deer ab t4r2m4,150,lockwood avenue
1431,Outreach School Centre,4435,Public,N,N,Y,"#202, 5214 47 Avenue Red Deer AB T4N3P7",Red Deer,AB,T4N3P7,Province of Alberta,#202 5214 47 avenue red deer ab t4n3p7,5214,47 avenue
1432,Annie L Gaetz School,4436,Public,Y,N,N,32 Mitchell Avenue Red Deer AB T4N0L6,Red Deer,AB,T4N0L6,Province of Alberta,32 mitchell avenue red deer ab t4n0l6,32,mitchell avenue
1433,Central Middle School,4437,Public,Y,Y,N,5121 - 48 Avenue Red Deer AB T4N6X3,Red Deer,AB,T4N6X3,Province of Alberta,5121 48 avenue red deer ab t4n6x3,5121,48 avenue
1434,Eastview Middle School,4439,Public,Y,Y,N,3929 - 40 Avenue Red Deer AB T4N2W5,Red Deer,AB,T4N2W5,Province of Alberta,3929 40 avenue red deer ab t4n2w5,3929,40 avenue
1435,Fairview School,4440,Public,Y,N,N,5901 - 55 Street Red Deer AB T4N7C8,Red Deer,AB,T4N7C8,Province of Alberta,5901 55 street red deer ab t4n7c8,5901,55 street
1436,George Wilbert Smith School,4442,Public,Y,N,N,17 Springfield Avenue Red Deer AB T4N0C6,Red Deer,AB,T4N0C6,Province of Alberta,17 springfield avenue red deer ab t4n0c6,17,springfield avenue
1437,Joseph Welsh School,4443,Public,Y,N,N,4401 - 37 Avenue Red Deer AB T4N2T5,Red Deer,AB,T4N2T5,Province of Alberta,4401 37 avenue red deer ab t4n2t5,4401,37 avenue
1438,Lindsay Thurber Comprehensive High School,4444,Public,N,Y,Y,4204 - 58 Street Red Deer AB T4N2L6,Red Deer,AB,T4N2L6,Province of Alberta,4204 58 street red deer ab t4n2l6,4204,58 street
1439,Mountview School,4445,Public,Y,N,N,4331 - 34 Street Red Deer AB T4N0N9,Red Deer,AB,T4N0N9,Province of Alberta,4331 34 street red deer ab t4n0n9,4331,34 street
1440,Aspen Heights Elementary School,4447,Public,Y,N,N,5869 - 69 Street Drive Red Deer AB T4P1C3,Red Deer,AB,T4P1C3,Province of Alberta,5869 69 street drive red deer ab t4p1c3,5869,69 street drive
1441,Oriole Park School,4448,Public,Y,N,N,5 Oldbury Street Red Deer AB T4N5A8,Red Deer,AB,T4N5A8,Province of Alberta,5 oldbury street red deer ab t4n5a8,5,oldbury street
1442,West Park Elementary School,4452,Public,Y,N,N,3814 - 55 Avenue Red Deer AB T4N4N3,Red Deer,AB,T4N4N3,Province of Alberta,3814 55 avenue red deer ab t4n4n3,3814,55 avenue
1443,Westpark Middle School,4454,Public,Y,Y,N,3310 - 55 Avenue Red Deer AB T4N4N1,Red Deer,AB,T4N4N1,Province of Alberta,3310 55 avenue red deer ab t4n4n1,3310,55 avenue
1444,G H Dawe Community School,4455,Public,Y,Y,N,"100, 56 Holt Street Red Deer AB T4N6A6",Red Deer,AB,T4N6A6,Province of Alberta,100 56 holt street red deer ab t4n6a6,100 56,holt street
1445,Youth Assessment Centre,4457,Public,Y,Y,Y,26 Gunn Street Red Deer AB T4P2N2,Red Deer,AB,T4P2N2,Province of Alberta,26 gunn street red deer ab t4p2n2,26,gunn street
1446,Normandeau School,4458,Public,Y,Y,N,61 Noble Ave Red Deer AB T4P2C4,Red Deer,AB,T4P2C4,Province of Alberta,61 noble ave red deer ab t4p2c4,61,noble ave
1447,Direwood Treatment Centre,4461,Public,N,Y,Y,33 Dixon Crescent Red Deer AB T4R2H4,Red Deer,AB,T4R2H4,Province of Alberta,33 dixon crescent red deer ab t4r2h4,33,dixon crescent
1448,Glendale Sciences and Technology School,4463,Public,Y,Y,N,6375 - 77 Street Red Deer AB T4P3E9,Red Deer,AB,T4P3E9,Province of Alberta,6375 77 street red deer ab t4p3e9,6375,77 street
1449,Parkland Youth Homes,4464,Public,N,Y,Y,198 Glendale Boulevard Red Deer AB T4P3L5,Red Deer,AB,T4P3L5,Province of Alberta,198 glendale boulevard red deer ab t4p3l5,198,glendale boulevard
1450,North Cottage High School,4465,Public,N,N,Y,5704 - 60 Street Red Deer AB T4N6V6,Red Deer,AB,T4N6V6,Province of Alberta,5704 60 street red deer ab t4n6v6,5704,60 street
1451,Central Alberta Christian High School,4466,Private School,N,N,Y,22 Eagle Road Lacombe AB T4L1G7,Lacombe,AB,T4L1G7,Province of Alberta,22 eagle road lacombe ab t4l1g7,22,eagle road
1452,Oskayak Treatment Centre,4469,Public,N,N,Y,74 Denovan Crescent Red Deer AB T4R1W2,Red Deer,AB,T4R1W2,Province of Alberta,74 denovan crescent red deer ab t4r1w2,74,denovan crescent
1453,Ecole Secondaire Notre Dame High School,4471,Separate,N,N,Y,50 Lees Street Red Deer AB T4R2P6,Red Deer,AB,T4R2P6,Province of Alberta,50 lees street red deer ab t4r2p6,50,lees street
1454,Maryview School,4472,Separate,Y,N,N,3829 - 39 Street Red Deer AB T4N0Y6,Red Deer,AB,T4N0Y6,Province of Alberta,3829 39 street red deer ab t4n0y6,3829,39 street
1455,Ecole Camille J Lerouge School,4473,Separate,Y,Y,N,5530 - 42A Avenue Red Deer AB T4N3A8,Red Deer,AB,T4N3A8,Province of Alberta,5530 42a avenue red deer ab t4n3a8,5530,42a avenue
1456,St. Martin De Porres School,4475,Separate,Y,N,N,3911 - 57A Avenue Red Deer AB T4N4T1,Red Deer,AB,T4N4T1,Province of Alberta,3911 57a avenue red deer ab t4n4t1,3911,57a avenue
1457,St. Thomas Aquinas School,4476,Separate,Y,Y,N,3821 - 39 Street Red Deer AB T4N0Y6,Red Deer,AB,T4N0Y6,Province of Alberta,3821 39 street red deer ab t4n0y6,3821,39 street
1458,St. Elizabeth Seton School,4477,Separate,Y,N,N,35 Addinell Avenue Red Deer AB T4R1V5,Red Deer,AB,T4R1V5,Province of Alberta,35 addinell avenue red deer ab t4r1v5,35,addinell avenue
1459,St. Patricks Community School,4478,Separate,Y,Y,N,56 Holt Street Red Deer AB T4N6A6,Red Deer,AB,T4N6A6,Province of Alberta,56 holt street red deer ab t4n6a6,56,holt street
1460,St. Teresa of Avila School,4480,Separate,Y,N,N,190 Glendale Boulevard Red Deer AB T4P2P7,Red Deer,AB,T4P2P7,Province of Alberta,190 glendale boulevard red deer ab t4p2p7,190,glendale boulevard
1461,Holy Family School,4481,Separate,Y,N,N,69 Douglas Avenue Red Deer AB T4R2L3,Red Deer,AB,T4R2L3,Province of Alberta,69 douglas avenue red deer ab t4r2l3,69,douglas avenue
1462,St. Gabriel Online School,4483,Separate,N,Y,Y,"#103, 4706 - 48 Avenue Red Deer AB T4N6J4",Red Deer,AB,T4N6J4,Province of Alberta,#103 4706 48 avenue red deer ab t4n6j4,4706,48 avenue
1463,Buffalo Creek Learning Center,4487,Federal Jail,N,N,Y,Buffalo Creek Learning Centre Box 6000 Innisfail AB T4G1V1,Innisfail,AB,T4G1V1,Province of Alberta,buffalo creek learning centre innisfail ab t4g1v1,,
1464,Red Deer College Children Care Center,4490,ECS Private Operator,N,N,N,Red Deer College Child Care P.O. Box 5005 Red Deer AB T4N5H5,Red Deer,AB,T4N5H5,Province of Alberta,red deer college child care red deer ab t4n5h5,,
1465,Gateway Christian School,4491,Public,Y,Y,Y,4210 - 59 Street Red Deer AB T4N2M9,Red Deer,AB,T4N2M9,Province of Alberta,4210 59 street red deer ab t4n2m9,4210,59 street
1466,Parkland School Special Education,4493,Private School,Y,Y,Y,6016 - 45 Avenue Red Deer AB T4N3M4,Red Deer,AB,T4N3M4,Province of Alberta,6016 45 avenue red deer ab t4n3m4,6016,45 avenue
1467,Destiny Christian School Society,4494,Private School,Y,Y,N,37557 Hwy 2A Red Deer County AB T4E1S2,Red Deer County,AB,T4E1S2,Province of Alberta,37557 hwy 2a red deer county ab t4e1s2,37557,hwy 2a
1468,Sylvan Meadow Adventist School,4497,Private School,Y,Y,N,RR1 Site 4 Comp 14 Sylvan Lake AB T4S1X6,Sylvan Lake,AB,T4S1X6,Province of Alberta,rr1 site 4 comp 14 sylvan lake ab t4s1x6,,rr1 site 4 comp 14
1469,South Side Christian School,4498,Private School,Y,Y,N,P.O. Box 219 Red Deer AB T4N5E8,Red Deer,AB,T4N5E8,Province of Alberta,red deer ab t4n5e8,,
1470,Bashaw School,4502,Public,Y,Y,Y,Box 69 Bashaw AB T0B0H0,Bashaw,AB,T0B0H0,Province of Alberta,bashaw ab t0b0h0,,
1471,Bawlf School,4503,Public,Y,Y,Y,6205-48 avenue Camrose AB T4V0K4,Camrose,AB,T4V0K4,Province of Alberta,6205 48 avenue camrose ab t4v0k4,6205,48 avenue
1472,Camrose Outreach School,4504,Public,N,N,Y,"Suite 2, 4412 - 56 Street Camrose AB T4V5K4",Camrose,AB,T4V5K4,Province of Alberta,4412 56 street camrose ab t4v5k4,4412,56 street
1473,Hay Lakes School,4507,Public,Y,Y,Y,P.O. Box 249 Hay Lakes AB T0B1W0,Hay Lakes,AB,T0B1W0,Province of Alberta,hay lakes ab t0b1w0,,
1474,New Norway School,4510,Public,Y,Y,Y,P.O. Box 69 New Norway AB T0B3L0,New Norway,AB,T0B3L0,Province of Alberta,new norway ab t0b3l0,,
1475,Round Hill School,4512,Public,Y,Y,N,2 Railway Ave NE Round Hill AB T0B3Z0,Round Hill,AB,T0B3Z0,Province of Alberta,2 railway ave ne round hill ab t0b3z0,2,railway ave ne
1476,Sifton School,4513,Public,Y,N,N,4807 - 43 Street Camrose AB T4V1A9,Camrose,AB,T4V1A9,Province of Alberta,4807 43 street camrose ab t4v1a9,4807,43 street
1477,Camrose Colony School,4515,Public,Y,Y,N,5402 48A Avenue Camrose AB T4V0L3,Camrose,AB,T4V0L3,Province of Alberta,5402 48a avenue camrose ab t4v0l3,5402,48a avenue
1478,Charlie Killam School,4541,Public,Y,Y,N,4809 - 46 Street Camrose AB T4V1G8,Camrose,AB,T4V1G8,Province of Alberta,4809 46 street camrose ab t4v1g8,4809,46 street
1479,Chester Ronning School,4542,Public,Y,N,N,6206 - 43 Avenue Camrose AB T4V0A7,Camrose,AB,T4V0A7,Province of Alberta,6206 43 avenue camrose ab t4v0a7,6206,43 avenue
1480,Jack Stuart School,4543,Public,Y,N,N,200 Mount Pleasant Drive Camrose AB T4V4B5,Camrose,AB,T4V4B5,Province of Alberta,200 mount pleasant drive camrose ab t4v4b5,200,mount pleasant drive
1481,Camrose Composite High School,4545,Public,N,Y,Y,6205 - 48 Avenue Camrose AB T4V0K4,Camrose,AB,T4V0K4,Province of Alberta,6205 48 avenue camrose ab t4v0k4,6205,48 avenue
1482,Sparling School,4549,Public,Y,N,N,5216 - 52 Avenue Camrose AB T4V0X4,Camrose,AB,T4V0X4,Province of Alberta,5216 52 avenue camrose ab t4v0x4,5216,52 avenue
1483,Our Lady of Mount Pleasant Catholic School,4570,Separate,Y,Y,Y,39 Mount Pleasant Drive Camrose AB T4V2M3,Camrose,AB,T4V2M3,Province of Alberta,39 mount pleasant drive camrose ab t4v2m3,39,mount pleasant drive
1484,St. Patrick Catholic School,4571,Separate,Y,N,N,4816 - 53 Avenue Camrose AB T4V0Y2,Camrose,AB,T4V0Y2,Province of Alberta,4816 53 avenue camrose ab t4v0y2,4816,53 avenue
1485,Countryside Christian School,4593,Private School,Y,Y,N,P.O. Box 113 Edberg AB T0B1J0,Edberg,AB,T0B1J0,Province of Alberta,edberg ab t0b1j0,,
1486,Cornerstone Christian Academy,4595,Private School,Y,Y,Y,P.O. Box 99 Kingman AB T0B2M0,Kingman,AB,T0B2M0,Province of Alberta,kingman ab t0b2m0,,
1487,Big Valley School,4601,Public,Y,Y,N,P.O. Box 189 Big Valley AB T0J0G0,Big Valley,AB,T0J0G0,Province of Alberta,big valley ab t0j0g0,,
1488,Botha School,4602,Public,Y,N,N,P.O. Box 100 Botha AB T0C0N0,Botha,AB,T0C0N0,Province of Alberta,botha ab t0c0n0,,
1489,Byemoor School,4603,Public,Y,Y,N,P.O. Box 40 Byemoor AB T0J0L0,Byemoor,AB,T0J0L0,Province of Alberta,byemoor ab t0j0l0,,
1490,Donalda School,4604,Public,Y,Y,N,P.O. Box 130 Donalda AB T0B1H0,Donalda,AB,T0B1H0,Province of Alberta,donalda ab t0b1h0,,
1491,Erskine School,4606,Public,Y,Y,N,P.O. Box 124 Erskine AB T0C1G0,Erskine,AB,T0C1G0,Province of Alberta,erskine ab t0c1g0,,
1492,Star Ridge Colony School,4609,Public,Y,Y,N,P.O. Box 220 Botha AB T0C0N0,Botha,AB,T0C0N0,Province of Alberta,botha ab t0c0n0,,
1493,Erskine Colony School,4610,Public,Y,Y,N,P.O. Box 103 Erskine AB T0C1G0,Erskine,AB,T0C1G0,Province of Alberta,erskine ab t0c1g0,,
1494,Donalda Colony School,4611,Public,Y,Y,N,P.O. Box 81 Donalda AB T0B1H0,Donalda,AB,T0B1H0,Province of Alberta,donalda ab t0b1h0,,
1495,Byemoor Colony School,4612,Public,Y,N,N,P.O. Box 127 Byemoor AB T0J0L0,Byemoor,AB,T0J0L0,Province of Alberta,byemoor ab t0j0l0,,
1496,Gadsby Colony School,4613,Public,Y,Y,N,Box 84 Botha AB T0C0N0,Botha,AB,T0C0N0,Province of Alberta,botha ab t0c0n0,,
1497,Stettler Outreach School,4616,Public,N,Y,Y,5007 - 51 Street Stettler AB T0C2L0,Stettler,AB,T0C2L0,Province of Alberta,5007 51 street stettler ab t0c2l0,5007,51 street
1498,William E Hay Composite High School,4644,Public,N,Y,Y,5411 - 50 Avenue Stettler AB T0C2L2,Stettler,AB,T0C2L2,Province of Alberta,5411 50 avenue stettler ab t0c2l2,5411,50 avenue
1499,Stettler Elementary School,4647,Public,Y,N,N,4808 - 54 Street Stettler AB T0C2L2,Stettler,AB,T0C2L2,Province of Alberta,4808 54 street stettler ab t0c2l2,4808,54 street
1500,Lakeview Christian School,4691,Private School,N,N,N,P.O. Box 1057 Stettler AB T0C2L0,Stettler,AB,T0C2L0,Province of Alberta,stettler ab t0c2l0,,
1501,Daysland School,4702,Public,Y,Y,Y,PO Box 340 Daysland AB T0B1A0,Daysland,AB,T0B1A0,Province of Alberta,daysland ab t0b1a0,,
1502,Forestburg School,4703,Public,Y,Y,Y,P.O. Box 490 Forestburg AB T0B1N0,Forestburg,AB,T0B1N0,Province of Alberta,forestburg ab t0b1n0,,
1503,Killam Public School,4707,Public,Y,Y,N,P.O. Box 130 Killam AB T0B2L0,Killam,AB,T0B2L0,Province of Alberta,killam ab t0b2l0,,
1504,Central High School Sedgewick,4710,Public,Y,Y,Y,P.O. Box 40 Sedgewick AB T0B4C0,Sedgewick,AB,T0B4C0,Province of Alberta,sedgewick ab t0b4c0,,
1505,Southbend Colony School,4713,Public,Y,Y,N,5402 - 48A Avenue Camrose AB T4V0L3,Camrose,AB,T4V0L3,Province of Alberta,5402 48a avenue camrose ab t4v0l3,5402,48a avenue
1506,Altario School,4801,Public,Y,Y,Y,General Delivery Altario AB T0C0E0,Altario,AB,T0C0E0,Province of Alberta,general delivery altario ab t0c0e0,,
1507,Consort School,4802,Public,Y,Y,Y,Bag Service 1002 Consort AB T0C1B0,Consort,AB,T0C1B0,Province of Alberta,bag service 1002 consort ab t0c1b0,1002,consort ab
1508,Veteran School,4803,Public,Y,Y,N,P.O. Box 649 Veteran AB T0C2S0,Veteran,AB,T0C2S0,Province of Alberta,veteran ab t0c2s0,,
1509,Veteran Colony School,4804,Public,Y,Y,N,P.O. Box 319 Veteran AB T0C2S0,Veteran,AB,T0C2S0,Province of Alberta,veteran ab t0c2s0,,
1510,Brownfield Community School,4821,Public,Y,Y,N,P.O. Box 54 Brownfield AB T0C0R0,Brownfield,AB,T0C0R0,Province of Alberta,brownfield ab t0c0r0,,
1511,Gus Wetter School,4822,Public,Y,Y,Y,P.O. Box 119 Castor AB T0C0X0,Castor,AB,T0C0X0,Province of Alberta,castor ab t0c0x0,,
1512,Coronation School,4824,Public,Y,Y,Y,P.O. Box 280 956 Coronation AB T0C1C0,Coronation,AB,T0C1C0,Province of Alberta,956 coronation ab t0c1c0,956,coronation ab t0c1c0
1513,Lanes Lake Colony School,4826,Public,Y,Y,N,P.O. Box 389 Castor AB T0C0X0,Castor,AB,T0C0X0,Province of Alberta,castor ab t0c0x0,,
1514,Suncrest Colony School,4827,Public,Y,Y,N,P.O. Box 637 Castor AB T0C0X0,Castor,AB,T0C0X0,Province of Alberta,castor ab t0c0x0,,
1515,Theresetta Roman Catholic Separate School,4870,Separate,Y,Y,N,P.O. Box 580 Castor AB T0C0X0,Castor,AB,T0C0X0,Province of Alberta,castor ab t0c0x0,,
1516,Amisk School,4901,Public,Y,N,N,P.O. Box 70 Amisk AB T0B0B0,Amisk,AB,T0B0B0,Province of Alberta,amisk ab t0b0b0,,
