idx,facility_name,source_id,authority_type,ISCED1,ISCED2,ISCED3,address_str,city,province,postal_code,provider,address_str_clean,street_no,street_name
476,Taradale School,1450,Public,Y,N,N,"170 Taravista Drive N.E, Calgary AB T3J5B1",Calgary,AB,T3J5B1,Province of Alberta,170 taravista drive ne calgary ab t3j5b1,170,taravista drive ne
477,Samuel W. Shaw School,1451,Public,Y,Y,N,115 Shannon Drive S.W. Calgary AB T2Y0K6,Calgary,AB,T2Y0K6,Province of Alberta,115 shannon drive sw calgary ab t2y0k6,115,shannon drive sw
478,Panorama Hills School,1452,Public,Y,N,N,1057 Panorama Hills Dr N.E Calgary AB T3K0S4,Calgary,AB,T3K0S4,Province of Alberta,1057 panorama hills dr ne calgary ab t3k0s4,1057,panorama hills dr ne
479,Equinox Group Home,1453,Public,N,Y,Y,4719 - 46 Atreet Sylvan Lake AB T4S1N3,Sylvan Lake,AB,T4S1N3,Province of Alberta,4719 46 atreet sylvan lake ab t4s1n3,4719,46 atreet
480,Mother Teresa School,1454,Separate,Y,Y,N,7501 Willow Drive Grande Prairie AB T8X0H7,Grande Prairie,AB,T8X0H7,Province of Alberta,7501 willow drive grande prairie ab t8x0h7,7501,willow drive
481,Johnny Bright School,1455,Public,Y,Y,N,1331 Rutherford Road SW Edmonton AB T6W1P4,Edmonton,AB,T6W1P4,Province of Alberta,1331 rutherford road sw edmonton ab t6w1p4,1331,rutherford road sw
482,Dr. Donald Massey School,1456,Public,Y,Y,N,5435 - 162 Ave NW Edmonton AB T5Y0E8,Edmonton,AB,T5Y0E8,Province of Alberta,5435 162 ave nw edmonton ab t5y0e8,5435,162 ave nw
483,Florence Hallock School,1457,Public,Y,Y,N,16437 - 87 St. NW Edmonton AB T5Z3X1,Edmonton,AB,T5Z3X1,Province of Alberta,16437 87 st nw edmonton ab t5z3x1,16437,87 st nw
484,A. Blair McPherson School,1458,Public,Y,Y,N,430 Tamarack Green NW Edmonton AB T6T0J4,Edmonton,AB,T6T0J4,Province of Alberta,430 tamarack green nw edmonton ab t6t0j4,430,tamarack green nw
485,Elizabeth Finch School,1459,Public,Y,Y,N,13815 - 160 Ave NW Edmonton AB T6V0C9,Edmonton,AB,T6V0C9,Province of Alberta,13815 160 ave nw edmonton ab t6v0c9,13815,160 ave nw
486,Esther Starkman School,1460,Public,Y,Y,N,2717 Terwillegar Way NW Edmonton AB T6R0G5,Edmonton,AB,T6R0G5,Province of Alberta,2717 terwillegar way nw edmonton ab t6r0g5,2717,terwillegar way nw
487,Maude Clifford Public School,1461,Public,Y,N,N,9206 Lakeland Drive Grande Prairie AB T8X0J4,Grande Prairie,AB,T8X0J4,Province of Alberta,9206 lakeland drive grande prairie ab t8x0j4,9206,lakeland drive
488,Good Shepherd School,1462,Separate,Y,Y,N,1319 Thorburn Drive SE Airdrie AB T4A2A5,Airdrie,AB,T4A2A5,Province of Alberta,1319 thorburn drive se airdrie ab t4a2a5,1319,thorburn drive se
489,McKenzie Towne School,1463,Public,Y,N,N,679 Prestwick Cir. SE Calgary AB T2Z0V3,Calgary,AB,T2Z0V3,Province of Alberta,679 prestwick cir se calgary ab t2z0v3,679,prestwick cir se
490,Iron Ridge Elementary Campus,1464,Public,Y,N,N,Box 160 Blackfalds AB T0M0J0,Blackfalds,AB,T0M0J0,Province of Alberta,blackfalds ab t0m0j0,,
491,Chinook High School,1465,Public,N,Y,Y,259 Britannia Blvd. West Lethbridge AB T1J4A3,Lethbridge,AB,T1J4A3,Province of Alberta,259 britannia blvd west lethbridge ab t1j4a3,259,britannia blvd west
492,École Joseph-Moreau,1466,Francophone,N,Y,N,9750 - 74 Avenue Edmonton AB T6E1E8,Edmonton,AB,T6E1E8,Province of Alberta,9750 74 avenue edmonton ab t6e1e8,9750,74 avenue
493,École Alexandre-Taché,1467,Francophone,N,Y,Y,30 Erin Ridge Drive St. Albert AB T8N5S5,St. Albert,AB,T8N5S5,Province of Alberta,30 erin ridge drive st albert ab t8n5s5,30,erin ridge drive
494,Birch Meadows Colony School,1468,Public,Y,Y,Y,Box 299 Eaglesham AB T0H1H0,Eaglesham,AB,T0H1H0,Province of Alberta,eaglesham ab t0h1h0,,
495,Carstairs Elementary School,1469,Public,Y,N,N,PO Box 1440 Carstairs AB T0M0N0,Carstairs,AB,T0M0N0,Province of Alberta,carstairs ab t0m0n0,,
496,St. Thomas More Catholic School,1470,Separate,Y,Y,Y,P.O. Box 2245 Fairview AB T0H1L0,Fairview,AB,T0H1L0,Province of Alberta,fairview ab t0h1l0,,
497,St. Luke's Outreach Centre High River,1471,Separate,N,Y,Y,339 - 3 Avenue SE High River AB T1V1H8,High River,AB,T1V1H8,Province of Alberta,339 3 avenue se high river ab t1v1h8,339,3 avenue se
498,Albion Ridge Colony School,1472,Public,Y,Y,Y,Box 828 Picture Butte AB T0K1B0,Picture Butte,AB,T0K1B0,Province of Alberta,picture butte ab t0k1b0,,
499,Arden T. Litt Centre for Learning,1473,Public,N,N,Y,P.O. Box 790 Grassy Lake AB T0K0Z0,Grassy Lake,AB,T0K0Z0,Province of Alberta,grassy lake ab t0k0z0,,
500,Living Truth Christian School,1474,Private School,Y,Y,Y,Box 89 Mirror AB T0B3C0,Mirror,AB,T0B3C0,Province of Alberta,mirror ab t0b3c0,,
501,Little Angels,1476,Private School,N,N,N,599 Northmount Dr NW Calgary AB T2K3J6,Calgary,AB,T2K3J6,Province of Alberta,599 northmount dr nw calgary ab t2k3j6,599,northmount dr nw
