,ID,NOM_TOPOGRAPHIE,NO_CIVIQUE,RUE,DESCRIPTION,SUPERFICIE,PERIMETRE,GEOMETRIE,LONGITUDE,LATITUDE
61,200860,Bassin de rétention de la Rive-Boisée-Nord-1,,Rue de la Rive-Boisée Nord,Bassins de rétention,0,0,POINT (-71.3159496757075 46.832861025118866),46.832861025118866,-71.3159496757075
62,200861,Bassin de rétention de la Rive-Boisée-Nord-2,,Rue de la Rive-Boisée Nord,Bassins de rétention,0,0,POINT (-71.31463747560673 46.83443516701983),46.83443516701983,-71.31463747560673
63,200893,Bassin de rétention de la Sultane NORD,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.33911637544546 46.852201210818514),46.852201210818514,-71.33911637544546
64,202811,Bassin de rétention de la Sultane SUD,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.33839817813781 46.85155739983229),46.85155739983229,-71.33839817813781
65,203002,Bassin de rétention de la Varappe,,Rue de la Varappe,Bassins de rétention,0,0,POINT (-71.31107651625511 46.89781224696665),46.89781224696665,-71.31107651625511
66,200951,Bassin de rétention de l'Acropole,,Rue de Vénus,Bassins de rétention,0,0,POINT (-71.33293765706881 46.87750625272758),46.87750625272758,-71.33293765706881
67,200817,Bassin de rétention de l'Alaska,,Rue de l'Alaska,Bassins de rétention,0,0,POINT (-71.20826841748944 46.90508885172161),46.90508885172161,-71.20826841748944
68,202648,Bassin de rétention de l'Alliance,,Rue de l'Alliance,Bassins de rétention,0,0,POINT (-71.34962456139151 46.87752575244236),46.87752575244236,-71.34962456139151
69,200453,Bassin de rétention de l'Alouette,,Rue de l'Alouette,Bassins de rétention,0,0,POINT (-71.40748002449031 46.836119940110166),46.836119940110166,-71.40748002449031
70,202666,Bassin de rétention de l'Amiral,,Rue des Calèches,Bassins de rétention,0,0,POINT (-71.40168890210518 46.84127585561941),46.84127585561941,-71.40168890210518
71,203051,Bassin de rétention de l'Apogée,7190.0,Rue de l'Apogée,Bassins de rétention,0,0,POINT (-71.32385558823432 46.88207476677835),46.88207476677835,-71.32385558823432
72,202647,Bassin de rétention de l'Aquarelle,,Rue Alfred-Cloutier,Bassins de rétention,0,0,POINT (-71.33988389230083 46.871819852931985),46.871819852931985,-71.33988389230083
73,200444,Bassin de rétention de l'Éclair,,Rue de l'Éclair,Bassins de rétention,0,0,POINT (-71.41867106808841 46.85167677773681),46.85167677773681,-71.41867106808841
74,200428,Bassin de rétention de l'Élégance,,Rue de l'Élégance,Bassins de rétention,0,0,POINT (-71.37307849523879 46.8956092933662),46.8956092933662,-71.37307849523879
75,200897,Bassin de rétention de l'Élysée,,Rue de l'Élysée,Bassins de rétention,0,0,POINT (-71.42667113777105 46.848067969991554),46.848067969991554,-71.42667113777105
76,200839,Bassin de rétention de l'Épilobe,,Rue de la Corolle,Bassins de rétention,0,0,POINT (-71.38502057598814 46.8868042045542),46.8868042045542,-71.38502057598814
77,200896,Bassin de rétention de l'Équinoxe,,Rue de l'Équinoxe,Bassins de rétention,0,0,POINT (-71.42863575865974 46.852175742961265),46.852175742961265,-71.42863575865974
78,200834,Bassin de rétention de l'Escarpement Est,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.3066792970118 46.8344128265531),46.8344128265531,-71.3066792970118
79,200833,Bassin de rétention de l'Escarpement Ouest,,Boulevard Robert-Bourassa,Bassins de rétention,0,0,POINT (-71.30809526770524 46.8337242693298),46.8337242693298,-71.30809526770524
80,200895,Bassin de rétention de l'Etna,,Rue de l'Etna,Bassins de rétention,0,0,POINT (-71.42786927883868 46.84948152973189),46.84948152973189,-71.42786927883868
81,200903,Bassin de rétention de l'Étrave,,Rue de l'Étrave,Bassins de rétention,0,0,POINT (-71.42172545655414 46.849998525764796),46.849998525764796,-71.42172545655414
82,200965,Bassin de rétention de l'Iliade,,Avenue des Affaires,Bassins de rétention,0,0,POINT (-71.41305669767753 46.861931432529325),46.861931432529325,-71.41305669767753
83,202673,Bassin de rétention de l'Interlude,,Rue de l'Interlude,Bassins de rétention,0,0,POINT (-71.40653471772681 46.859983457042745),46.859983457042745,-71.40653471772681
84,202672,Bassin de rétention de l'Interlude,,Rue de l'Interlude,Bassins de rétention,0,0,POINT (-71.40598620641114 46.85981628658232),46.85981628658232,-71.40598620641114
85,200928,Bassin de rétention de l'Opale,,Rue de l'Opale,Bassins de rétention,0,0,POINT (-71.26227164638915 46.88161831101871),46.88161831101871,-71.26227164638915
86,200935,Bassin de rétention de l'Orignal,,Avenue de l'Orignal,Bassins de rétention,0,0,POINT (-71.29655549279921 46.8815872872794),46.8815872872794,-71.29655549279921
87,202818,Bassin de rétention de Montolieu,,Rue de Montolieu,Bassins de rétention,0,0,POINT (-71.44707492548514 46.873352116734054),46.873352116734054,-71.44707492548514
88,203152,Bassin de rétention de Mouzène,,Avenue Joseph-Giffard,Bassins de rétention,0,0,POINT (-71.2127650761058 46.87469548515886),46.87469548515886,-71.2127650761058
89,202819,Bassin de rétention de Porto Nord,,Avenue de Porto,Bassins de rétention,0,0,POINT (-71.33224536332409 46.8428636780894),46.8428636780894,-71.33224536332409
90,200885,Bassin de rétention de Porto SUD,,Avenue de Porto,Bassins de rétention,0,0,POINT (-71.33161920573798 46.84222432848303),46.84222432848303,-71.33161920573798
91,200886,Bassin de rétention de Tolède,,Rue de Tolède,Bassins de rétention,0,0,POINT (-71.33777848365749 46.84430110616684),46.84430110616684,-71.33777848365749
92,200859,Bassin de rétention de Venise,,Rue de Venise,Bassins de rétention,0,0,POINT (-71.33940363288266 46.84353974784651),46.84353974784651,-71.33940363288266
93,200953,Bassin de rétention de Vénus,,Rue de Vénus,Bassins de rétention,0,0,POINT (-71.32291437390941 46.87914870092731),46.87914870092731,-71.32291437390941
94,200851,Bassin de rétention de Vérone,,Rue de Vérone,Bassins de rétention,0,0,POINT (-71.33810234521209 46.84919869853782),46.84919869853782,-71.33810234521209
95,200446,Bassin de rétention d'Érié,,Rue d'Érié,Bassins de rétention,0,0,POINT (-71.43187739109723 46.8616590850452),46.8616590850452,-71.43187739109723
96,202668,Bassin de rétention des Abatis,,Rue des Abatis,Bassins de rétention,0,0,POINT (-71.39807920975159 46.838448943267416),46.838448943267416,-71.39807920975159
97,200913,Bassin de rétention des Aboiteaux,,Rue des Récoltes,Bassins de rétention,0,0,POINT (-71.21284928817742 46.881434720835735),46.881434720835735,-71.21284928817742
98,200695,Bassin de rétention des Affaires,,Avenue des Affaires,Bassins de rétention,0,0,POINT (-71.40884963011712 46.85850869513651),46.85850869513651,-71.40884963011712
99,200970,Bassin de rétention des Affaires Sud,,Avenue des Affaires,Bassins de rétention,0,0,POINT (-71.4193124232695 46.86489764566803),46.86489764566803,-71.4193124232695
100,200587,Bassin de rétention des Autochtones,,Rue des Autochtones,Bassins de rétention,0,0,POINT (-71.29713440758908 46.899799425597266),46.899799425597266,-71.29713440758908
101,202839,Bassin de rétention des Autochtones,,Rue des Autochtones,Bassins de rétention,0,0,POINT (-71.29658008264799 46.89979100539581),46.89979100539581,-71.29658008264799
102,200947,Bassin de rétention des Basses-Terres,,Rue Bouvier,Bassins de rétention,0,0,POINT (-71.28397054964054 46.82956184875065),46.82956184875065,-71.28397054964054
103,200946,Bassin de rétention des Basses-Terres 2,,Rue Bouvier,Bassins de rétention,0,0,POINT (-71.28103856017518 46.83074267920071),46.83074267920071,-71.28103856017518
104,202831,Bassin de rétention des Basses-Terres 3,,Rue Bouvier,Bassins de rétention,0,0,POINT (-71.27695302674742 46.83226153426215),46.83226153426215,-71.27695302674742
105,202832,Bassin de rétention des Basses-Terres 4a,,Rue Bouvier,Bassins de rétention,0,0,POINT (-71.27470713517735 46.83332000806538),46.83332000806538,-71.27470713517735
106,202833,Bassin de rétention des Basses-Terres 4b,,Rue Bouvier,Bassins de rétention,0,0,POINT (-71.26772414144101 46.8370312251724),46.8370312251724,-71.26772414144101
107,202734,Bassin de rétention des Bourgs,,Rue de Manselmont,Bassins de rétention,0,0,POINT (-71.21899928336482 46.89614882442236),46.89614882442236,-71.21899928336482
108,202977,Bassin de rétention des Canoés,,Rue des Canoés,Bassins de rétention,0,0,POINT (-71.40557370772477 46.84178987736208),46.84178987736208,-71.40557370772477
109,200442,Bassin de rétention des Charmilles,,Rue des Cithares,Bassins de rétention,0,0,POINT (-71.41486560134827 46.84322770419205),46.84322770419205,-71.41486560134827
110,202822,Bassin de rétention des Commissaires,,Rue de la Belle-Angélique,Bassins de rétention,0,0,POINT (-71.25718374156014 46.8938367494645),46.8938367494645,-71.25718374156014
111,200559,Bassin de rétention des Comptines,,Rue des Comptines,Bassins de rétention,0,0,POINT (-71.42082848126286 46.843686702268904),46.843686702268904,-71.42082848126286
112,200511,Bassin de rétention des Cormiers,,Rue de la Pinède,Bassins de rétention,0,0,POINT (-71.27219500465769 46.88193910079349),46.88193910079349,-71.27219500465769
113,202667,Bassin de rétention des Élans,,Rue des Élans,Bassins de rétention,0,0,POINT (-71.42986913190829 46.844816919231576),46.844816919231576,-71.42986913190829
114,200931,Bassin de rétention des Émeraudes,,Rue des Émeraudes,Bassins de rétention,0,0,POINT (-71.2593745545943 46.88570040251304),46.88570040251304,-71.2593745545943
115,200933,Bassin de rétention des Émeraudes,,Rue des Émeraudes,Bassins de rétention,0,0,POINT (-71.260189107033 46.8860573219475),46.8860573219475,-71.260189107033
116,200858,Bassin de rétention des Framboisiers,,Rue des Framboisiers,Bassins de rétention,0,0,POINT (-71.34459287564448 46.93212729822875),46.93212729822875,-71.34459287564448
117,202959,Bassin de rétention des Gazouillis,,Rue des Moqueurs,Bassins de rétention,0,0,POINT (-71.21096763587184 46.84460455524867),46.84460455524867,-71.21096763587184
118,202835,Bassin de rétention des Grandes-Marées,,Rue des Grandes-Marées,Bassins de rétention,0,0,POINT (-71.35899755596932 46.73930115580299),46.73930115580299,-71.35899755596932
119,200906,Bassin de rétention des Harpes,,Rue des Harpes,Bassins de rétention,0,0,POINT (-71.44977265332636 46.87400779055194),46.87400779055194,-71.44977265332636
120,202808,Bassin de rétention des Hautes-Terres,,Rue des Hautes-Terres,Bassins de rétention,0,0,POINT (-71.21118702411395 46.9557010530214),46.9557010530214,-71.21118702411395
121,202809,Bassin de rétention des Impératrices,,Rue des Impératrices,Bassins de rétention,0,0,POINT (-71.4278228445842 46.86486584875395),46.86486584875395,-71.4278228445842
122,201661,Bassin de rétention des Jésuites,,Avenue des Jésuites,Bassins de rétention,0,0,POINT (-71.249462518225 46.79728121271793),46.79728121271793,-71.249462518225
123,202682,Bassin de rétention des Jouvenceaux,,Rue des Jouvenceaux,Bassins de rétention,0,0,POINT (-71.28809671940397 46.85340891319155),46.85340891319155,-71.28809671940397
124,200967,Bassin de rétention des Lièvres,,Rue des Lièvres,Bassins de rétention,0,0,POINT (-71.28898708600518 46.893267992580824),46.893267992580824,-71.28898708600518
125,202954,Bassin de rétention des Manitobains,,Rue des Manitobains,Bassins de rétention,0,0,POINT (-71.28840216512891 46.89805494404735),46.89805494404735,-71.28840216512891
126,202953,Bassin de rétention des Manitobains,,Rue des Manitobains,Bassins de rétention,0,0,POINT (-71.28808108297203 46.89810025720825),46.89810025720825,-71.28808108297203
127,202781,Bassin de rétention des Mauriciens,,Rue des Manitobains,Bassins de rétention,0,0,POINT (-71.29190158556966 46.90323479180738),46.90323479180738,-71.29190158556966
128,202960,Bassin de rétention des Moqueurs,,Rue des Moqueurs,Bassins de rétention,0,0,POINT (-71.21040185864987 46.84310862102191),46.84310862102191,-71.21040185864987
129,200709,Bassin de rétention des Ombrettes,,Rue des Ombrettes,Bassins de rétention,0,0,POINT (-71.39319806667426 46.8463563499542),46.8463563499542,-71.39319806667426
130,200775,Bassin de rétention des Pigamons,,Rue des Pigamons,Bassins de rétention,0,0,POINT (-71.29106543376753 46.89403213734351),46.89403213734351,-71.29106543376753
131,200842,Bassin de rétention des Pionnières-de-Beauport,,Rue des Pionnières-de-Beauport,Bassins de rétention,0,0,POINT (-71.16558763516817 46.87127184992415),46.87127184992415,-71.16558763516817
132,203003,Bassin de rétention des Pruches,,Boulevard du Loiret,Bassins de rétention,0,0,POINT (-71.26781923211593 46.88362708168291),46.88362708168291,-71.26781923211593
133,200914,Bassin de rétention des Récoltes,,Rue des Récoltes,Bassins de rétention,0,0,POINT (-71.21304260602237 46.88037218772063),46.88037218772063,-71.21304260602237
134,200543,Bassin de rétention des Santolines,,Rue des Santolines,Bassins de rétention,0,0,POINT (-71.295502634725 46.8909048206252),46.8909048206252,-71.295502634725
