strID,strDST,strSEC,strNM,strAD1,strAD2,StrCM,strCT,strPC,strGR,strILEn,strILFr,strURL,intBuilt,geometry,latitude,longitude,ISCED020,ISCED1,ISCED2,ISCED3
1547,ASD-E,Anglophone,Queen Elizabeth School,31 Lynch Street,,Moncton,Westmorland,E1C 3L5,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://queenelizabeth.nbed.nb.ca,1953,POINT (-64.80361288275923 46.10105687116393),46.10105687116394,-64.80361288275923,1,1,1,0
1349,DSF-S,Francophone,École Sainte-Bernadette,"46, rue Upton",,Moncton,Westmorland,E1E 3Z1,"Maternelle, 1-5",French,Français,http://stebernadette.nbed.nb.ca,2013,POINT (-64.80042564178996 46.07845818591827),46.07845818591827,-64.80042564178996,1,1,0,0
1517,ASD-E,Anglophone,Harrison Trimble High School,80 Echo Drive,,Moncton,Westmorland,E1C 3H8,9-12,"English, French Immersion","Anglais, Immersion française",http://hths.nbed.nb.ca,1961,POINT (-64.81047417946201 46.09899292814722),46.09899292814722,-64.810474179462,,0,1,1
1573,ASD-E,Anglophone,Edith Cavell School,125 Park Street,,Moncton,Westmorland,E1C 2B4,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://edithcavell.nbed.nb.ca,1988,POINT (-64.7875493610487 46.09186978869407),46.09186978869407,-64.7875493610487,1,1,1,0
1569,ASD-E,Anglophone,Bernice MacNaughton High School,999 St. George Blvd.,,Moncton,Westmorland,E1E 2C9,9-12,"English, French Immersion","Anglais, Immersion française",http://bmhs.nbed.nb.ca,1975,POINT (-64.82865484269111 46.08657214674605),46.08657214674604,-64.82865484269111,,0,1,1
1504,ASD-E,Anglophone,Bessborough School,93 Bessborough Avenue,,Moncton,Westmorland,E1E 1P6,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://bessborough.nbed.nb.ca/,1958,POINT (-64.80909283865445 46.07997708748428),46.07997708748428,-64.80909283865445,1,1,1,0
1519,ASD-E,Anglophone,Hillcrest School,60 Parlee Drive,,Moncton,Westmorland,E1E 3B3,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://hillcrest.nbed.nb.ca,1954,POINT (-64.80531527990055 46.0856665778747),46.0856665778747,-64.80531527990055,1,1,1,0
1576,ASD-E,Anglophone,Evergreen Park School,333 Evergreen Drive,,Moncton,Westmorland,E1G 2J2,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://evergreenpark.nbed.nb.ca,1996,POINT (-64.86097425291062 46.11316145394313),46.11316145394313,-64.86097425291061,1,1,0,0
1570,ASD-E,Anglophone,Riverview High School,400 Whitepine Road,,Riverview,Albert,E1B 4H8,9-12,"English, French Immersion","Anglais, Immersion française",http://rhsroyals.nbed.nb.ca,1977,POINT (-64.80136957691843 46.05669024150285),46.05669024150285,-64.80136957691843,,0,1,1
1551,ASD-E,Anglophone,West Riverview School,684 Coverdale Road,,Riverview,Albert,E1B 3K6,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://westriverview.nbed.nb.ca,1963,POINT (-64.81124320287182 46.06196904633904),46.06196904633904,-64.81124320287182,1,1,0,0
1567,ASD-E,Anglophone,Claude D. Taylor School,200 Whitepine Road,,Riverview,Albert,E1B 3L7,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://claudedtaylor.nbed.nb.ca,1973,POINT (-64.81724177292966 46.0499472808094),46.049947280809405,-64.81724177292966,1,1,0,0
1549,ASD-E,Anglophone,Riverview Middle School,45 Devere Road,,Riverview,Albert,E1B 2M4,6-8,"English, French Immersion","Anglais, Immersion française",http://rms.nbed.nb.ca,1949,POINT (-64.79590379831784 46.06260122838712),46.062601228387116,-64.79590379831784,,1,1,0
1550,ASD-E,Anglophone,Frank L. Bowser School,424 Cleveland Avenue,,Riverview,Albert,E1B 1Y2,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://flb.nbed.nb.ca,1962,POINT (-64.79524727372342 46.06092215730148),46.060922157301476,-64.79524727372342,1,1,0,0
1578,ASD-E,Anglophone,Riverview East School,49 Chambers Road,,Riverview,Albert,E1B 0P5,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://rivervieweast.nbed.nb.ca,2013,POINT (-64.77831991220411 46.06777573866547),46.06777573866547,-64.77831991220411,1,1,1,0
1932,ASD-S,Anglophone,Quispamsis Elementary School,290 Hampton Road,,Quispamsis,Kings,E2E 4N1,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://quispamsiselementary.nbed.nb.ca,1960,POINT (-65.95751218764413 45.41287724608667),45.41287724608665,-65.95751218764413,1,1,0,0
1941,ASD-S,Anglophone,Kennebecasis Valley High School,398 Hampton Road,,Quispamsis,Kings,E2E 4V5,9-12,"English, French Immersion","Anglais, Immersion française",http://kvhs.nbed.nb.ca/,1974,POINT (-65.94743502322046 45.42407087602024),45.42407087602024,-65.94743502322046,,0,1,1
1946,ASD-S,Anglophone,Quispamsis Middle School,189 Pettingill Road,,Quispamsis,Kings,E2E 3S8,6-8,"English, French Immersion","Anglais, Immersion française",http://qms.nbed.nb.ca,1986,POINT (-65.96772499444914 45.42661112957949),45.4266111295795,-65.96772499444914,,1,1,0
1943,ASD-S,Anglophone,Lakefield Elementary School,9 Kensington Avenue,,Quispamsis,Kings,E2E 2T8,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://lakefieldelementary.nbed.nb.ca,1978,POINT (-65.97551763552818 45.41818604271602),45.41818604271602,-65.97551763552818,1,1,0,0
2014,ASD-S,Anglophone,Glen Falls School,10 Princess Court,,Saint John,Saint John,E2H 1X9,"Kindergarten, 1-5",English,Anglais,http://glenfalls.nbed.nb.ca,1973,POINT (-66.02434479708909 45.31676400196875),45.31676400196875,-66.02434479708909,1,1,0,0
1930,ASD-S,Anglophone,Fairvale Elementary School,11 School Avenue,,Rothesay,Kings,E2E 1Z9,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://fairvale-elementary.nbed.nb.ca,1958,POINT (-65.99046515077242 45.41095572726137),45.410955727261374,-65.99046515077242,1,1,0,0
1928,ASD-S,Anglophone,Rothesay High School,61 Hampton Road,,Rothesay,Kings,E2E 5L6,9-12,"English, French Immersion","Anglais, Immersion française",http://rhs.nbed.nb.ca,1992,POINT (-65.98845724936844 45.39401359934926),45.39401359934927,-65.98845724936844,,0,1,1
1929,ASD-S,Anglophone,Harry Miller Middle School,63 Hampton Road,,Rothesay,Kings,E2E 5L6,6-8,"English, French Immersion","Anglais, Immersion française",http://harrymiller.nbed.nb.ca,1962,POINT (-65.9906184016068 45.39575046747805),45.395750467478045,-65.9906184016068,,1,1,0
1927,ASD-S,Anglophone,Rothesay Elementary School,230 Eriskay Drive,,Rothesay,Kings,E2E 5G7,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://rothesay-elementary.nbed.nb.ca,1974,POINT (-65.98562628592794 45.38899877662055),45.388998776620554,-65.98562628592794,1,1,0,0
1942,ASD-S,Anglophone,Rothesay Park School,7 Hampton Road,,Rothesay,Kings,E2E 5K8,6-8,"English, French Immersion","Anglais, Immersion française",http://rothesaypark.nbed.nb.ca,1975,POINT (-65.99657608430452 45.38786659306059),45.38786659306058,-65.99657608430452,,1,1,0
1931,ASD-S,Anglophone,Kennebecasis Park Elementary School,10 Broadway Street,,Rothesay,Kings,E2H 1B2,"Kindergarten, 1-5",English,Anglais,http://Kparkschool.nbed.nb.ca,1964,POINT (-66.02603755188446 45.34933505213313),45.34933505213313,-66.02603755188446,1,1,0,0
2028,ASD-S,Anglophone,Lakewood Heights School,56 Lensdale Crescent,,Saint John,Saint John,E2J 3P3,"Kindergarten, 1-5",English,Anglais,http://lakewoodheights.nbed.nb.ca,1963,POINT (-65.98012258935147 45.3142808902539),45.3142808902539,-65.98012258935147,1,1,0,0
2030,ASD-S,Anglophone,Loch Lomond School,25 Evergreen Avenue,,Saint John,Saint John,E2N 1H3,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://lochlomond.nbed.nb.ca,1953,POINT (-65.90076327758587 45.33365500213171),45.33365500213171,-65.90076327758587,1,1,0,0
2066,ASD-S,Anglophone,Bayside Middle School,75 Bayside Drive,,Saint John,Saint John,E2J 1A1,6-8,"English, French Immersion","Anglais, Immersion française",http://bayside.nbed.nb.ca,1949,POINT (-66.03931968214093 45.28508795188429),45.285087951884286,-66.03931968214093,,1,1,0
2008,ASD-S,Anglophone,Champlain Heights School,111 Champlain Drive,,Saint John,Saint John,E2J 3E4,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://champlainheights.nbed.nb.ca,1956,POINT (-66.00194666980444 45.29101037537276),45.29101037537275,-66.00194666980444,1,1,0,0
2047,ASD-S,Anglophone,Simonds High School,1490 Hickey Road,,Saint John,Saint John,E2J 4E7,9-12,"English, French Immersion","Anglais, Immersion française",http://sh.nbed.nb.ca,1970,POINT (-65.99246857207879 45.29775317054137),45.29775317054136,-65.99246857207879,,0,1,1
2004,ASD-S,Anglophone,Bayview School,184 Loch Lomond Road,,Saint John,Saint John,E2J 1Y1,"Kindergarten, 1-5",English,Anglais,http://bayview.nbed.nb.ca/,1958,POINT (-66.03200183915689 45.28907164029652),45.28907164029653,-66.03200183915689,1,1,0,0
2013,ASD-S,Anglophone,Forest Hills School,15 Glengarry Drive,,Saint John,Saint John,E2J 2X9,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://foresthillsschool.nbed.nb.ca,1961,POINT (-66.00651941517998 45.31484197640964),45.314841976409646,-66.00651941517998,1,1,1,0
2041,ASD-S,Anglophone,Princess Elizabeth School,20 Sixth Street,,Saint John,Saint John,E2K 3M1,"Kindergarten, 1-8","English, French Immersion","Anglais, Immersion française",http://princess-elizabeth.nbed.nb.ca,1949,POINT (-66.06877832302598 45.28313137574938),45.28313137574938,-66.06877832302598,1,1,1,0
2043,ASD-S,Anglophone,Saint John High School,170-200 Prince William Street,,Saint John,Saint John,E2L 2B7,9-12,"English, French Immersion","Anglais, Immersion française",http://sjhigh.nbed.nb.ca,1986,POINT (-66.06081836324211 45.26929953949266),45.26929953949266,-66.0608183632421,,0,1,1
2067,ASD-S,Anglophone,St. John the Baptist/King Edward School,223 St. James Street,,Saint John,Saint John,E2L 1W3,"Kindergarten, 1-8",English,Anglais,http://sjbke.nbed.nb.ca,1948,POINT (-66.0511136338382 45.26896746225797),45.26896746225797,-66.0511136338382,1,1,1,0
2051,ASD-S,Anglophone,St. Malachy's Memorial High School,2-20 Leinster Street,,Saint John,Saint John,E2L 1H8,9-12,"English, French Immersion","Anglais, Immersion française",http://stm.nbed.nb.ca,1954,POINT (-66.05573402038337 45.27293298730635),45.272932987306355,-66.05573402038337,,0,1,1
2039,ASD-S,Anglophone,Prince Charles School,317-319 Union Street,,Saint John,Saint John,E2L 1B3,"Kindergarten, 1-8",English,Anglais,http://princecharles.nbed.nb.ca,1954,POINT (-66.0527752954537 45.27650836972285),45.27650836972286,-66.0527752954537,1,1,1,0
2060,ASD-S,Anglophone,Harbour View High School,305 Douglas Avenue,,Saint John,Saint John,E2K 1E5,9-12,"English, French Immersion","Anglais, Immersion française",http://hvhs.nbed.nb.ca,1986,POINT (-66.08406348837715 45.2658738570498),45.2658738570498,-66.08406348837715,,0,1,1
2635,ASD-W,Anglophone,Fredericton High School,300 Priestman Street,,Fredericton,York,E3B 6J8,9-12,"English, French Immersion","Anglais, Immersion française",http://frederictonhigh.nbed.nb.ca,1969,POINT (-66.66285011947495 45.94187978733941),45.94187978733941,-66.66285011947495,,0,1,1
2604,ASD-W,Anglophone,Connaught Street School,184 Connaught Street,,Fredericton,York,E3B 2A9,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://connaughtstreet.nbed.nb.ca,1957,POINT (-66.65664963777991 45.95554460281079),45.95554460281079,-66.65664963777989,1,1,0,0
2619,ASD-W,Anglophone,George Street Middle School,575 George Street,,Fredericton,York,E3B 1K2,6-8,"English, French Immersion","Anglais, Immersion française",http://georgest.nbed.nb.ca,1924,POINT (-66.64147596729458 45.95871190897816),45.95871190897816,-66.64147596729458,,1,1,0
2624,ASD-W,Anglophone,Priestman Street Elementary School,363 Priestman Street,,Fredericton,York,E3B 3B5,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://priestmanstreet.nbed.nb.ca,1969,POINT (-66.66114318976265 45.94363874253248),45.94363874253247,-66.66114318976265,1,1,0,0
2608,ASD-W,Anglophone,Forest Hill Elementary School,548 Forest Hill Road,,Fredericton,York,E3B 4K6,"Kindergarten, 1","English, French Immersion","Anglais, Immersion française",http://fhes.nbed.nb.ca,1955,POINT (-66.63289390952077 45.93613818359723),45.93613818359723,-66.63289390952077,1,1,0,0
2634,ASD-W,Anglophone,Liverpool Street Elementary School,50 Liverpool Street,,Fredericton,York,E3B 4V4,2-5,"English, French Immersion","Anglais, Immersion française",http://liverpoolelem.nbed.nb.ca,1968,POINT (-66.6413488393829 45.93209738971913),45.93209738971913,-66.6413488393829,,1,0,0
2633,ASD-W,Anglophone,Montgomery Street Elementary School,692 Montgomery Street,,Fredericton,York,E3B 2X8,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://montgomerystreet.nbed.nb.ca,1963,POINT (-66.65071469945383 45.94364259961587),45.94364259961587,-66.65071469945383,1,1,0,0
5137,DSF-S,Francophone,École Sainte-Anne,"715, rue Priestman",,Fredericton,York,E3B 5W7,6-12,French,Français,http://esa.nbed.nb.ca,1978,POINT (-66.652929567066 45.94194448152452),45.94194448152452,-66.652929567066,,1,1,1
5138,DSF-S,Francophone,École des Bâtisseurs,"715, rue Priestman",,Fredericton,York,E3B 5W7,"Maternelle, 1-5",French,Français,http://batisseurs.nbed.nb.ca,2007,POINT (-66.65185040475681 45.94187972011296),45.94187972011297,-66.65185040475681,1,1,0,0
2641,ASD-W,Anglophone,Bliss Carman Middle School,615 Kimble Drive,,Fredericton,York,E3B 0N4,6-8,"English, French Immersion","Anglais, Immersion française",http://blisscarman.nbed.nb.ca/,2009,POINT (-66.63375602415948 45.93047862329411),45.93047862329411,-66.63375602415948,,1,1,0
3326,DSF-NO,Francophone,École communautaire Ernest-Lang,"13, rue Bellevue",,Saint-François-de-Madawaska,Madawaska,E7A 1A4,"Maternelle, 1-8",French,Français,http://eel.nbed.nb.ca,1976,POINT (-68.70524738393917 47.24179901855609),47.2417990185561,-68.70524738393917,1,1,1,0
3327,DSF-NO,Francophone,Centre d'apprentissage du Haut-Madawaska,"323, boulevard Long",,Clair,Madawaska,E7A 2C5,"Maternelle, 1-8",French,Français,http://cahm.nbed.nb.ca,1997,POINT (-68.60631266220577 47.25669283045561),47.256692830455606,-68.60631266220577,1,1,1,0
3314,DSF-NO,Francophone,École Saint-Jacques,"10, rue de l'École",,Saint-Jacques,Madawaska,E7B 1E7,"Maternelle, 1-8",French,Français,http://ecole-st-jacques.nbed.nb.ca,1986,POINT (-68.38793211863505 47.4291921181881),47.429192118188105,-68.38793211863505,1,1,1,0
3316,DSF-NO,Francophone,École communautaire Saint-Joseph,"562, chemin Toussaint",,Saint-Joseph-de-Madawaska,Madawaska,E7B 2T8,"Maternelle, 1-8",French,Français,http://esj.nbed.nb.ca,1969,POINT (-68.31628770237798 47.45515371164605),47.45515371164605,-68.31628770237798,1,1,1,0
5401,ASD-W,Anglophone,Saint Mary's Academy,52 Marmen Avenue,,Edmundston,Madawaska,E3V 2H2,"Kindergarten, 1-12",English,Anglais,http://sma.nbed.nb.ca,1990,POINT (-68.34375814189831 47.3662097578101),47.366209757810104,-68.34375814189829,1,1,1,1
3329,DSF-NO,Francophone,Carrefour de la Jeunesse,"54, 21e avenue",,Edmundston,Madawaska,E3V 2B9,"Maternelle, 1-8",French,Français,http://cdlj.nbed.nb.ca,2005,POINT (-68.33845921339075 47.36460436797979),47.364604367979794,-68.33845921339075,1,1,1,0
2908,ASD-W,Anglophone,Woodstock High School,144 Connell Park Road,,Woodstock,Carleton,E7M 1M4,9-12,"English, French Immersion","Anglais, Immersion française",http://whs.nbed.nb.ca,1975,POINT (-67.59091524139002 46.16145618629962),46.16145618629962,-67.59091524139002,,0,1,1
2909,ASD-W,Anglophone,Hartland Community School,217 Rockland Road,,Hartland,Carleton,E7P 0A2,"Kindergarten, 1-12",English,Anglais,http://hhs.nbed.nb.ca,2007,POINT (-67.51391404160745 46.30717703051086),46.30717703051086,-67.51391404160745,1,1,1,1
2301,ASD-S,Anglophone,Campobello Island Consolidated School,1722 Route 774,,Wilsons Beach,Charlotte,E5E 1K7,"Kindergarten, 1-12",English,Anglais,http://cics.nbed.nb.ca,1966,POINT (-66.91696016324032 44.90984392707237),44.909843927072366,-66.91696016324032,1,1,1,1
2339,ASD-S,Anglophone,Milltown Elementary School,434 Milltown Blvd.,,St. Stephen,Charlotte,E3L 1J8,"Kindergarten, 1-5",English,Anglais,http://mes.nbed.nb.ca,1992,POINT (-67.29498652906071 45.17446417265472),45.174464172654716,-67.29498652906071,1,1,0,0
2337,ASD-S,Anglophone,St. Stephen Middle School,11 School Street,,St. Stephen,Charlotte,E3L 2N4,6-8,"English, French Immersion","Anglais, Immersion française",http://ssms.nbed.nb.ca,1987,POINT (-67.27951311065233 45.19528636047335),45.195286360473354,-67.27951311065233,,1,1,0
2336,ASD-S,Anglophone,St. Stephen Elementary School,King's Court,,St. Stephen,Charlotte,E3L 3B2,"Kindergarten, 1-5","English, French Immersion","Anglais, Immersion française",http://sses.nbed.nb.ca,1969,POINT (-67.27077665640226 45.20056700218735),45.20056700218735,-67.27077665640225,1,1,0,0
2338,ASD-S,Anglophone,St. Stephen High School,282 King Street,,St. Stephen,Charlotte,E3L 4X7,9-12,"English, French Immersion","Anglais, Immersion française",http://sshs.nbed.nb.ca,1979,POINT (-67.27339175827005 45.20729218318903),45.20729218318903,-67.27339175827005,,0,1,1
2311,ASD-S,Anglophone,Vincent Massey Elementary School,166 Frederick Street,,St. Andrews,Charlotte,E5B 1Z7,"Kindergarten, 1-5",English,Anglais,http://vmes.nbed.nb.ca,1955,POINT (-67.04852492845089 45.07730062591009),45.07730062591009,-67.04852492845089,1,1,0,0
2310,ASD-S,Anglophone,Sir James Dunn Academy,180 King Street,,St. Andrews,Charlotte,E5B 1Y7,6-12,English,Anglais,http://sjda.nbed.nb.ca,1966,POINT (-67.04989784209378 45.07818355748486),45.078183557484856,-67.04989784209378,,1,1,1
2302,ASD-S,Anglophone,Lawrence Station Elementary School,6227 Route 3,,Lawrence Station,Charlotte,E5A 3C3,"Kindergarten, 1-5",English,Anglais,http://lses.nbed.nb.ca,1946,POINT (-67.17260916620761 45.42868240910358),45.42868240910357,-67.17260916620761,1,1,0,0
2704,ASD-W,Anglophone,McAdam High School,29 Lake Road,,McAdam,York,E6J 1N7,6-12,English,Anglais,http://mhs.nbed.nb.ca,1924,POINT (-67.33010574941468 45.59463800160522),45.59463800160521,-67.33010574941468,,1,1,1
2703,ASD-W,Anglophone,McAdam Elementary School,29 Rose Street,,McAdam,York,E6J 1Z1,"Kindergarten, 1-5",English,Anglais,http://mcadames.nbed.nb.ca,1945,POINT (-67.32272977505626 45.59653163418012),45.59653163418014,-67.32272977505626,1,1,0,0
513,DSF-NE,Francophone,École L'Escale-des-Jeunes,"2930, rue Morais",,Bas-Caraquet,Gloucester,E1W 6A8,"Maternelle, 1-8",French,Français,http://escaledesjeunes.nbed.nb.ca,1986,POINT (-64.83114753846516 47.79808431302605),47.798084313026045,-64.83114753846516,1,1,1,0
539,DSF-NE,Francophone,Polyvalente Louis-Mailloux,"30, rue Cormier",C. P. 5751,Caraquet,Gloucester,E1W 1B7,9-12,French,Français,http://plm.nbed.nb.ca,1970,POINT (-64.9596743473025 47.78759363641495),47.787593636414954,-64.95967434730251,,0,1,1
540,DSF-NE,Francophone,École Marguerite-Bourgeoys,"238, rue Marguerite-Bourgeoys",C. P. 5680,Caraquet,Gloucester,E1W 1B7,"Maternelle, 1-8",French,Français,http://margueritebourgeoys.blogspot.ca,1981,POINT (-64.96533163487943 47.78720405514926),47.78720405514926,-64.96533163487943,1,1,1,0
