full_name,the_geom,segment_id,type,st_name,st_type,st_dir,from_right,to_right,from_left,to_left
Barona Cove,"MULTILINESTRING ((-97.126331311802 49.955432664611, -97.126609000984 49.955054246822))",24501,STREET,Barona,COVE,,,,2,50
Ragsdill Rd,"MULTILINESTRING ((-97.039626811746 49.941178061551, -97.03954282381 49.941142830698))",23035,STREET,Ragsdill,RD,,,,,
Hawkstone St,"MULTILINESTRING ((-97.191362131246 49.801082474873, -97.191540529313 49.800966443208, -97.191688744389 49.800811017514, -97.19181802001 49.800569256489, -97.191954906475 49.800223623609))",24909,STREET,Hawkstone,ST,,3,27,,
Armoury Ave,"MULTILINESTRING ((-97.179786561247 49.891501317941, -97.180148014955 49.891515988079))",9710,STREET,Armoury,AVE,,,,,
Brazier St,"MULTILINESTRING ((-97.108390124829 49.917073463918, -97.107858208592 49.9177313635))",10066,STREET,Brazier,ST,,,,,
Waverley St,"MULTILINESTRING ((-97.178656559682 49.852715040545, -97.178779703006 49.851405507424))",15561,STREET,Waverley,ST,,857,857,816,818
Malone St,"MULTILINESTRING ((-97.309602637983 49.862515539682, -97.309797771265 49.860512516754))",6715,STREET,Malone,ST,,14,40,3,43
Service 1 St SW,"MULTILINESTRING ((-97.141613327716 49.80446445179, -97.14087885325 49.803439276509))",5107,STREET,Service 1,ST,SW,27,43,,
Browning Blvd,"MULTILINESTRING ((-97.293266031455 49.872404419409, -97.29267602338 49.872609180044, -97.292219674268 49.872705983221))",7482,STREET,Browning,BLVD,,201,207,,
Ravelston Ave W,"MULTILINESTRING ((-97.047320551772 49.904725969824, -97.050170048404 49.905675637637))",25911,STREET,Ravelston,AVE,W,1301,1323,1294,1294
Chancellors Cir,"MULTILINESTRING ((-97.132952753289 49.808984532476, -97.131784280974 49.809395028312, -97.132327667835 49.810123985186, -97.133576622984 49.809741376161, -97.132952753289 49.808984532476))",3230,STREET,Chancellors,CIR,,15,75,60,66
Wickham Rd,"MULTILINESTRING ((-97.08559537502 49.871786922754, -97.084481971635 49.871786516842))",18032,STREET,Wickham,RD,,51,75,,
Stafford St,"MULTILINESTRING ((-97.167002819516 49.875018903678, -97.166822714526 49.874629269239, -97.165796936682 49.87341670249))",15135,STREET,Stafford,ST,,,,50,50
Overdale St,"MULTILINESTRING ((-97.230435879631 49.881698501405, -97.230162741214 49.88459970332))",8666,STREET,Overdale,ST,,315,391,314,390
Main St,"MULTILINESTRING ((-97.119245403905 49.934889255531, -97.118782045393 49.935428029457))",12806,STREET,Main,ST,,1717,1733,,
Wilkes Ave,"MULTILINESTRING ((-97.255417585895 49.842832134179, -97.25794222707 49.842583783911))",15820,STREET,Wilkes,AVE,,,,3240,3350
Yale Ave W,"MULTILINESTRING ((-97.016180205876 49.896750439486, -97.020913610922 49.896777381302))",19279,STREET,Yale,AVE,W,507,569,504,568
Corydon Ave,"MULTILINESTRING ((-97.208972461536 49.865655868896, -97.209306198635 49.865854215957, -97.209950096369 49.866128448005, -97.210377566756 49.866263962757, -97.210803114911 49.866356900182, -97.211289212128 49.866418972174))",10663,STREET,Corydon,AVE,,1975,1975,1968,2016
River Rd,"MULTILINESTRING ((-97.128181410119 49.83485794443, -97.12811068606 49.834557245486, -97.128060187707 49.834176991486, -97.128039394763 49.83380281328, -97.128075844288 49.833431524063, -97.128147925159 49.833101474485, -97.128292382751 49.832691265804, -97.128503865424 49.832272743034, -97.128794110526 49.831852594932))",1908,STREET,River,RD,,30,64,35,69
Consol Ave,"MULTILINESTRING ((-97.070503733368 49.912752136916, -97.068460944386 49.912081547735, -97.068414041282 49.911979467481, -97.068900752523 49.911379783343))",20581,STREET,Consol,AVE,,1010,1070,1011,1075
Plinguet St,"MULTILINESTRING ((-97.093689431237 49.894911747522, -97.089040129739 49.895932592321))",17635,STREET,Plinguet,ST,,,,737,775
Dana Cres,"MULTILINESTRING ((-97.178552438336 49.971123840294, -97.179214415825 49.971096573127, -97.179357729204 49.971170919225, -97.179559430695 49.971868665479))",25742,STREET,Dana,CRES,,75,87,90,122
Manitoba Ave,"MULTILINESTRING ((-97.202709358463 49.933703458343, -97.204381649359 49.933702382973))",12888,STREET,Manitoba,AVE,,1933,1961,1940,1960
Flint St,"MULTILINESTRING ((-97.18667645284 49.912729488835, -97.186149317438 49.913413854222))",11332,STREET,Flint,ST,,,,,
Portage Ave,"MULTILINESTRING ((-97.190834262176 49.882202647291, -97.191478679588 49.882072375943))",14057,STREET,Portage,AVE,,1379,1381,,
Daer Blvd,"MULTILINESTRING ((-97.287118906269 49.878178433326, -97.286839340203 49.880551094669, -97.286861279724 49.880738178053))",7758,STREET,Daer,BLVD,,485,537,486,530
Jim Gauthier Dr,"MULTILINESTRING ((-97.038832335062 49.910868584869, -97.040066019924 49.91086092858))",26733,STREET,Jim Gauthier,DR,,,,,
Des Meurons St,"MULTILINESTRING ((-97.110446536166 49.878356362171, -97.110541554029 49.879131486935))",626,STREET,Des Meurons,ST,,204,220,201,221
Louelda St,"MULTILINESTRING ((-97.067042975661 49.916391453401, -97.066412714382 49.917172507921))",20797,STREET,Louelda,ST,,787,813,,
Grant Ave,"MULTILINESTRING ((-97.271906435948 49.859423047288, -97.272407071771 49.859430510785, -97.274100657251 49.859149914198))",11630,STREET,Grant,AVE,,,,4314,4314
Hunterspoint Rd,"MULTILINESTRING ((-97.29838958421 49.858977282938, -97.298458402339 49.858154862318))",6636,STREET,Hunterspoint,RD,,,,35,51
Scotswood Dr,"MULTILINESTRING ((-97.293405004939 49.858194469508, -97.293337198727 49.858339975508, -97.293215769057 49.858497385664, -97.293095245593 49.858629056371, -97.292981761305 49.85875491809, -97.292860731009 49.858946675367, -97.292781518734 49.859173607283, -97.292776895178 49.859435516291))",7016,STREET,Scotswood,DR,,81,97,90,120
Lagimodiere Blvd,"MULTILINESTRING ((-97.069003330313 49.898353037928, -97.067754373115 49.90069573671, -97.066202459415 49.902579008038))",17170,STREET,Lagimodiere,BLVD,,,,,
Avalon Rd,"MULTILINESTRING ((-97.125039479524 49.825738183581, -97.126138634235 49.825360178781))",144,STREET,Avalon,RD,,211,211,206,220
Thatcher Dr,"MULTILINESTRING ((-97.146341727425 49.81990128392, -97.146062661435 49.819563999641))",5321,STREET,Thatcher,DR,,,,30,32
Arthur Wright Cres,"MULTILINESTRING ((-97.184117609344 49.950063373326, -97.184702223738 49.950828098425, -97.184810605926 49.950923469198, -97.184949350114 49.950994067718, -97.185119328851 49.951056601567, -97.185330017035 49.951094112181, -97.187230459811 49.951065536394, -97.187631601506 49.951013769481, -97.187738492502 49.95106353169, -97.187971429963 49.951751734624))",21707,STREET,Arthur Wright,CRES,,273,361,272,386
Peguis St,"MULTILINESTRING ((-97.04726288622 49.908441391349, -97.047257361535 49.912117537618))",26261,STREET,Peguis,ST,,,,500,500
Harrow St,"MULTILINESTRING ((-97.161202778138 49.864425880302, -97.160653597873 49.86374971893))",11764,STREET,Harrow,ST,,,,,
Day St,"MULTILINESTRING ((-97.002610417661 49.902310273489, -97.002592405006 49.903083544426))",18422,STREET,Day,ST,,1200,1212,1201,1213
Hoskin Ave,"MULTILINESTRING ((-97.086143351851 49.911779061839, -97.082445186524 49.910548594307))",20685,STREET,Hoskin,AVE,,716,792,717,797
Columbus Cres,"MULTILINESTRING ((-97.294400622382 49.868247474463, -97.295550361672 49.868290277729))",7686,STREET,Columbus,CRES,,7,15,6,14
Knowles Ave,"MULTILINESTRING ((-97.045144768512 49.949431888801, -97.040950083734 49.947560267022))",25443,STREET,Knowles,AVE,,608,688,653,683
Powell Ave,"MULTILINESTRING ((-97.200932215242 49.912942590239, -97.201406698227 49.912953359674, -97.201550265973 49.912909756138))",8736,STREET,Powell,AVE,,,,,
Reg Wyatt Way,"MULTILINESTRING ((-97.048822386112 49.917008719048, -97.048457233842 49.91732342899, -97.048211946566 49.917570334445, -97.048019671601 49.917602330159, -97.047087544981 49.917291555888))",24561,STREET,Reg Wyatt,WAY,,359,375,322,376
Kenaston Blvd,"MULTILINESTRING ((-97.201138591729 49.821232707704, -97.196674424509 49.81568530003))",12273,STREET,Kenaston,BLVD,,1720,1720,1711,1799
Novavista Dr,"MULTILINESTRING ((-97.109342253306 49.820364875609, -97.108916123438 49.820291711229, -97.108720058536 49.820273325606, -97.108483974461 49.820269910967))",1460,STREET,Novavista,DR,,90,110,,
Kebir Pl,"MULTILINESTRING ((-97.141489522363 49.835142231703, -97.141925376198 49.835170290809, -97.142160766536 49.835154540236, -97.142346873198 49.835111966088, -97.143085670711 49.834861987249))",3911,STREET,Kebir,PL,,809,827,806,830
Waterfront Dr,"MULTILINESTRING ((-97.130832012821 49.900333476381, -97.130249489245 49.900556765151, -97.129122116413 49.900840360794))",23863,STREET,Waterfront,DR,,401,401,,
College Ave,"MULTILINESTRING ((-97.156664386189 49.927187834258, -97.158191589697 49.927686623785))",10584,STREET,College,AVE,,929,939,932,944
Delorme Bay,"MULTILINESTRING ((-97.162200569423 49.771193367945, -97.162268207003 49.771041864915, -97.16262115721 49.770692945668, -97.162825002194 49.770543369288, -97.16315996846 49.77042032144))",3522,STREET,Delorme,BAY,,8,24,7,43
Watt St,"MULTILINESTRING ((-97.098958079184 49.91638847779, -97.098812145488 49.916556990193))",15530,STREET,Watt,ST,,485,485,,
Kingston Row,"MULTILINESTRING ((-97.119764949957 49.856335039669, -97.12004586326 49.856247149107, -97.120599537103 49.855945116441, -97.12208658694 49.855441681516, -97.123296550725 49.855173890027, -97.124425114037 49.854806346816, -97.124731363593 49.854760123436, -97.125213327341 49.854736426302, -97.125641412626 49.854678910146, -97.125993959331 49.854593220153))",23627,STREET,Kingston,ROW,,91,143,88,138
Nurgitz Bay,"MULTILINESTRING ((-97.135175550958 49.957229166023, -97.134601724052 49.957973235004, -97.134663640812 49.958073255391, -97.13580693218 49.958448127866, -97.135966242033 49.95841107898, -97.136539018847 49.957664850997))",22241,STREET,Nurgitz,BAY,,3,75,30,74
Viola St,"MULTILINESTRING ((-97.150421938538 49.947210125741, -97.149556263717 49.948338671589))",21655,STREET,Viola,ST,,19,43,24,44
Ness Ave,"MULTILINESTRING ((-97.207309869861 49.883690836943, -97.208726671066 49.883775704806))",8537,STREET,Ness,AVE,,,,1700,1700
Overdale St,"MULTILINESTRING ((-97.230863207283 49.877243521926, -97.230435879631 49.881698501405))",8665,STREET,Overdale,ST,,199,309,200,310
College Ave,"MULTILINESTRING ((-97.12999397265 49.918584297443, -97.131617365673 49.91911419039))",10572,STREET,College,AVE,,205,285,274,290
Brentlawn Blvd,"MULTILINESTRING ((-97.165397010443 49.781251426937, -97.165101951119 49.780423427318))",3135,STREET,Brentlawn,BLVD,,137,153,,
Sylvan Way,"MULTILINESTRING ((-97.223760433191 49.928163175958, -97.224808789592 49.927693506757))",15239,STREET,Sylvan,WAY,,,,7,45
Buxton Rd,"MULTILINESTRING ((-97.142558956529 49.838082785936, -97.142600790946 49.837745633279, -97.142603634462 49.83764274234, -97.142569735684 49.837518346765, -97.142498166106 49.837404974196, -97.141877422658 49.836632643916))",3184,STREET,Buxton,RD,,207,239,202,240
Woodlark Pl,"MULTILINESTRING ((-97.134002362979 49.953675282609, -97.133420755631 49.954655365841))",22496,STREET,Woodlark,PL,,3,35,2,34
Blairmore Gardens,"MULTILINESTRING ((-96.961432075258 49.902699440607, -96.961064225912 49.902015650931, -96.961098152656 49.901906406145, -96.961391004468 49.901845273178, -96.961824490214 49.901786612348, -96.962376425801 49.901769802328, -96.962941017633 49.90180055758, -96.963617329295 49.901923915699))",24798,STREET,Blairmore Gardens,,,35,83,,
Couture Cres,"MULTILINESTRING ((-97.319131548773 49.846142427338, -97.319042109791 49.847130916991))",26651,STREET,Couture,CRES,,,,,
Red River Blvd W,"MULTILINESTRING ((-97.100693936914 49.960474404571, -97.101026098984 49.960586348233, -97.101921408395 49.960991619471))",22324,STREET,Red River,BLVD,W,177,197,168,196
East Lake Dr,"MULTILINESTRING ((-97.162118352355 49.811180772173, -97.160916130487 49.811086667544))",3604,STREET,East Lake,DR,,,,29,37
Berkshire Bay,"MULTILINESTRING ((-97.087947360838 49.871789767657, -97.090265925959 49.871782410087))",16193,STREET,Berkshire,BAY,,16,40,3,51
Corbett Dr,"MULTILINESTRING ((-97.308182908487 49.891116115497, -97.307794379143 49.891164915208))",7718,STREET,Corbett,DR,,,,188,190
Butterworth Lane,"MULTILINESTRING ((-97.203855246611 49.921623048706, -97.203354763499 49.922343883342))",10231,STREET,Butterworth,LANE,,,,,
Spence St,"MULTILINESTRING ((-97.154095423086 49.889745802442, -97.153882083763 49.892782719101))",15014,STREET,Spence,ST,,385,385,300,400
Allard Ave,"MULTILINESTRING ((-97.302740302871 49.878489512959, -97.303962729472 49.878534051523))",7230,STREET,Allard,AVE,,,,66,80
Masson St,"MULTILINESTRING ((-97.120191709243 49.891668953735, -97.118753716594 49.892048422626))",17342,STREET,Masson,ST,,,,223,223
Channing St,"MULTILINESTRING ((-97.216302891741 49.942962230747, -97.214199106115 49.942938845356))",10393,STREET,Channing,ST,,45,65,26,70
Levis St,"MULTILINESTRING ((-97.104563985464 49.911062286836, -97.103101998854 49.911225929744))",12445,STREET,Levis,ST,,,,,
Dobrinsky Dr,"MULTILINESTRING ((-97.160756465948 49.943407740988, -97.160877802552 49.943292077815, -97.161224128376 49.942839482207))",21854,STREET,Dobrinsky,DR,,,,202,222
Kildonan Meadow Dr,"MULTILINESTRING ((-97.031412735571 49.909491451849, -97.031587466172 49.910294954691))",25317,STREET,Kildonan Meadow,DR,,,,,
Broadway,"MULTILINESTRING ((-97.162358777605 49.885892307399, -97.162645940038 49.885920283647, -97.162911897769 49.885991025063))",10130,STREET,Broadway,,,,,760,762
Osborne St,"MULTILINESTRING ((-97.137692143381 49.869181616384, -97.137161058131 49.868516442432))",13662,STREET,Osborne,ST,,,,424,426
Notre Dame Ave,"MULTILINESTRING ((-97.198851255665 49.916454286359, -97.200188475836 49.916457063151))",23674,STREET,Notre Dame,AVE,,1879,1879,1860,1864
Bannatyne Ave,"MULTILINESTRING ((-97.147081228381 49.90021202841, -97.14809940738 49.900534128602))",9847,STREET,Bannatyne,AVE,,,,422,438
Killarney Ave,"MULTILINESTRING ((-97.1502951203 49.791692754592, -97.149169144511 49.792070557804))",3943,STREET,Killarney,AVE,,,,175,175
Ainsdale Way,"MULTILINESTRING ((-96.971591530711 49.902410290453, -96.97096528815 49.902399330294))",18066,STREET,Ainsdale,WAY,,58,70,,
Watt St,"MULTILINESTRING ((-97.087329906129 49.928259550105, -97.086802624829 49.928907486788))",15549,STREET,Watt,ST,,,,,
De La Seigneurie Blvd,"MULTILINESTRING ((-97.056888954833 49.826892093427, -97.05618046458 49.826429692841))",24300,STREET,De La Seigneurie,BLVD,,,,,
St Mary's Rd,"MULTILINESTRING ((-97.112495872575 49.842571300801, -97.112399828507 49.841823141702))",17829,STREET,St Mary's,RD,,952,972,967,967
Juba St,"MULTILINESTRING ((-97.199318544404 49.918494400744, -97.198805779643 49.919170050821))",7847,STREET,Juba,ST,,,,,
Adelaide St,"MULTILINESTRING ((-97.142497782955 49.899953077646, -97.141835652182 49.900820680398))",9381,STREET,Adelaide,ST,,,,148,160
Cockburn St N,"MULTILINESTRING ((-97.150499033394 49.868001452684, -97.149954218674 49.867327123873))",10558,STREET,Cockburn,ST,N,340,340,,
Healy Cres,"MULTILINESTRING ((-97.106161891645 49.803896761954, -97.105655004137 49.803280139509, -97.105537746618 49.803249138396, -97.103420772077 49.803977853562))",1007,STREET,Healy,CRES,,38,102,65,93
Inkster Garden Dr,"MULTILINESTRING ((-97.198729869066 49.949929566628, -97.199714816049 49.950486464401))",12094,STREET,Inkster Garden,DR,,,,150,150
Harvard Ave W,"MULTILINESTRING ((-97.002619190437 49.899063181175, -97.005542996965 49.899077544484))",18534,STREET,Harvard,AVE,W,107,123,106,122
Munroe Ave,"MULTILINESTRING ((-97.074858975448 49.910072056144, -97.0738004196 49.909721655399))",20872,STREET,Munroe,AVE,,,,951,981
Arden Ave,"MULTILINESTRING ((-97.113264971049 49.835326568529, -97.117253918961 49.833950424366))",86,STREET,Arden,AVE,,9,27,14,34
Maginot St,"MULTILINESTRING ((-97.08245039802 49.873508313418, -97.082336227607 49.873486478183, -97.080837966525 49.873480279111))",23844,STREET,Maginot,ST,,,,897,901
Fairhaven Rd,"MULTILINESTRING ((-97.19008284437 49.828013734999, -97.191181225033 49.827644098076))",3635,STREET,Fairhaven,RD,,3,19,,
Renfrew St,"MULTILINESTRING ((-97.195889791401 49.87074975527, -97.196209655108 49.867290960966))",14393,STREET,Renfrew,ST,,219,307,220,304
Melbourne Ave,"MULTILINESTRING ((-97.101326135341 49.923839179061, -97.097668071845 49.922618857689))",20838,STREET,Melbourne,AVE,,300,398,301,399
Principal Bay,"MULTILINESTRING ((-97.052454439625 49.951380879662, -97.052874037137 49.95100114047))",20122,STREET,Principal,BAY,,2,34,,
Inkster Blvd,"MULTILINESTRING ((-97.182572215598 49.945937484866, -97.186084800261 49.945938515435))",12068,STREET,Inkster,BLVD,,1645,1675,1650,1670
Hillary Cres,"MULTILINESTRING ((-97.298973618514 49.891377623945, -97.300483802552 49.891192891506))",8141,STREET,Hillary,CRES,,430,432,,
Bond St,"MULTILINESTRING ((-97.005494437361 49.904644694432, -97.005476839629 49.905408977331))",18170,STREET,Bond,ST,,,,,
Country Club Blvd,"MULTILINESTRING ((-97.282970001641 49.877990990772, -97.282722099331 49.880092260593))",7738,STREET,Country Club,BLVD,,499,529,496,536
De Graff Pl,"MULTILINESTRING ((-97.071179576167 49.933514942224, -97.070474567336 49.934069898388))",19563,STREET,De Graff,PL,,,,1176,1182
Lake Island Cres,"MULTILINESTRING ((-97.162118352355 49.811180772173, -97.162511274649 49.811214514539, -97.162928223619 49.811226128178, -97.163298765371 49.811203198538, -97.163723703531 49.811141202171, -97.164179953221 49.811033389629, -97.16451518382 49.811015587809))",4092,STREET,Lake Island,CRES,,3,43,2,46
Kirkfield St,"MULTILINESTRING ((-97.290547218583 49.876484028982, -97.290336343914 49.878513770641))",8291,STREET,Kirkfield,ST,,427,469,420,472
Regent Ave W,"MULTILINESTRING ((-97.002575274821 49.895068582602, -97.005484925164 49.89508270465))",18941,STREET,Regent,AVE,W,101,141,100,142
Calder Bay,"MULTILINESTRING ((-97.160355526237 49.787274418183, -97.16114873653 49.787010899076, -97.161379238193 49.786917316028, -97.161587616124 49.78679096754, -97.161739451353 49.786659399602, -97.161879251339 49.786493065685, -97.161954693577 49.786351641597, -97.162014111451 49.786192675808, -97.162027372526 49.786050629334, -97.162008386617 49.785903020875, -97.161951060085 49.785742202772, -97.161864565608 49.785580298174, -97.161574080386 49.785208954722, -97.161519012124 49.78516486225, -97.161445876585 49.785157218758, -97.161388682653 49.785169276576, -97.16124646598 49.785223203385, -97.161168850079 49.785245741575, -97.161058124459 49.785261271341, -97.160924459203 49.785265632193, -97.160085719445 49.785228233307))",3194,STREET,Calder,BAY,,3,103,2,106
Stafford St,"MULTILINESTRING ((-97.157965636073 49.863784749595, -97.157407197564 49.863101244074))",15149,STREET,Stafford,ST,,395,395,394,396
Turenne St,"MULTILINESTRING ((-97.078359813946 49.881912599577, -97.078358089986 49.883050565633, -97.078379939403 49.883165817771, -97.078445390718 49.883263281867, -97.078507693279 49.883325470972, -97.078610758583 49.883383187535, -97.080606749272 49.884225587018))",17971,STREET,Turenne,ST,,405,443,400,440
Truro St,"MULTILINESTRING ((-97.223739568695 49.888162403601, -97.223686841561 49.888715769351))",9155,STREET,Truro,ST,,,,434,442
Vassar Rd,"MULTILINESTRING ((-97.137163171932 49.79499044923, -97.137219231302 49.794253747395))",5409,STREET,Vassar,RD,,3,11,4,16
De La Seigneurie Blvd,"MULTILINESTRING ((-97.057647225145 49.827496835933, -97.056888954833 49.826892093427))",24299,STREET,De La Seigneurie,BLVD,,,,,
Castlebury Meadows Dr,"MULTILINESTRING ((-97.216474579891 49.958570409599, -97.216476589573 49.957475751254, -97.216362377506 49.957411311138, -97.215144767878 49.957399739438))",26297,STREET,Castlebury Meadows,DR,,363,479,364,416
Bruce Ave,"MULTILINESTRING ((-97.258585370756 49.882790440633, -97.259502669799 49.882831202447))",7513,STREET,Bruce,AVE,,,,330,330
Southbend Cres,"MULTILINESTRING ((-97.200889859654 49.808446837119, -97.200364328647 49.807759198276, -97.200419164213 49.807645402114, -97.201460717002 49.807295333524))",5233,STREET,Southbend,CRES,,2,18,3,55
Langton Dr,"MULTILINESTRING ((-97.055000117656 49.831689846529, -97.054687320978 49.830821058024))",1234,STREET,Langton,DR,,78,98,79,99
Lyon St,"MULTILINESTRING ((-97.145268986118 49.847948828538, -97.144671263797 49.847210659049))",4280,STREET,Lyon,ST,,,,,
Maberley Rd,"MULTILINESTRING ((-97.164076586635 49.946266773755, -97.162933559235 49.947732833755))",22030,STREET,Maberley,RD,,75,107,72,108
Hoka St,"MULTILINESTRING ((-97.016209554073 49.903164464247, -97.016191758125 49.903937739825))",18573,STREET,Hoka,ST,,,,1301,1309
Gordon Ave,"MULTILINESTRING ((-97.114130353903 49.911698011897, -97.113070737187 49.911347508113))",11549,STREET,Gordon,AVE,,,,189,203
Carlton St,"MULTILINESTRING ((-97.14594663765 49.892755012834, -97.14685630576 49.894451626734))",10284,STREET,Carlton,ST,,,,300,300
Skowron Cres,"MULTILINESTRING ((-97.04063193425 49.924259531615, -97.040553175052 49.924480830524, -97.040443312447 49.924695028609, -97.0403608994 49.924758674436, -97.040219210082 49.924751535016, -97.039824269941 49.924606683635, -97.039334456938 49.924402444339, -97.038948665877 49.92419509119, -97.038543538589 49.923946906906, -97.038206822682 49.923710081088, -97.037928439738 49.923474241498, -97.037754285651 49.923260121721))",20267,STREET,Skowron,CRES,,65,157,68,180
Hoka St,"MULTILINESTRING ((-97.016350701804 49.90572753634, -97.016472122014 49.905930458053, -97.016734626367 49.906321739331))",18577,STREET,Hoka,ST,,,,,
Rothesay St,"MULTILINESTRING ((-97.077547683593 49.940528877508, -97.076990844856 49.941212259574))",20985,STREET,Rothesay,ST,,,,,
Bluewater Cres,"MULTILINESTRING ((-97.081296343737 49.84575591467, -97.080160022767 49.845997953675, -97.079516660442 49.844750317417, -97.079611607909 49.844617349536, -97.080598734634 49.844404086099))",16260,STREET,Bluewater,CRES,,124,234,115,235
Portage Ave,"MULTILINESTRING ((-97.164659361674 49.886868168353, -97.165080223162 49.886753729363))",14025,STREET,Portage,AVE,,771,781,,
Devonshire Dr W,"MULTILINESTRING ((-97.035040809048 49.908341581438, -97.037571687313 49.908362355316))",26675,STREET,Devonshire,DR,W,,,,
Willow Point Rd,"MULTILINESTRING ((-97.081509738115 49.849852234481, -97.082548116281 49.849626551709, -97.082889040066 49.849568678232, -97.083833169836 49.849494890039))",18047,STREET,Willow Point,RD,,3,35,,
Riverside Dr,"MULTILINESTRING ((-97.146984386468 49.849289551652, -97.146414082845 49.848560825002))",14445,STREET,Riverside,DR,,67,69,66,70
Hekla Ave,"MULTILINESTRING ((-97.195108021669 49.928656167158, -97.197540521651 49.928653427375))",8110,STREET,Hekla,AVE,,1767,1787,,
Cavalier Dr,"MULTILINESTRING ((-97.300483802552 49.891192891506, -97.300934260452 49.892638677103))",7610,STREET,Cavalier,DR,,827,855,838,838
Adsum Dr,"MULTILINESTRING ((-97.19199479793 49.954779604924, -97.192241099566 49.954799654411, -97.193966784933 49.955013317226))",24611,STREET,Adsum,DR,,,,,
Princess St,"MULTILINESTRING ((-97.140454714463 49.900879491984, -97.14019037277 49.901235051772))",14277,STREET,Princess,ST,,,,186,200
Riverton Ave,"MULTILINESTRING ((-97.110325686556 49.908541769753, -97.107545126337 49.908055655717))",14451,STREET,Riverton,AVE,,306,358,311,355
Appleby Cove,"MULTILINESTRING ((-97.074761584488 49.843227837555, -97.075340782138 49.843003585081))",16050,STREET,Appleby,COVE,,,,3,43
Corydon Ave,"MULTILINESTRING ((-97.221726652027 49.866786466411, -97.223185703748 49.866844823025))",10672,STREET,Corydon,AVE,,,,,
Notre Dame Ave,"MULTILINESTRING ((-97.202626236602 49.916458901457, -97.20676984414 49.916450817244))",13600,STREET,Notre Dame,AVE,,1925,1991,1960,1960
De Vries Ave,"MULTILINESTRING ((-97.037417180745 49.940195480861, -97.036200412092 49.941777137701))",19570,STREET,De Vries,AVE,,,,2018,2060
Andrews St,"MULTILINESTRING ((-97.140313949811 49.924093314275, -97.139552170891 49.925061545453))",9588,STREET,Andrews,ST,,401,425,402,412
Mount Auburn Bay,"MULTILINESTRING ((-97.198438393828 49.954176168518, -97.197345187826 49.953840725721, -97.196998517404 49.953759116705, -97.196725733325 49.953720851562, -97.196230466024 49.953707086474, -97.196099525275 49.953638528483, -97.196107665016 49.953044376119, -97.196194275131 49.952984480871, -97.196847863371 49.952992377298, -97.19710066326 49.953000844358, -97.197418949363 49.953044352429))",13403,STREET,Mount Auburn,BAY,,10,90,3,83
Bard Blvd,"MULTILINESTRING ((-97.223905157815 49.853678179219, -97.225871703318 49.85392418025))",5586,STREET,Bard,BLVD,,137,147,130,142
Daly St S,"MULTILINESTRING ((-97.136637675641 49.857525052803, -97.135907151291 49.85662279244))",10857,STREET,Daly,ST,S,,,,
St Michael Rd,"MULTILINESTRING ((-97.126765387711 49.828869495599, -97.127542891189 49.828603134678))",23058,STREET,St Michael,RD,,137,137,138,142
Prince Edward St,"MULTILINESTRING ((-97.12445417094 49.908834807249, -97.1265242309 49.907737480553, -97.126541857491 49.907686139717, -97.126255045587 49.907468684975, -97.126255696868 49.907412451589, -97.127262745635 49.906855430959, -97.127288481152 49.906779833405, -97.126855891963 49.906453345777))",11077,STREET,Prince Edward,ST,,43,113,44,108
Grosvenor Ave,"MULTILINESTRING ((-97.193587154463 49.86718784692, -97.194906017213 49.867235131139))",11668,STREET,Grosvenor,AVE,,,,,
Perimeter 100 Hwy,"MULTILINESTRING ((-97.182525114686 49.768399096093, -97.184006372103 49.768209072825, -97.18842115459 49.768251216953, -97.213759735569 49.768170885978))",25159,STREET,Perimeter 100,HWY,,,,,
Prevette St,"MULTILINESTRING ((-97.072027873761 49.904223192097, -97.070810649367 49.905759087928))",20910,STREET,Prevette,ST,,3,43,2,42
Queen's Park Cres,"MULTILINESTRING ((-97.190532503232 49.84029644336, -97.191118014581 49.840467627876, -97.191464615935 49.840618641915, -97.191681005716 49.840755880796, -97.191680168931 49.840875638996, -97.191248957763 49.841110761041, -97.190891726737 49.841276661256, -97.189588967103 49.841736255774, -97.188929480434 49.841767153736))",4674,STREET,Queen's Park,CRES,,147,171,118,182
Kildonan Dr,"MULTILINESTRING ((-97.107920908085 49.928107548081, -97.107925248069 49.92894828354))",20697,STREET,Kildonan,DR,,719,731,724,730
Enniskillen Ave,"MULTILINESTRING ((-97.138808514049 49.938218244493, -97.140033585138 49.938615690607))",21237,STREET,Enniskillen,AVE,,575,595,574,594
Southwell Rd,"MULTILINESTRING ((-97.045374188723 49.935003913891, -97.046624250024 49.934570035655))",20274,STREET,Southwell,RD,,,,3,19
Longspur Rd,"MULTILINESTRING ((-97.193726969381 49.782918310441, -97.193165574542 49.781977108218))",26397,STREET,Longspur,RD,,30,62,,
Peterboro Bay,"MULTILINESTRING ((-97.060717709977 49.858705016113, -97.060714790467 49.856794007628, -97.06059676666 49.856724246474, -97.059693670821 49.856728443066, -97.059608138122 49.856796096488, -97.059609671855 49.858810477834))",17576,STREET,Peterboro,BAY,,1,67,2,64
Yorkwood Dr,"MULTILINESTRING ((-97.073323995496 49.824834902207, -97.072166297756 49.824281822918, -97.072128091049 49.824166497957, -97.072946683373 49.822795934635, -97.073131989674 49.822747604027, -97.074512092688 49.823090886111, -97.074638809983 49.823132539876, -97.074747043945 49.82317784118, -97.075153710334 49.823405225241))",23992,STREET,Yorkwood,DR,,2,128,3,123
