full_name,the_geom,segment_id,type,st_name,st_type,st_dir,from_right,to_right,from_left,to_left
Point West Dr,"MULTILINESTRING ((-97.170219090739 49.777338074285, -97.170741360209 49.777192547827, -97.170996785742 49.777136046229, -97.171167828323 49.777078211879, -97.17137995804 49.776970254709, -97.171571754004 49.776828718744, -97.171679110926 49.776713309916, -97.171921954034 49.776350027892))",4610,STREET,Point West,DR,,39,71,46,76
North Lake Dr,"MULTILINESTRING ((-97.308955553203 49.894590920244, -97.306816885035 49.894504637765, -97.306698149035 49.894581440051, -97.306634479693 49.895137405654, -97.306752995785 49.895224813025, -97.30888866079 49.895309534843))",8616,STREET,North Lake,DR,,3,91,6,98
Gunn Rd,"MULTILINESTRING ((-97.025181913337 49.915436952447, -97.023244129184 49.915768562602, -97.019914967644 49.91574480134))",18511,STREET,Gunn,RD,,,,,
Hawkesbury Cres,"MULTILINESTRING ((-97.197498162617 49.839876865018, -97.197702217478 49.839680153519, -97.197882042247 49.839456745542, -97.198082251345 49.839130364727))",3817,STREET,Hawkesbury,CRES,,,,75,91
Rose Hill Pl,"MULTILINESTRING ((-97.198258208848 49.946560057628, -97.197993854104 49.946546954958))",14539,STREET,Rose Hill,PL,,131,151,,
Daniel St,"MULTILINESTRING ((-97.15892193356 49.84521615179, -97.157381127902 49.843302696885))",10865,STREET,Daniel,ST,,,,,
Logan Ave,"MULTILINESTRING ((-97.134446391443 49.90212321337, -97.135849372401 49.902577543387))",12518,STREET,Logan,AVE,,,,180,180
Kissimee Rd,"MULTILINESTRING ((-97.209829860344 49.771411097376, -97.209816195612 49.770022934713))",26535,STREET,Kissimee,RD,,,,,
Redwood Ave,"MULTILINESTRING ((-97.140141769248 49.920240700513, -97.142646053171 49.921054415188))",14369,STREET,Redwood,AVE,,473,527,476,530
Langside St,"MULTILINESTRING ((-97.156637411304 49.883687633183, -97.156519649865 49.88568265463))",12399,STREET,Langside,ST,,169,239,170,212
Wentworth St,"MULTILINESTRING ((-97.159277257417 49.868815827193, -97.15863939731 49.868023126625))",15729,STREET,Wentworth,ST,,260,260,261,261
Victoria Ave E,"MULTILINESTRING ((-97.002583241526 49.895887277757, -97.000243683801 49.895891914889))",19113,STREET,Victoria,AVE,E,100,132,119,133
Ken Oblik Dr,"MULTILINESTRING ((-97.189498588845 49.771102659174, -97.189927621375 49.770704534197, -97.190251540945 49.770499864231))",26499,STREET,Ken Oblik,DR,,,,,
Donwood Dr,"MULTILINESTRING ((-97.077205171399 49.944930752085, -97.075857274271 49.944484530504, -97.075747974366 49.944420848464))",19601,STREET,Donwood,DR,,182,206,187,203
Kingsford Ave,"MULTILINESTRING ((-97.084723543778 49.938821645478, -97.080115223388 49.937297235168))",19885,STREET,Kingsford,AVE,,310,342,305,393
Mitchelson Way,"MULTILINESTRING ((-97.042662007291 49.944653563064, -97.042005693117 49.945260131268))",26922,STREET,Mitchelson,WAY,,86,90,85,93
Brazier St,"MULTILINESTRING ((-97.103157993591 49.921539455802, -97.102512905971 49.922356441066))",10073,STREET,Brazier,ST,,,,,
Brentcliffe Dr,"MULTILINESTRING ((-97.196937856409 49.838114113773, -97.195534639302 49.838074281852))",3122,STREET,Brentcliffe,DR,,2,14,,
Powers St,"MULTILINESTRING ((-97.132500222697 49.930156265353, -97.131884402646 49.930946897709))",14232,STREET,Powers,ST,,,,,
Radium Cove,"MULTILINESTRING ((-97.060167557093 49.947120601756, -97.059590480938 49.947663716042, -97.059437959457 49.947692903908, -97.056894664945 49.946552827883, -97.05684859117 49.946510798261))",20128,STREET,Radium,COVE,,30,74,11,63
Radford St,"MULTILINESTRING ((-97.161785593752 49.933214803553, -97.161029826299 49.934192952606))",23325,STREET,Radford,ST,,485,509,486,514
Elizabeth Rd,"MULTILINESTRING ((-97.091902146186 49.870987710068, -97.09098531323 49.87098531182))",16820,STREET,Elizabeth,RD,,,,619,633
Hartsdale Dr,"MULTILINESTRING ((-97.198742925638 49.829235804732, -97.199633776965 49.829092408795))",23530,STREET,Hartsdale,DR,,,,,
Ryerson Ave,"MULTILINESTRING ((-97.143748316012 49.786667683873, -97.14327616298 49.787388725775))",4986,STREET,Ryerson,AVE,,,,103,115
Silver Ave,"MULTILINESTRING ((-97.212032302032 49.887748548127, -97.213158359877 49.887792896387))",8950,STREET,Silver,AVE,,,,,
Centennial St,"MULTILINESTRING ((-97.202231741466 49.85362284826, -97.20256871551 49.850164989788))",10375,STREET,Centennial,ST,,863,963,868,952
Pembina Hwy,"MULTILINESTRING ((-97.145311854461 49.869044793338, -97.145608023605 49.868671365707))",13816,STREET,Pembina,HWY,,411,411,420,420
Colonial Crt,"MULTILINESTRING ((-96.992580861995 49.901696258396, -96.992625815235 49.903151855626, -96.992514332662 49.903246059045, -96.991415752369 49.903259220661))",18363,STREET,Colonial,CRT,,5,19,2,30
McKay Dr,"MULTILINESTRING ((-97.107007717997 49.942696065871, -97.106783208056 49.942711310399, -97.106520784239 49.942671011179, -97.106277095066 49.942590847663, -97.105564061181 49.942328486066, -97.105269927816 49.942221178172, -97.104945277284 49.942125837225, -97.104621686427 49.942058215913, -97.104078578075 49.941950990379, -97.103697782377 49.941864424003, -97.103361651565 49.9417882831, -97.103057345495 49.941666951528, -97.102751113555 49.941540046987, -97.102324221584 49.941337524675))",24949,STREET,McKay,DR,,180,180,,
Lenore St,"MULTILINESTRING ((-97.171887589323 49.879458633462, -97.171720924144 49.881659782696))",12432,STREET,Lenore,ST,,71,129,72,130
Ellice Ave,"MULTILINESTRING ((-97.186564828851 49.893793335834, -97.187200624796 49.893810825697))",11173,STREET,Ellice,AVE,,,,,
Betsworth Ave,"MULTILINESTRING ((-97.301748537692 49.855150806158, -97.30368014989 49.855215073616))",6188,STREET,Betsworth,AVE,,,,6000,6012
Mathers Ave,"MULTILINESTRING ((-97.177211905759 49.852656347253, -97.178656559682 49.852715040545))",12958,STREET,Mathers,AVE,,,,1268,1284
Castlebury Meadows Dr,"MULTILINESTRING ((-97.215144767878 49.957399739438, -97.210470699837 49.957394614836, -97.207724250946 49.958907903932, -97.207733428416 49.959452462625))",26298,STREET,Castlebury Meadows,DR,,491,709,492,688
Shorehill Dr,"MULTILINESTRING ((-97.077080781655 49.835680095375, -97.076807502935 49.835387145496, -97.076601013465 49.835081790089))",2311,STREET,Shorehill,DR,,,,,
Rosseau Ave E,"MULTILINESTRING ((-96.995771661875 49.898305323488, -96.995158595149 49.898304725589))",18988,STREET,Rosseau,AVE,E,420,420,,
Amberstone Rd,"MULTILINESTRING ((-97.18602305827 49.968615253207, -97.184906309104 49.968245294843))",25056,STREET,Amberstone,RD,,111,131,,
Brooksmere Trail,"MULTILINESTRING ((-97.202559354724 49.958313607829, -97.202871028172 49.958036400863, -97.203050951067 49.957730625686))",27005,STREET,Brooksmere,TRAIL,,,,97,121
Salter St,"MULTILINESTRING ((-97.132533678291 49.926046098663, -97.131902945518 49.92686347612))",14635,STREET,Salter,ST,,545,555,548,548
Silkwood Cres,"MULTILINESTRING ((-97.18602305827 49.968615253207, -97.185844727395 49.968847454218, -97.185762237391 49.969036587115, -97.185634806302 49.96960592251))",25058,STREET,Silkwood,CRES,,3,31,,
Rover Ave,"MULTILINESTRING ((-97.122090199119 49.907950372151, -97.123197777759 49.908481024282))",14594,STREET,Rover,AVE,,,,,
Sinclair St,"MULTILINESTRING ((-97.140890191169 49.943541348457, -97.139967033433 49.944058990268))",14976,STREET,Sinclair,ST,,,,916,924
Eccles St,"MULTILINESTRING ((-97.118188663457 49.863244667192, -97.117795367716 49.862763913632, -97.117681520761 49.862652200945, -97.11755735589 49.862578785783, -97.117360344735 49.862499805563))",11063,STREET,Eccles,ST,,,,,
Torwood Cres,"MULTILINESTRING ((-97.22112273928 49.943036271105, -97.222158197765 49.943040012134, -97.222320307674 49.943149720464, -97.222331754498 49.943891335952))",15366,STREET,Torwood,CRES,,68,92,27,55
St Michael Rd,"MULTILINESTRING ((-97.132514485086 49.826605494614, -97.133515293461 49.826252820306))",2532,STREET,St Michael,RD,,225,225,222,238
Frobisher Rd,"MULTILINESTRING ((-97.115101601261 49.79341767574, -97.114317544322 49.793299581064, -97.113555274916 49.793346077705, -97.088439323765 49.801828978221))",26031,STREET,Frobisher,RD,,,,117,133
Shenfield Rd,"MULTILINESTRING ((-97.275423660765 49.863415226231, -97.276882692743 49.863472906461))",7037,STREET,Shenfield,RD,,3,39,,
Rosseau Ave W,"MULTILINESTRING ((-97.002609739323 49.898280441397, -97.005533498525 49.898294804368))",18991,STREET,Rosseau,AVE,W,109,125,106,122
Wayoata St,"MULTILINESTRING ((-96.98895453186 49.902496936172, -96.98893704836 49.903252224952))",19169,STREET,Wayoata,ST,,,,740,756
Service 7 St S,"MULTILINESTRING ((-97.128669115573 49.809391324254, -97.128230021748 49.808980940676))",5124,STREET,Service 7,ST,S,,,,
Forest Park Dr,"MULTILINESTRING ((-97.136667987989 49.944210487357, -97.134274534961 49.943433175037, -97.134225086071 49.943270529362, -97.135364990319 49.94257944451, -97.137430483471 49.943233292887))",21247,STREET,Forest Park,DR,,2,92,1,107
Messager St,"MULTILINESTRING ((-97.12916695892 49.898197257996, -97.126570000018 49.898878491211))",17360,STREET,Messager,ST,,138,190,,
King St,"MULTILINESTRING ((-97.135224004036 49.909043891174, -97.135150589212 49.909934278182))",12328,STREET,King,ST,,505,505,476,476
Cliffwood Dr,"MULTILINESTRING ((-97.054320485729 49.844118761383, -97.054331684596 49.844532726994))",16400,STREET,Cliffwood,DR,,190,194,,
Brodick Crt,"MULTILINESTRING ((-97.204191889519 49.813553533761, -97.203824609527 49.813201138373, -97.203763687289 49.813042938848))",3156,STREET,Brodick,CRT,,,,4,32
Sherbo Cove,"MULTILINESTRING ((-96.966158852682 49.898379212123, -96.966158143071 49.898825715731))",23272,STREET,Sherbo,COVE,,,,3,51
Leola St,"MULTILINESTRING ((-96.993506947144 49.90085775379, -96.993528674858 49.901676687806))",18679,STREET,Leola,ST,,,,,
Atlantic Ave,"MULTILINESTRING ((-97.13887334647 49.930024871666, -97.141378456786 49.930829628531))",9776,STREET,Atlantic,AVE,,537,595,538,590
Highmoor Crt,"MULTILINESTRING ((-97.2003655081 49.781684386429, -97.200103333912 49.78133358528, -97.199765498111 49.78101772521))",26375,STREET,Highmoor,CRT,,43,79,3,39
Winona St,"MULTILINESTRING ((-97.007961061957 49.901565799711, -97.007957052267 49.902339311778))",19222,STREET,Winona,ST,,,,,
Winnipeg Ave,"MULTILINESTRING ((-97.176848435767 49.907873633247, -97.177278824718 49.908017068419))",15916,STREET,Winnipeg,AVE,,,,,
Horton Ave W,"MULTILINESTRING ((-97.00551645457 49.903097911371, -97.007939125068 49.903112584585))",18587,STREET,Horton,AVE,W,201,231,204,230
Terracon Pl,"MULTILINESTRING ((-97.059690410396 49.885870660447, -97.05961990682 49.890975060417))",17947,STREET,Terracon,PL,,2,164,1,105
Isleview Pl,"MULTILINESTRING ((-97.168256071735 49.77414075281, -97.168388784577 49.774304764305))",3905,STREET,Isleview,PL,,3,35,,
Continental Ave,"MULTILINESTRING ((-97.058506640571 49.943359869747, -97.056380204658 49.942514692506))",19458,STREET,Continental,AVE,,54,90,65,93
Hobart Pl,"MULTILINESTRING ((-97.091238710133 49.822532727363, -97.091543781965 49.822906554288))",1036,STREET,Hobart,PL,,,,3,47
Sage Wood Ave,"MULTILINESTRING ((-97.050617407208 49.937146858585, -97.04888185966 49.936147961528, -97.048061524554 49.935722992875))",20233,STREET,Sage Wood,AVE,,4,78,3,77
Des Trappistes St,"MULTILINESTRING ((-97.155424379781 49.763835541178, -97.157186195303 49.762784162187, -97.158917030573 49.762182023574, -97.16171830406 49.761032573719))",3534,STREET,Des Trappistes,ST,,1049,1165,1046,1152
Burnell St,"MULTILINESTRING ((-97.170574484506 49.896888220666, -97.170489132237 49.898113002483))",10174,STREET,Burnell,ST,,,,648,654
Kildare Ave E,"MULTILINESTRING ((-97.00264829635 49.900718787606, -96.998049979182 49.900783385866))",18618,STREET,Kildare,AVE,E,114,152,107,141
Rouge Rd,"MULTILINESTRING ((-97.299578063393 49.876158120775, -97.299510432548 49.876894711531))",8833,STREET,Rouge,RD,,,,390,390
Cecil St,"MULTILINESTRING ((-97.191261377918 49.913343319646, -97.19080317703 49.913547297932, -97.190393128255 49.913911930304))",10360,STREET,Cecil,ST,,,,16,26
Hobson Pl,"MULTILINESTRING ((-97.170442590792 49.812701472691, -97.170906801405 49.812555885132))",3220,STREET,Hobson,PL,,2,38,,
