idx,facility_name,source_id,authority_type,grade_range,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,facility_type,street_addr,address_str,city,province,postal_code,provider,grade_type,address_str_clean,street_no,street_name
4069,The Elms Junior Middle School,551279,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,45 Golfdown Dr,45 Golfdown Dr Etobicoke Ontario M9W2H8,Etobicoke,Ontario,M9W2H8,Province of Ontario,,45 golfdown dr etobicoke ontario m9w2h8,45,golfdown dr
4070,The Grove Community School,526890,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,108 Gladstone Avenue,108 Gladstone Avenue Toronto Ontario M6J3L2,Toronto,Ontario,M6J3L2,Province of Ontario,,108 gladstone avenue toronto ontario m6j3l2,108,gladstone avenue
4071,The Student School,947300,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,160 Glendonwynne Road,160 Glendonwynne Road Toronto Ontario M6P0A5,Toronto,Ontario,M6P0A5,Province of Ontario,,160 glendonwynne road toronto ontario m6p0a5,160,glendonwynne road
4072,The Waterfront School,555169,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,635 Queen's Quay W,635 Queen's Quay W Toronto Ontario M5V3G3,Toronto,Ontario,M5V3G3,Province of Ontario,,635 queen's quay w toronto ontario m5v3g3,635,queen's quay w
4073,Thistletown Collegiate Institute,947407,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,20 Fordwich Cres,20 Fordwich Cres Toronto Ontario M9W2T4,Toronto,Ontario,M9W2T4,Province of Ontario,,20 fordwich cres toronto ontario m9w2t4,20,fordwich cres
4074,Thomas L Wells Public School,422237,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,69 Nightstar Road,69 Nightstar Road Scarborough Ontario M1X1V6,Scarborough,Ontario,M1X1V6,Province of Ontario,,69 nightstar road scarborough ontario m1x1v6,69,nightstar road
4075,Thorncliffe Park Public School,552704,Pub Dist Sch Brd (E/F),1-5,0.0,0.0,1.0,0,0.0,Public,80 Thorncliffe Park Dr,80 Thorncliffe Park Dr East York Ontario M4H1K3,East York,Ontario,M4H1K3,Province of Ontario,,80 thorncliffe park dr east york ontario m4h1k3,80,thorncliffe park dr
4076,Three Valleys Public School,553093,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,76 Three Valleys Dr,76 Three Valleys Dr North York Ontario M3A3B7,North York,Ontario,M3A3B7,Province of Ontario,,76 three valleys dr north york ontario m3a3b7,76,three valleys dr
4077,Timberbank Junior Public School,556793,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,170 Timberbank Blvd,170 Timberbank Blvd Scarborough Ontario M1W2A3,Scarborough,Ontario,M1W2A3,Province of Ontario,,170 timberbank blvd scarborough ontario m1w2a3,170,timberbank blvd
4078,Tom Longboat Junior Public School,557200,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,37 Crow Trail,37 Crow Trail Scarborough Ontario M1B1X6,Scarborough,Ontario,M1B1X6,Province of Ontario,,37 crow trail scarborough ontario m1b1x6,37,crow trail
4079,Topcliff Public School,557382,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,65 Topcliff Ave,65 Topcliff Ave North York Ontario M3N1L6,North York,Ontario,M3N1L6,Province of Ontario,,65 topcliff ave north york ontario m3n1l6,65,topcliff ave
4080,Tredway Woodsworth Public School,607827,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,112 Sedgemount Dr,112 Sedgemount Dr Scarborough Ontario M1H1X9,Scarborough,Ontario,M1H1X9,Province of Ontario,,112 sedgemount dr scarborough ontario m1h1x9,112,sedgemount dr
4081,Tumpane Public School,562580,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,48 Tumpane St,48 Tumpane St North York Ontario M3M1L8,North York,Ontario,M3M1L8,Province of Ontario,,48 tumpane st north york ontario m3m1l8,48,tumpane st
4082,Twentieth Street Junior School,563234,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,3190 Lake Shore Blvd W,3190 Lake Shore Blvd W Etobicoke Ontario M8V1L8,Etobicoke,Ontario,M8V1L8,Province of Ontario,,3190 lake shore blvd w etobicoke ontario m8v1l8,3190,lake shore blvd w
4083,Ursula Franklin Academy,949027,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,146 Glendonwynne Rd,146 Glendonwynne Rd Toronto Ontario M6P3J7,Toronto,Ontario,M6P3J7,Province of Ontario,,146 glendonwynne rd toronto ontario m6p3j7,146,glendonwynne rd
4084,Valley Park Middle School,569135,Pub Dist Sch Brd (E/F),6-8,0.0,0.0,1.0,1,0.0,Public,130 Overlea Blvd,130 Overlea Blvd East York Ontario M3C1B2,East York,Ontario,M3C1B2,Province of Ontario,,130 overlea blvd east york ontario m3c1b2,130,overlea blvd
4085,Valleyfield Junior School,569607,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,35 Saskatoon Dr,35 Saskatoon Dr Etobicoke Ontario M9P2E8,Etobicoke,Ontario,M9P2E8,Province of Ontario,,35 saskatoon dr etobicoke ontario m9p2e8,35,saskatoon dr
4086,Victoria Park Collegiate Institute,949353,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,15 Wallingford Rd,15 Wallingford Rd Toronto Ontario M3A2V1,Toronto,Ontario,M3A2V1,Province of Ontario,,15 wallingford rd toronto ontario m3a2v1,15,wallingford rd
4087,Victoria Park Elementary School,574546,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,145 Tiago Ave,145 Tiago Ave East York Ontario M4B2A6,East York,Ontario,M4B2A6,Province of Ontario,,145 tiago ave east york ontario m4b2a6,145,tiago ave
4088,Victoria Village Public School,576239,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,88 Sweeney Dr,88 Sweeney Dr North York Ontario M4A1T7,North York,Ontario,M4A1T7,Province of Ontario,,88 sweeney dr north york ontario m4a1t7,88,sweeney dr
4089,Vradenburg Junior Public School,579092,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,50 Vradenberg Dr,50 Vradenberg Dr Scarborough Ontario M1T1M6,Scarborough,Ontario,M1T1M6,Province of Ontario,,50 vradenberg dr scarborough ontario m1t1m6,50,vradenberg dr
4090,Walter Perry Junior Public School,586374,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,45 Falmouth Ave,45 Falmouth Ave Scarborough Ontario M1K4M7,Scarborough,Ontario,M1K4M7,Province of Ontario,,45 falmouth ave scarborough ontario m1k4m7,45,falmouth ave
4091,Warren Park Junior Public School,587028,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,135 Varsity Rd,135 Varsity Rd York Ontario M6S4P4,York,Ontario,M6S4P4,Province of Ontario,,135 varsity rd york ontario m6s4p4,135,varsity rd
4092,Wedgewood Junior School,591050,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,5 Swan Ave,5 Swan Ave Etobicoke Ontario M9B1V1,Etobicoke,Ontario,M9B1V1,Province of Ontario,,5 swan ave etobicoke ontario m9b1v1,5,swan ave
4093,Wellesworth Junior School,593915,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,225 Wellesworth Dr,225 Wellesworth Dr Etobicoke Ontario M9C4S5,Etobicoke,Ontario,M9C4S5,Province of Ontario,,225 wellesworth dr etobicoke ontario m9c4s5,225,wellesworth dr
4094,West End Alternative School,928852,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,777 Bloor St W,777 Bloor St W Toronto Ontario M6G1L6,Toronto,Ontario,M6G1L6,Province of Ontario,,777 bloor st w toronto ontario m6g1l6,777,bloor st w
4095,West Glen Junior School,595608,Pub Dist Sch Brd (E/F),JK-5,1.0,1.0,1.0,0,0.0,Public,47 Cowley Ave,47 Cowley Ave Etobicoke Ontario M9B2E4,Etobicoke,Ontario,M9B2E4,Province of Ontario,,47 cowley ave etobicoke ontario m9b2e4,47,cowley ave
4096,West Hill Collegiate Institute,951560,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,350 Morningside Ave,350 Morningside Ave Toronto Ontario M1E3G3,Toronto,Ontario,M1E3G3,Province of Ontario,,350 morningside ave toronto ontario m1e3g3,350,morningside ave
4097,West Hill Public School,596256,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,299 Morningside Ave,299 Morningside Ave Scarborough Ontario M1E3G1,Scarborough,Ontario,M1E3G1,Province of Ontario,,299 morningside ave scarborough ontario m1e3g1,299,morningside ave
4098,West Humber Collegiate Institute,951749,Pub Dist Sch Brd (E/F),9-12,0.0,0.0,0.0,1,1.0,Public,1675 Martin Grove Rd,1675 Martin Grove Rd Toronto Ontario M9V3S3,Toronto,Ontario,M9V3S3,Province of Ontario,,1675 martin grove rd toronto ontario m9v3s3,1675,martin grove rd
4099,West Humber Junior Middle School,596388,Pub Dist Sch Brd (E/F),JK-8,1.0,1.0,1.0,1,0.0,Public,15 Delsing Dr,15 Delsing Dr Toronto Ontario M9W4S7,Toronto,Ontario,M9W4S7,Province of Ontario,,15 delsing dr toronto ontario m9w4s7,15,delsing dr
4100,West Preparatory Junior Public School,597554,Pub Dist Sch Brd (E/F),JK-6,1.0,1.0,1.0,0,0.0,Public,70 Ridge Hill Dr,70 Ridge Hill Dr Toronto Ontario M6C2J6,Toronto,Ontario,M6C2J6,Province of Ontario,,70 ridge hill dr toronto ontario m6c2j6,70,ridge hill dr
