Roll_No,Application_Year,Building_Permit_No,Develop__Permit__No,Date_Received,Status,Date_Of_Decision,Date_Permit_Expires,Date_Of_Occupancy_Permit,Lot,Block,Plan,Unit_No,Street_No,Street_Name,Building_Name,Business_Name,Description,No_Of_Existing_Dwelling_Units,No_Of_New_Dweling_Units,Value_of_Construction,Permit_Fee,SCC_Fee,Comments,Processing_Time
000244,2006,06BP51,,20060911,,,,,15,12,6719BC,,344,Squirrel St,,,Residential,,,375000.0000000,647.1900000,0.0000000,Duplex - Semi-Det Res,Sept 11/Sept 12
020051,2006,06BP52,,20060921,,,,,40,1,9312028,,110,Bear St,,,Commercial,,,200000.0000000,1400.0000000,0.0000000,2nd Flr Reno,Sept 21/Sept 22
000302,2006,06BP53,,20061006,Approved,20061017,20061017,,23&24,15,6719BC,,448,Elk St,,,Residential,,,6000.0000000,75.0000000,4.0000000,wood burning stove - Wood Stove,Oct 6/Oct 16
000118,2006,06BP54,,20061013,Approved,20061017,20061017,,1,6,6719BC,,201,Banff Ave,,,Commercial,,,150000.0000000,1050.0000000,36.7500000,Leasehold Improvements - Int Reno,Oct 13/Nov 7
001375,2006,06BP55,,20061115,,,,,10,29,9911211,,10,Fairholme Pl,,,Residential,,,700.0000000,75.0000000,0.0000000,Addition/Renovation to accessory building - Add'n Reno,Nov 15/Nov 21
000118,2006,06BP56,,2006112,Approved,20061124,,,1,6,6719BC,12,201,Banff Ave,,Banff Sweet Shoppe,Commercial,,,25000.0000000,175.0000000,6.1300000,Expansion / Interior Reno - Int Reno,Nov 20/Nov 21
000369,2007,07BP01,,20070206,Approved,20070424,20080424,,27-30,19,1211HU,,461,Banff Ave,,,Commercial,,,200000.0000000,1576.0000000,55.1600000,Restaurant within Hotel - IP Restaurant,Apr03 Apr24
000029,2007,07BP02,,20070212,Approved,2007022,2008022,,11&12,2,6719BC,,122,Banff Ave,,,Commercial,,,120000.0000000,945.6000000,33.1000000,Interior Renovation/Alteration - IP,Feb 16/Feb 20
000661,2007,07BP03,,20070212,Approved,20070213,20080213,,12,56,28421C,,320,Big Horn St,,,Residential,,,8000.0000000,63.0400000,2.2100000,Install 4 windows (replacing 1) - Single Family Dwelling New Window,Feb 12/Feb 13
000535,2007,07BP04,,20070215,Approved,20070223,20080223,,2,27,6719BC,,108,Otter St,,,Residential,,2,600000.0000000,4728.0000000,87.5000000,Duplex - Up&Down Duplex,Feb 15/Feb23
034507,2007,07BP05,,2007022,Approved,20070227,20080227,,7,,8211599,,404,Squirrel St,,,Residential,,,300.0000000,100.0000000,4.0000000,Installation of Exterior Window in Kitchen - New Window,Feb 20/Feb 27
020046,2007,07BP06,,20070222,Approved,20070302,20080302,,11,5,6719BC,302,221,Bear St,,,Commercial,,,3000.0000000,100.0000000,4.0000000,"Move one wall, install new lights & plugs - IP",Feb 22/Mar 02
000322,2007,07BP07,,20070223,Approved,20070302,20080302,,1-4,17,6719BC,,401,Banff Ave,,Banff Aspen Lodge,Commercial,,,15000.0000000,118.2000000,4.1400000,Employee housing renovation in lower level - IP,Feb 23/Mar 02
009172,2007,07BP08,,20070223,Approved,20070302,20080302,,3,B,7115HT,,305,Buffalo St,,,Residential,,,850000.0000000,6698.0000000,87.5000000,Single family residence - 305-Buffalo St,Feb 23/Mar 02
000133,2007,07BP09,,20070215,,,,,28-31,6,6395,,208,Bear St,,,Commercial,,,40000.0000000,315.2000000,11.0300000,Breakfast Area - IP,Feb 15/Feb 27
000176,2007,07BP10,,20070302,Approved,20070306,20080306,,28-30,8,6719BC,,"201, 203, 205",Muskrat St,,,Demolition,,,0.0000000,75.0000000,4.0000000,Demolition - Dmolition 3 Single Family Dwelling,Mar 06/Mar 06
000030,2007,07BP11,,20070306,Approved,20070306,20080306,,13-19,2,6719BC,,132,Banff Ave,,,Commercial,,,100000.0000000,788.0000000,27.5800000,Renovation - IP,Mar 06/Mar 06
000106,2007,07BP12,,20070307,Approved,2007032,2008032,,4-8,5,6719BC,216,211,Bear St,,,Commercial,,,100000.0000000,788.0000000,27.5800000,Bison Courtyard - IP,Mar 13Mar 20
000392,2007,07BP13,,20070312,Approved,2007032,2008032,,54,19,6719BC,,3,Rabbit St,,,Residential,,,20000.0000000,157.6000000,5.5200000,Firerating upgrade of a 6 plex - Fire Upgrade,Mar 13 Mar 20
