idx,facility_name,ISCED020,ISCED1,ISCED2,ISCED3,grade_range,address_str,city,postal_code,province,provider,address_str_clean,street_no,street_name
47,Spring Creek Hutterite School,1,1,1,1,Gr. K-10,BOX 29 WALSH sk T0J 3L0,WALSH,T0J 3L0,sk,Province of Saskatchewan,walsh sk t0j 3l0,,
48,Spring Lake Hutterite School,1,1,1,0,Gr. K-9,BOX 35 SWIFT CURRENT sk S9H 3V5,SWIFT CURRENT,S9H 3V5,sk,Province of Saskatchewan,swift current sk s9h 3v5,,
49,Stewart Valley School,1,1,1,0,Gr. K-8,BOX 70 STEWART VALLEY sk S0N 2P0,STEWART VALLEY,S0N 2P0,sk,Province of Saskatchewan,stewart valley sk s0n 2p0,,
50,Success School,1,1,1,0,Gr. K-9,BOX 10 SUCCESS sk S0N 2R0,SUCCESS,S0N 2R0,sk,Province of Saskatchewan,success sk s0n 2r0,,
51,Sunset Hutterite School,1,1,1,0,Gr. K-9,BOX 67 ADMIRAL sk S0N 0B0,ADMIRAL,S0N 0B0,sk,Province of Saskatchewan,admiral sk s0n 0b0,,
52,Swift Current Comprehensive High School,0,0,1,1,Gr. 9-12,1100 11TH AVENUE NE SWIFT CURRENT sk S9H 2V6,SWIFT CURRENT,S9H 2V6,sk,Province of Saskatchewan,1100 11th avenue ne swift current sk s9h 2v6,1100,11th avenue ne
53,Tompkins Hutterite School,1,1,1,0,Gr. K-8,PO BOX 243 TOMPKINS sk S0N 2S0,TOMPKINS,S0N 2S0,sk,Province of Saskatchewan,tompkins sk s0n 2s0,,
54,Tompkins School,1,1,0,0,Gr. K-5,BOX 339 TOMPKINS sk S0N 2S0,TOMPKINS,S0N 2S0,sk,Province of Saskatchewan,tompkins sk s0n 2s0,,
55,Val Marie School,1,1,1,1,Gr. K-12,BOX 240 VAL MARIE sk S0N 2T0,VAL MARIE,S0N 2T0,sk,Province of Saskatchewan,val marie sk s0n 2t0,,
56,Vanguard Community School,1,1,1,1,Gr. K-12,BOX 310 VANGUARD sk S0N 2V0,VANGUARD,S0N 2V0,sk,Province of Saskatchewan,vanguard sk s0n 2v0,,
57,Waldeck Elementary and Junior High School,1,1,1,0,Gr. K-9,BOX 90 WALDECK sk S0H 4J0,WALDECK,S0H 4J0,sk,Province of Saskatchewan,waldeck sk s0h 4j0,,
58,Webb Hutterite School,1,1,1,1,Gr. K-11,BOX 75 WEBB sk S0N 2X0,WEBB,S0N 2X0,sk,Province of Saskatchewan,webb sk s0n 2x0,,
59,Wheatland Hutterite School,1,1,1,1,Gr. K-10,BOX 138 CABRI sk S0N 0J0,CABRI,S0N 0J0,sk,Province of Saskatchewan,cabri sk s0n 0j0,,
60,Wymark Hutterite School,0,0,1,0,Gr. 7-9,PO BOX 386 STN MAIN SWIFT CURRENT sk S9H 3W8,SWIFT CURRENT,S9H 3W8,sk,Province of Saskatchewan,stn main swift current sk s9h 3w8,,
61,Wymark School,1,1,1,0,Gr. K-9,BOX 30 WYMARK sk S0N 2Y0,WYMARK,S0N 2Y0,sk,Province of Saskatchewan,wymark sk s0n 2y0,,
62,Dreambuilders High School,0,0,1,1,Gr. 9-12,345 BROADWAY ST W YORKTON sk S3N 0N8,YORKTON,S3N 0N8,sk,Province of Saskatchewan,345 broadway st w yorkton sk s3n 0n8,345,broadway st w
63,Home-based School,1,1,1,1,Gr. K-12,sk,,,sk,Province of Saskatchewan,sk,,
64,Sacred Heart High School,0,0,1,1,Gr. 9-12,280 GLADSTONE AVE. N. YORKTON sk S3N 2A8,YORKTON,S3N 2A8,sk,Province of Saskatchewan,280 gladstone ave n yorkton sk s3n 2a8,280,gladstone ave n
65,St. Alphonsus School,1,1,1,0,Gr. K-8,81 HENDERSON STREET YORKTON sk S3N 0A8,YORKTON,S3N 0A8,sk,Province of Saskatchewan,81 henderson street yorkton sk s3n 0a8,81,henderson street
66,St. Henry's Junior School,1,1,0,0,Gr. K-5,840 MAIN STREET MELVILLE sk S0A 2P0,MELVILLE,S0A 2P0,sk,Province of Saskatchewan,840 main street melville sk s0a 2p0,840,main street
67,St. Henry's Senior School,0,1,1,0,Gr. 5-9,1255 PRINCE EDWARD STREET MELVILLE sk S0A 2P0,MELVILLE,S0A 2P0,sk,Province of Saskatchewan,1255 prince edward street melville sk s0a 2p0,1255,prince edward street
68,St. Mary's School,1,1,1,0,Gr. K-8,212 INDEPENDENT STREET YORKTON sk S3N 0S8,YORKTON,S3N 0S8,sk,Province of Saskatchewan,212 independent street yorkton sk s3n 0s8,212,independent street
69,St. Michael's School,1,1,1,0,Gr. K-8,407 DARLINGTON STREET EAST YORKTON sk S3N 3Y9,YORKTON,S3N 3Y9,sk,Province of Saskatchewan,407 darlington street east yorkton sk s3n 3y9,407,darlington street east
70,St. Paul's School,1,1,1,0,Gr. K-8,487 PARKVIEW ROAD YORKTON sk S3N 2L8,YORKTON,S3N 2L8,sk,Province of Saskatchewan,487 parkview road yorkton sk s3n 2l8,487,parkview road
71,St. Theodore School,1,1,1,0,Gr. K-8,BOX 430 THEODORE sk S0A 4C0,THEODORE,S0A 4C0,sk,Province of Saskatchewan,theodore sk s0a 4c0,,
72,ECF pavillon Gustave Dubois,0,0,1,1,Gr. 7-12,2320 AVENUE LOUISE SASKATOON sk S7J 3M7,SASKATOON,S7J 3M7,sk,Province of Saskatchewan,2320 avenue louise saskatoon sk s7j 3m7,2320,avenue louise
73,École Beau Soleil,1,1,1,0,Gr. K-7,C.P. 515 GRAVELBOURG sk S0H 1X0,GRAVELBOURG,S0H 1X0,sk,Province of Saskatchewan,gravelbourg sk s0h 1x0,,
74,École Boréale,1,1,1,1,Gr. K-12,C.P. 576 PONTEIX sk S0N 1Z0,PONTEIX,S0N 1Z0,sk,Province of Saskatchewan,ponteix sk s0n 1z0,,
75,École canadienne-française,1,1,0,0,Gr. K-6,ALBERT AVE SASKATOON sk S7H 5R8,SASKATOON,S7H 5R8,sk,Province of Saskatchewan,albert ave saskatoon sk s7h 5r8,,albert ave
76,École de Bellegarde,1,1,1,1,Gr. K-12,C.P. 69 BELLEGARDE sk S0C 0J0,BELLEGARDE,S0C 0J0,sk,Province of Saskatchewan,bellegarde sk s0c 0j0,,
77,École du Parc,1,1,0,0,Gr. K-6,601 DOUGLAS AVE E REGINA sk S4N 1H7,REGINA,S4N 1H7,sk,Province of Saskatchewan,601 douglas ave e regina sk s4n 1h7,601,douglas ave
78,École Ducharme,1,1,1,1,Gr. K-10,340 OMINICA ST W MOOSE JAW sk S6H 1X5,MOOSE JAW,S6H 1X5,sk,Province of Saskatchewan,340 ominica st w moose jaw sk s6h 1x5,340,ominica st w
79,École Mathieu de Gravelbourg,0,0,1,1,Gr. 8-11,C.P. 690 GRAVELBOURG sk S0H 1X0,GRAVELBOURG,S0H 1X0,sk,Province of Saskatchewan,gravelbourg sk s0h 1x0,,
80,École MGR de Laval pavillon secondaire,0,0,1,1,Gr. 7-12,1440 9TH AVE N REGINA sk S4R 8B1,REGINA,S4R 8B1,sk,Province of Saskatchewan,1440 9th ave n regina sk s4r 8b1,1440,9th ave n
81,École Monseigneur de Laval,1,1,0,0,Gr. K-6,1601 COWAN CRES REGINA sk S4S 4C4,REGINA,S4S 4C4,sk,Province of Saskatchewan,1601 cowan cres regina sk s4s 4c4,1601,cowan cres
82,École Notre-Dame-des-Vertus,1,1,1,1,Gr. K-12,C.P. 248 ZENON PARK sk S0E 1W0,ZENON PARK,S0E 1W0,sk,Province of Saskatchewan,zenon park sk s0e 1w0,,
83,École Père Mercure,1,1,1,1,Gr. K-12,1881 99E RUE NORTH BATTLEFORD sk S9A 0R9,NORTH BATTLEFORD,S9A 0R9,sk,Province of Saskatchewan,1881 99e rue north battleford sk s9a 0r9,1881,99e rue
84,École Providence,1,1,1,1,Gr. K-12,C.P. 289 VONDA sk S0K 4N0,VONDA,S0K 4N0,sk,Province of Saskatchewan,vonda sk s0k 4n0,,
85,École St-Isidore de Bellevue,1,1,1,1,Gr. K-12,GENERAL DELIVERY ST ISIDORE DE BELLEVUE sk S0K 3Y0,ST ISIDORE DE BELLEVUE,S0K 3Y0,sk,Province of Saskatchewan,general delivery st isidore de bellevue sk s0k 3y0,,general delivery
86,École Valois,1,1,1,1,Gr. K-12,449 10E RUE EST PRINCE ALBERT sk S6V 0Z5,PRINCE ALBERT,S6V 0Z5,sk,Province of Saskatchewan,449 10e rue est prince albert sk s6v 0z5,449,10e rue est
