Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match,Check_1,Check_2,manual,idx_keep,idx_name,reason,errors,hierarchy_keep
26,26,26,26,26,26,26384fd79ca431b1f12f,d2569fcd3d5ad710ff89,Columbia College,Columbia College,1.0,1.0,0.788624592,0.744680851,438 Terminal Ave Vancouver British Columbia V6A0C1 Canada,438 Terminal Ave Vancouver BC V6A 0C1,1,1.0,1.0,1,2.95e-07,0,0,0,0,0,False,False,False,,,different ISCED,,NA
27,27,27,27,27,27,bd34809dd26bf4098b0b,73ded973e98c2bd547d9,Collingwood AM StrongStart Centre,Collingwood PM StrongStart Centre,0.96969697,0.952380952,1.0,1.0,3417 Euclid Ave Vancouver BC V5R 6H2,3417 Euclid Ave Vancouver BC V5R 6H2,1,1.0,1.0,1,0.0,1,1,1,1,1,True,True,False,,,different names,,NA
28,28,28,28,28,28,fc37813b27af85399318,8b60e9817fb35b62f10d,McCloskey Elementary AM StrongStart Cent,McCloskey Elementary PM StrongStart Cent,0.975,0.963636364,1.0,1.0,11531 80 Ave Delta BC V4C 1X5,11531 80 Ave Delta BC V4C 1X5,1,1.0,1.0,1,0.0,1,1,1,1,1,True,True,False,,,different names,,NA
29,29,29,29,29,29,f4107c43f4f7f7b4e41e,986da52e8cde09e4b23a,CDI College of Business Technology & Healthcare South Surrey,CDI College of Business Technology & Healthcare Surrey,0.9,0.959593931,0.757990045,0.724137931,112 14928 56th Ave Surrey British Columbia V3S2N5 Canada,100 11125 124th Street Surrey British Columbia V3V4V2 Canada,0,0.375,0.23570226,0,12.25968968,1,1,1,1,1,False,False,False,,,different address,,NA
30,30,30,30,30,30,65327fa72e5e62590e52,89d5f439ce99964b0d32,Bear Creek StrongStart Centre,Cougar Creek StrongStart Centre,0.870967742,0.909192188,0.62749502,0.62295082,13780 80 Ave Surrey BC V3W 7X6,12236 70A Ave Surrey BC V3W 4Z8,0,0.666666667,0.46291005,0,3.6440391,1,1,1,1,1,False,False,False,,,different address,,NA
31,31,31,31,31,31,47254103c75fcaf91050,453fac87f177cb3d2061,Bear Creek Elementary,Beaver Creek Elementary,0.913043478,0.916666667,0.457142857,0.5,13780 80 Ave Surrey BC V3W 7X6,6505 123A St Surrey BC V3W 5Y5,0,0.142857143,0.0,0,4.145105441,1,1,1,1,1,False,False,False,,,different address,,NA
32,32,32,32,32,32,dff7b9c59267fa5bc4ba,70900f903e8467702963,Valley Christian School,Valley Christian School DL,0.884615385,0.951034437,1.0,1.0,8955 Cedar St Mission BC V4S 1A3,8955 Cedar St Mission BC V4S 1A3,1,1.0,1.0,1,,1,1,1,1,1,True,True,False,,,different names,,NA
33,33,33,33,33,33,f58295aff87377801029,b697842efb78d5921912,Seminary of Christ the King,Seminary of Christ the King,1.0,1.0,0.328243976,0.344086022,34224 Dewdney Trunk Road Mission British Columbia V2V4J2 Canada,PO Box 3310 Mission BC V2V 4J5,0,0.0,0.0,0,,0,0,0,0,0,False,False,False,,,different address,,NA
34,34,34,34,34,34,2de74349f80d36b26759,80a834b3ddbac95d9921,ASIA Sumas Mountain 6 9,ASIA Sumas Mountain 9 12,0.875,0.905821627,1.0,1.0,36232 Lower Sumas Mtn Rd Abbotsford BC V3G 2J3,36232 Lower Sumas Mtn Rd Abbotsford BC V3G 2J3,1,1.0,1.0,1,0.0,1,0,1,0,1,False,False,False,,,different address,,NA
35,35,35,35,35,35,fe5c0778d1db0c1a2eb1,a34573594c83135283e2,Osoyoos Secondary,Osoyoos Secondary Alt,0.80952381,0.912870929,1.0,1.0,5800 115th St Osoyoos BC V0H 1V4,5800 115th St Osoyoos BC V0H 1V4,1,1.0,1.0,1,0.0,1,1,0,1,1,False,False,False,,,different ISCED,,NA
36,36,36,36,36,36,4314ce23896d1c839a34,fd9489323a65669f4c39,Grande Prairie Regional College,Grande Prairie Regional College,1.0,1.0,0.810326744,0.795698925,10726 106 Avenue Grande Prairie AB T8V4C4,10726 106th Ave Grande Prairie Alberta T8V4C4 Canada,1,0.75,0.755928946,1,2.79e-07,0,0,0,0,0,False,False,False,,,different ISCED,,NA
37,37,37,37,37,37,0db5dd348c1d00bb9cc1,3be9612cd62811b30545,Fairview College Northern Region,Fairview College Northern Region (GED),0.842105263,0.931271855,1.0,1.0,10901 93 Street High Level AB T0H1Z0,10901 93 Street High Level AB T0H1Z0,1,1.0,1.0,1,0.0,1,1,1,1,1,True,True,False,,,different names,,NA
38,38,38,38,38,38,670696a813f627f1f829,dd7b7aabc196426dbc61,Keyano College,Keyano College,1.0,1.0,0.775809821,0.75,8115 Franklin Avenue Box 73 Fort McMurray AB T9H2H7,8115 Franklin Ave Fort Mcmurray Alberta T9H2H7 Canada,1,1.0,1.0,1,2.37e-06,0,0,0,0,0,False,False,False,,,different ISCED,,NA
39,39,39,39,39,39,cac8f28e07b6103f4391,2a355a228ac3a0d6f597,Youngstown School,Youngstown School,1.0,1.0,0.227184734,0.246153846,10330 163 Street Edmonton AB T5P3N5,PO Box 69 Youngstown AB T0J3P0,0,0.0,0.0,0,0.0,0,1,0,0,1,False,False,False,,,different address,,NA
