Municipality,Building Use,Activity,Value of Permits,Number of Permits,Extract Date
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,Commercial,AdditionsAndRenovations,12000,1,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,Commercial,AdditionsAndRenovations,40000,1,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,Commercial,NewConstruction,60000,1,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
REGION OF QUEENS MUNICIPALITY,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
REGION OF QUEENS MUNICIPALITY,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
REGION OF QUEENS MUNICIPALITY,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
REGION OF QUEENS MUNICIPALITY,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
REGION OF QUEENS MUNICIPALITY,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
REGION OF QUEENS MUNICIPALITY,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF AMHERST,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF AMHERST,Commercial,NewConstruction,75000,1,06/01/2019 07:30:40 AM
TOWN OF AMHERST,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF AMHERST,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF AMHERST,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF AMHERST,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF ANNAPOLIS ROYAL,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF ANNAPOLIS ROYAL,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF ANNAPOLIS ROYAL,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF ANNAPOLIS ROYAL,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF ANNAPOLIS ROYAL,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF ANNAPOLIS ROYAL,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF ANTIGONISH,Commercial,AdditionsAndRenovations,16003,4,06/01/2019 07:30:40 AM
TOWN OF ANTIGONISH,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF ANTIGONISH,Industrial,AdditionsAndRenovations,35000,1,06/01/2019 07:30:40 AM
