idx,facility_name,source_id,authority_type,grade_range,facility_type,address_str,street_addr,city,province,postal_code,provider,address_str_clean,street_no,street_name
467,Cordova Bay Elementary,6363003,Public School,K-5,Standard School,5238 Cordova Bay Rd Victoria BC V8Y 2L2,5238 Cordova Bay Rd,Victoria,BC,V8Y 2L2,Province of British Columbia,5238 cordova bay rd victoria bc v8y 2l2,5238,cordova bay rd
468,Cornerstone Christian Academy,3896625,Independent School,K-7,Standard School,7890 No. 5 Rd Richmond BC V6Y 2V2,7890 No. 5 Rd,Richmond,BC,V6Y 2V2,Province of British Columbia,7890 no 5 rd richmond bc v6y 2v2,7890,no 5 rd
469,Cornerstone Christian School,3496320,Independent School,K-9,Standard School,PO Box 520 STN Main Abbotsford BC V2T 6Z7,PO Box 520 STN Main,Abbotsford,BC,V2T 6Z7,Province of British Columbia,stn main abbotsford bc v2t 6z7,,
470,Cornerstone Montessori School,3696596,Independent School,K-7,Standard School,14724 84 Ave Surrey BC V3S 2M5,14724 84 Ave,Surrey,BC,V3S 2M5,Province of British Columbia,14724 84 ave surrey bc v3s 2m5,14724,84 ave
471,Corpus Christi School,3996113,Independent School,K-7,Standard School,6344 Nanaimo St Vancouver BC V5P 4K7,6344 Nanaimo St,Vancouver,BC,V5P 4K7,Province of British Columbia,6344 nanaimo st vancouver bc v5p 4k7,6344,nanaimo st
472,Correlieu Secondary School,2828034,Public School,12-Oct,Standard School,850 Anderson Dr Quesnel BC V2J 1G4,850 Anderson Dr,Quesnel,BC,V2J 1G4,Province of British Columbia,850 anderson dr quesnel bc v2j 1g4,850,anderson dr
473,Cortes Island School,7272017,Public School,K-9,Standard School,PO Box 179 Mansons Landing BC V0P 1K0,PO Box 179,Mansons Landing,BC,V0P 1K0,Province of British Columbia,mansons landing bc v0p 1k0,,
474,Cote-du-Soleil,9347006,Public School,K-9,Standard School,4368 Michigan Ave Powell River BC V8A 2S1,4368 Michigan Ave,Powell River,BC,V8A 2S1,Province of British Columbia,4368 michigan ave powell river bc v8a 2s1,4368,michigan ave
475,Cougar Canyon Elementary,3737039,Public School,K-7,Standard School,11664 Lyon Rd Delta BC V4E 2K4,11664 Lyon Rd,Delta,BC,V4E 2K4,Province of British Columbia,11664 lyon rd delta bc v4e 2k4,11664,lyon rd
476,Cougar Creek Elementary,3636139,Public School,K-7,Standard School,12236 70A Ave Surrey BC V3W 4Z8,12236 70A Ave,Surrey,BC,V3W 4Z8,Province of British Columbia,12236 70a ave surrey bc v3w 4z8,12236,70a ave
477,Cougar Creek StrongStart Centre,3625039,StrongStart BC,Pre-K,Early Learning Program,12236 70A Ave Surrey BC V3W 4Z8,12236 70A Ave,Surrey,BC,V3W 4Z8,Province of British Columbia,12236 70a ave surrey bc v3w 4z8,12236,70a ave
478,Courtenay Elementary,7171065,Public School,K-5,Standard School,1540 McPhee Ave Courtenay BC V9N 3A5,1540 McPhee Ave,Courtenay,BC,V9N 3A5,Province of British Columbia,1540 mcphee ave courtenay bc v9n 3a5,1540,mcphee ave
479,Courtenay StrongStart Centre,7125068,StrongStart BC,Pre-K,Early Learning Program,1540 McPhee Ave Courtenay BC V9N 3A5,1540 McPhee Ave,Courtenay,BC,V9N 3A5,Province of British Columbia,1540 mcphee ave courtenay bc v9n 3a5,1540,mcphee ave
