OBJECTID;DT_MAJ_GDUNO;CD_IMM;CD_CS;NUM_IMM_CS;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;PRESC;PRIM;SEC;FORM_PRO;ADULTE;STAT_PROP_IMM;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;TYPE_CS;STYLE_CART
389;20201019;824013;824000;013;Belleau;121, rue Belleau;;19068;Saint-Henri;M;G0R3E0;0;1;0;0;0;Propriété de la CS;-71.064614;46.694578;Primaire;Franco;1_Imm_Franco_primaire
390;20201019;824014;824000;014;Saint-Joseph;295-297, rue Saint-Joseph;;25213;Lévis;V;G6V1G3;1;1;0;0;0;Propriété de la CS;-71.165575;46.827036;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
391;20201019;824022;824000;022;Saint-Dominique;2, rue de l'Entente;;25213;Lévis;V;G6V1R2;1;1;0;0;0;Propriété de la CS;-71.176256;46.816465;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
392;20201019;824023;824000;023;Moussaillons, des;807, chemin Pintendre;;25213;Lévis;V;G6C1C6;1;1;0;0;0;Propriété de la CS;-71.123304;46.754394;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
393;20201019;824028;824000;028;Auberivière, de l';3921, rue de la Fabrique;;25213;Lévis;V;G6W1T8;1;1;0;0;0;Propriété de la CS;-71.202988;46.778423;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
394;20201019;824133;824000;133;Pixels, des;23, rue Pie-X;;25213;Lévis;V;G6V4W5;1;1;0;0;0;Propriété de la CS;-71.182093;46.795127;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
395;20201019;824017;824000;017;Ruisseau, du;688, rue Saint-Joseph;;25213;Lévis;V;G6V1J4;1;1;0;0;0;Propriété de la CS;-71.13325;46.825663;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
396;20201019;824019;824000;019;Sainte-Marie;15, rue Létourneau;;25213;Lévis;V;G6V3J8;1;1;0;0;0;Propriété de la CS;-71.148943;46.826061;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
397;20201019;732013;732000;013;Écrivains, des;4400, rue Jacques-Crépeault;;23027;Québec;V;G1P1X5;1;1;0;0;0;Propriété de la CS;-71.316271;46.802769;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
398;20201019;713032;713000;032;Desbiens;383, avenue Principale;;13005;Dégelis;V;G5T1L3;0;1;1;1;0;Propriété de la CS;-68.646281;47.549461;Primaire - Secondaire - Formation professionnelle;Franco;2_Imm_Franco_prim_sec
