idx,facility_name,facility_type,longitude,latitude,street_addr,provider
171,Parc des Lions,Autre parc,45.57927,-75.423585,120 Rue Gérard-Gauthier,Gatineau
172,Parc R.-W.-Scullion,Autre parc,45.593354,-75.418828,265 Avenue de Buckingham,Gatineau
173,Parc du Château-d'Eau,Autre parc,45.589576,-75.420529,60 Rue Fall,Gatineau
174,Centre communautaire de Buckingham,Centre communautaire,45.591076,-75.411174,181 Rue Joseph,Gatineau
175,Parc Pearson,Parc récréatif,45.590267,-75.427996,490 Rue Costello,Gatineau
176,Centre communautaire Ernest-Lattion,Centre communautaire,45.393354,-75.844788,30 Rue Court,Gatineau
177,Parc des Abénaquis,Autre parc,45.415346,-75.805295,50(A) Rue des Hurons,Gatineau
178,École des Rapides-Deschènes Immeuble Saint-Médard,École primaire,45.389085,-75.803704,125 Chemin Vanier,Gatineau
179,Chalet Chénier,Centre communautaire,45.4006,-75.847468,515 Rue Jean-Chénier,Gatineau
180,Chalet des Jardins-Lavigne,Centre communautaire,45.417322,-75.839373,250 Avenue du Bois-Franc,Gatineau
181,Centre communautaire Kenneth-Lloyd,Centre communautaire,45.383731,-75.807578,26 Rue Arthur-Whelan,Gatineau
182,Parc Beaumont,Parc récréatif,45.455317,-75.861476,940 Chemin Cook,Gatineau
183,École intermédiaire Hadley,École secondaire,45.466626,-75.747742,80 Rue Daniel-Johnson,Gatineau
184,Centre communautaire d'Anger,Centre communautaire,45.526071,-75.489217,1100 Rue Yvon-Pichette,Gatineau
185,Centre communautaire de Lucerne-Nord,Centre communautaire,45.458162,-75.878028,674 Rue des Écureuils,Gatineau
186,Chalet de services Plage des Cèdres,Édifice communautaire,45.398105,-75.860042,15 Rue Raoul-Roy,Gatineau
187,Centre communautaire Portugais Les Ami Unis,Centre communautaire,45.42716,-75.72677,42 Rue Hanson,Gatineau
188,Centre de services Hull,Édifice municipal,45.452057,-75.730293,777 Boulevard de la Carrière,Gatineau
189,Centre de plein air du Lac-Leamy,Centre récréatif,45.452635,-75.726929,100 Rue Atawe,Gatineau
190,Parc Louis-Roy,Autre parc,45.384669,-75.831873,5 Rue Louis-Roy,Gatineau
191,Parc des Rapides-Deschênes,Autre parc,45.380357,-75.804912,6 Chemin Vanier,Gatineau
192,Parc des Anciens-Combattants,Autre parc,45.586265,-75.420107,95 Rue Maclaren Ouest,Gatineau
193,Parc Polyvalente le Carrefour,Parc récréatif,45.473536,-75.695631,50 Chemin de la Savane,Gatineau
194,Place D'Or 1,Résidence pour personnes âgées,45.466388,-75.698002,26 Rue Claire,Gatineau
195,Place D'Or 2,Résidence pour personnes âgées,45.466033,-75.698556,25 Rue Guertin,Gatineau
196,Place D'Or 3,Résidence pour personnes âgées,45.466013,-75.697751,20 Rue Claire,Gatineau
197,Résidence Maisonneuve,Résidence pour personnes âgées,45.52472,-75.492543,225 Rue du Progrès,Gatineau
198,Résidence du Bassin,Résidence pour personnes âgées,45.54485,-75.416849,23 Rue Saint-Pierre,Gatineau
