idx,facility_name,source_id,ISCED020,ISCED1,ISCED2,ISCED3,address_str,city,province,postal_code,provider,address_str_clean,street_no,street_name
170,Crescent Collegiate,464,0,0,1,1,"General Delivery South Dildo, NL A0B 1R0",Blaketown,NL,A0B 1R0,Province of Newfoundland and Labrador,general delivery south dildo nl a0b 1r0,,general delivery
171,Carbonear Collegiate,253,0,0,1,1,"95 Valley Road Carbonear, NL A1Y 1A6",Carbonear,NL,A1Y 1A6,Province of Newfoundland and Labrador,95 valley road carbonear nl a1y 1a6,95,valley road
172,Carbonear Academy,954,1,1,1,0,"88 Valley Road Carbonear, NL A1Y 1A7",Carbonear,NL,A1Y 1A7,Province of Newfoundland and Labrador,88 valley road carbonear nl a1y 1a7,88,valley road
173,Holy Family Elementary,258,1,1,0,0,"General Delivery Chapel Arm, NL A0B 1L0",Chapel Arm,NL,A0B 1L0,Province of Newfoundland and Labrador,general delivery chapel arm nl a0b 1l0,,general delivery
174,Coley's Point Primary,259,1,1,0,0,"P.O. Box 509 Bay Roberts, NL A0A 1G0",Coley's Point,NL,A0A 1G0,Province of Newfoundland and Labrador,bay roberts nl a0a 1g0,,
175,Immaculate Conception Elementary,260,1,1,0,0,"P. O. Box 40 Colliers, NL A0A 1Y0",Colliers,NL,A0A 1Y0,Province of Newfoundland and Labrador,p o colliers nl a0a 1y0,,
176,Admiral Academy,497,1,1,1,0,835 Conception Bay Highway Conception Bay South A1X 6G7,Conception Bay South,NL,A1X 6G7,Province of Newfoundland and Labrador,835 conception bay highway conception bay south a1x 6g7,835,conception bay highway
177,Frank Roberts Junior High,300,0,0,1,0,"P.O. Box 16040, Stn Foxtrap CBS, NL A1X 2E2",Conception Bay South (Foxtrap),NL,A1X 2E2,Province of Newfoundland and Labrador,stn foxtrap cbs nl a1x 2e2,,
178,Queen Elizabeth Regional High,302,0,0,0,1,"P.O. Box 16007 Stn. Foxtrap, CBS, NL A1X 2E2",Conception Bay South (Foxtrap),NL,A1X 2E2,Province of Newfoundland and Labrador,stn foxtrap cbs nl a1x 2e2,,
179,St. Edward's School,303,1,1,0,0,"P.O. Box 17043 Stn. Kelligrews, CBS, NL A1X 3H1",Conception Bay South (Kelligrews),NL,A1X 3H1,Province of Newfoundland and Labrador,stn kelligrews cbs nl a1x 3h1,,
180,Holy Spirit High,304,0,0,1,1,2694 Topsail Road Conception Bay South NL A1W 4B1,Conception Bay South (Manuels),NL,A1W 4B1,Province of Newfoundland and Labrador,2694 topsail road conception bay south nl a1w 4b1,2694,topsail road
181,Villanova Junior High,305,0,1,1,0,"2698 Topsail Road CBS, NL A1W 4B1",Conception Bay South (Manuels),NL,A1W 4B1,Province of Newfoundland and Labrador,2698 topsail road cbs nl a1w 4b1,2698,topsail road
182,St. George's Elementary,306,1,1,0,0,"P.O. Box 14092 Manuels, CBS, NL A1W 3J1",Conception Bay South (Manuels),NL,A1W 3J1,Province of Newfoundland and Labrador,manuels cbs nl a1w 3j1,,
183,Topsail Elementary,366,1,1,0,0,"P.O. Box 13121, Stn Topsail CBS, NL A1W 2K1",Conception Bay South (Topsail),NL,A1W 2K1,Province of Newfoundland and Labrador,stn topsail cbs nl a1w 2k1,,
184,Upper Gullies Elementary,371,1,1,0,0,"30 Roberts Road South Upper Gullies, CBS, NL A1X 6K2",Conception Bay South (Upper Gullies),NL,A1X 6K2,Province of Newfoundland and Labrador,30 roberts road south upper gullies cbs nl a1x 6k2,30,roberts road south upper gullies
185,Woodland Elementary,262,1,1,0,0,"P.O. Box 40 Dildo, NL A0B 1P0",Dildo,NL,A0B 1P0,Province of Newfoundland and Labrador,dildo nl a0b 1p0,,
186,St. Anne's Academy,435,1,1,0,0,"P.O. Box 300 Dunville, NL A0B 1S0",Dunville,NL,A0B 1S0,Province of Newfoundland and Labrador,dunville nl a0b 1s0,,
187,Baltimore School Complex,447,1,1,1,1,"General Delivery Ferryland, NL A0A 2H0",Ferryland,NL,A0A 2H0,Province of Newfoundland and Labrador,general delivery ferryland nl a0a 2h0,,general delivery
188,Acreman Elementary,265,1,1,0,0,"P. O. Box 9 Green's Harbour, NL A0B 1X0",Green's Harbour,NL,A0B 1X0,Province of Newfoundland and Labrador,p o green's harbour nl a0b 1x0,,
189,St. Francis School,269,1,1,1,0,"Box 460 Harbour Grace, NL A0A 2M0",Harbour Grace,NL,A0A 2M0,Province of Newfoundland and Labrador,harbour grace nl a0a 2m0,,
190,Holy Cross Elementary,272,1,1,0,0,"P.O. Box 280 Holyrood, NL A0A 2R0",Holyrood,NL,A0A 2R0,Province of Newfoundland and Labrador,holyrood nl a0a 2r0,,
191,St. Francis of Assisi Elementary,317,1,1,0,0,"29 Outercove Road Outer Cove, NL A1K 4E7",Logy Bay/Middle Cove/Outer Cove,NL,A1K 4E7,Province of Newfoundland and Labrador,29 outercove road outer cove nl a1k 4e7,29,outercove road
192,Mobile Central High,307,0,1,1,1,"Box 60 Mobile, NL A0A 3A0",Mobile,NL,A0A 3A0,Province of Newfoundland and Labrador,mobile nl a0a 3a0,,
193,St. Catherine's Academy,274,1,1,1,1,"P.O. Box 150 Mount Carmel, NL A0B 2M0",Mount Carmel,NL,A0B 2M0,Province of Newfoundland and Labrador,mount carmel nl a0b 2m0,,
194,Mary Queen of the World Elementary,308,1,1,0,0,"791 Topsail Road Mount Pearl, NL A1N 3J6",Mount Pearl,NL,A1N 3J6,Province of Newfoundland and Labrador,791 topsail road mount pearl nl a1n 3j6,791,topsail road
195,Morris Academy,309,1,1,0,0,"52 Roosevelt Avenue Mount Pearl, NL A1N 1Z8",Mount Pearl,NL,A1N 1Z8,Province of Newfoundland and Labrador,52 roosevelt avenue mount pearl nl a1n 1z8,52,roosevelt avenue
196,Mount Pearl Intermediate,310,0,1,1,0,"56 Ruth Avenue Mount Pearl, NL A1N 2H5",Mount Pearl,NL,A1N 2H5,Province of Newfoundland and Labrador,56 ruth avenue mount pearl nl a1n 2h5,56,ruth avenue
