X,Y,OBJECTID,CSJGISSDE_GISDATA_Civics_patspa,CSJGISSDE_GISDATA_Civics_ABADTX,CSJGISSDE_GISDATA_Civics_Expr1,CSJGISSDE_GISDATA_Civics_ENCIVS,CSJGISSDE_GISDATA_Civics_FRCIVS,CSJGISSDE_sde_BP200AL4_BPLCID,CSJGISSDE_sde_BP200AL4_BPPCB,CSJGISSDE_sde_BP200AL4_BPPYER,CSJGISSDE_sde_BP200AL4_BPPCNB,CSJGISSDE_sde_BP200AL4_BPTNNB,CSJGISSDE_sde_BP200AL4_BPATYP,CSJGISSDE_sde_BP200AL4_BPASTS,CSJGISSDE_sde_BP200AL4_BPASDC,CSJGISSDE_sde_BP200AL4_BPASDT,CSJGISSDE_sde_BP200AL4_BPADAC,CSJGISSDE_sde_BP200AL4_BPADAT,CSJGISSDE_sde_BP200AL4_BPAMPN,CSJGISSDE_sde_BP200AL4_BPAOCA,CSJGISSDE_sde_BP200AL4_BPAPRB,CSJGISSDE_sde_BP200AL4_BPATNM,CSJGISSDE_sde_BP200AL4_BPEVAL,CSJGISSDE_sde_BP200AL4_BPPBLD,CSJGISSDE_sde_BP200AL4_BPAPGP,CSJGISSDE_sde_BP200AL4_BPUSTS,CSJGISSDE_sde_BP200AL4_BPRDCD,CSJGISSDE_sde_BP200AL4_BPASQF,CSJGISSDE_sde_BP200AL4_BPAPPN,CSJGISSDE_sde_BP200AL4_BPAPDS,CSJGISSDE_sde_BP200AL4_BPAEBY
2539023.3,7364635.95,35878,05980742,CN80626,55184220,670 Grandview Avenue,670 avenue Grandview,80626,1,17,233,     ,B213,AP,1,170411,1,170328,          ,0,PB ,                         ,3000, ,      ,CI,BI,0,568649    ,Place office trailer on lot                       ,PH1623    
2530164.5,7365320.100000001490116,36128,05488693,CN81058,00051771,700 Woodward Avenue,700 avenue Woodward,81058,1,18,1032,     ,B213,AP,1,181005,1,180917,          ,0,PB ,                         ,15000, ,      ,PI,BI,0,007200    ,construct 16x24 shed for storage                  ,AB2476    
2538975.850000001490116,7366942.100000001490116,36441,01535529,CN8232,00313346,5 Myles Drive,5 promenade Myles,77732,1,17,413,     ,B112,AP,1,170518,1,170512,          ,0,PB ,                         ,30000, ,      ,CI,BI,0,854056    ,Construct 24'x32' detached garage                 ,PH1623    
2538736.7,7366124.899999998509884,36567,01537571,CN8327,00314294,58 Champlain Drive,58 promenade Champlain,77890,1,17,336,     ,B112,AP,1,170518,1,170427,          ,0,PB ,                         ,20000, ,      ,CI,BI,0,963072    ,Construct 24 x 24 garage                          ,JC1473    
2536420.05,7365200.05,36679,01538721,CN8442,00315440,19 Wilton Street,19 rue Wilton,78100,1,16,889,     ,B112,AP,1,160911,1,160831,          ,0,PB ,                         ,16000, ,      ,CI,BI,0,365558    ,Construct 16 x 26 garage on s/f home              ,JC1473    
2536853.45,7365897.8,37027,01541693,CN8743,00318469,34 Rockcliffe Street,34 rue Rockcliffe,78666,1,19,134,     ,B112,AP,1,190226,1,190220,          ,0,PB ,                         ,1000, ,      ,PI,BI,0,712614    ,Build 12' x 12' detached shed on property.        ,JR7430    
2539254.95,7365139.649999998509884,37063,01542047,CN8777,00318808,162 Champlain Drive,162 promenade Champlain,78738,1,18,1102,     ,B112,AP,1,181010,1,181004,          ,0,PB ,                         ,23000, ,      ,CI,BI,0,653742    ,Construct 24'x25' detached garage                 ,PH1623    
2536885.149999998509884,7366027.25,37774,01547495,CN9328,00324335,335 Ellerdale Street,335 rue Ellerdale,79788,1,19,352,     ,B112,AP,1,190507,1,190503,          ,200,PB ,                         ,26000, ,      ,PI,BI,0,742880    ,Construct 24'x28' detached garage                 ,PH1623    
2545279.641399998217821,7369835.458,37868,06558776,CN9407,55233126,160 Norris Road,160 chemin Norris,89550,1,17,1298,     ,B112,AP,1,171121,1,171116,          ,200,PB ,                         ,24000, ,      ,PI,BI,0,643626    ,Construct 24'x25' detached garage                 ,PH1623    
2545712.4633,7369809.4327,38595,04432916,CN9910,55159123,200 Douglas Lake Road,200 chemin Douglas Lake,90202,1,16,1246,     ,B112,AP,1,161228,1,161220,          ,0,MES,                         ,6000, ,      ,PI,BI,0,749520    ,Construct shed                                    ,PH1623    
