idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Name_Q,Addr_DL,Addr_CS,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance
18594,18593,CDI College of Business Technology and Health Care Calgary North,CDI College of Business Technology and Health Care Calgary City Centre,0.8571428571428572,0.915842590642302,0.8309859154929577,0.5576923076923077,0.6694160437330445,0,0.09090909090909094,0.09128709291752768,0,2.8924993258009253
18597,18760,Reeves College Calgary North,Reeves College Calgary South,0.9285714285714286,0.870967741935484,0.8620689655172413,0.5087719298245614,0.6218487810012564,0,0.33333333333333337,0.3429971702850177,0,5.176704509133965
18618,18593,CDI College of Business Tech and Health Care Calgary South,CDI College of Business Technology and Health Care Calgary City Centre,0.7714285714285715,0.8603552726725165,0.7323943661971831,0.4461538461538461,0.5746489800584706,0,0.2857142857142857,0.0816496580927726,0,15.152568873223286
18618,18594,CDI College of Business Tech and Health Care Calgary South,CDI College of Business Technology and Health Care Calgary North,0.875,0.9019706864290288,0.8307692307692308,0.4769230769230769,0.5387642118600322,0,0.1428571428571429,0.14907119849998599,0,12.29065569076587
18650,2471,One Beauty Academy Calgary,Calgary Academy,0.3846153846153846,0.8315218406202998,0.5925925925925926,0.3829787234042553,0.4270622132605941,0,0.5454545454545454,0.6446583712203042,0,11.978346166684977
18659,18593,Bredin College of Business and Health Care Calgary,CDI College of Business Technology and Health Care Calgary City Centre,0.5857142857142856,0.8346662876554557,0.647887323943662,0.62,0.7484502884180685,0,0.6666666666666667,0.6708203932499369,0,0.11365272445407255
18659,18594,Bredin College of Business and Health Care Calgary,CDI College of Business Technology and Health Care Calgary North,0.640625,0.8401524800714452,0.6923076923076923,0.5576923076923077,0.5758236750145248,0,0.18181818181818177,0.10206207261596574,0,2.988168116096286
18659,18618,Bredin College of Business and Health Care Calgary,CDI College of Business Tech and Health Care Calgary South,0.7068965517241379,0.865207174468345,0.7627118644067796,0.4769230769230769,0.4936391003322057,0,0.2857142857142857,0.09128709291752767,0,15.254997689651509
18663,18593,CLI College of Business Health and Technology Calgary Campus,CDI College of Business Technology and Health Care Calgary City Centre,0.5857142857142856,0.8704182495906602,0.7605633802816901,0.6,0.7306300434557335,0,0.5555555555555556,0.4216370213557839,0,7.421366847976602
18663,18594,CLI College of Business Health and Technology Calgary Campus,CDI College of Business Technology and Health Care Calgary North,0.609375,0.9013921122009447,0.8307692307692308,0.6346153846153846,0.6061301842258157,0,0.2727272727272727,0.19245008972987526,0,6.930349851208787
18663,18618,CLI College of Business Health and Technology Calgary Campus,CDI College of Business Tech and Health Care Calgary South,0.65,0.837265906855738,0.7704918032786885,0.5076923076923077,0.5800259428903417,0,0.3571428571428571,0.2581988897471611,0,15.232888178232319
