idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match
16615,16617,Acole communautaire Belz Campus Ducharme section franAaise,Acole communautaire Belz Campus Durocher section franAaise,0.9137931034482758,0.9237604307034012,0.5075192189225524,0.5538461538461539,1495 av ducharme montrAal h2v1e8,6508 rue durocher montrAal h2v3z3,0,0.33333333333333337,0.3202563076101743,0,0.6302477449731405,1,1,1,1,1
16614,16616,Acole communautaire Belz Campus Ducharme section anglaise,Acole communautaire Belz Campus Durocher section anglaise,0.9122807017543859,0.9227785597153144,0.5075192189225524,0.5538461538461539,1495 av ducharme montrAal h2v1e8,6508 rue durocher montrAal h2v3z3,0,0.33333333333333337,0.3202563076101743,0,0.6302477449731405,1,1,1,1,1
16614,16615,Acole communautaire Belz Campus Ducharme section anglaise,Acole communautaire Belz Campus Ducharme section franAaise,0.9310344827586207,0.9441175904999112,1.0,1.0,1495 av ducharme montrAal h2v1e8,1495 av ducharme montrAal h2v1e8,1,1.0,1.0000000000000002,1,0.0,1,1,1,1,1
16703,16705,Acole Socrates DAmosthAne Campus Socrates II,Acole Socrates DAmosthAne Campus Socrates III,0.9777777777777777,0.9933160713804712,0.3106303720986978,0.3728813559322034,5757 av wilderton montrAal h3s2k8,11 11e rue montrAal h8y1k6,0,0.125,0.06362847629757777,0,14.236560982149339,1,1,0,0,1
16652,16653,Acole Beth Jacob de Rav Hirschprung section anglaise,Acole Beth Jacob de Rav Hirschprung section franAaise,0.9245283018867925,0.934331459958054,1.0000000000000002,1.0,1750 av glendale montrAal h2v1b3,1750 av glendale montrAal h2v1b3,1,1.0,1.0,1,0.0,1,1,1,1,1
16801,16802,Yeshiva Gedola Merkaz Hatorah de MontrAal section anglaise,Yeshiva Gedola Merkaz Hatorah de MontrAal section francaise,0.9322033898305084,0.9397878236968458,1.0,1.0,6155 ch deacon montrAal h3s2p4,6155 ch deacon montrAal h3s2p4,1,1.0,0.9999999999999998,1,0.0,1,1,0,0,1
18909,16976,Syn Studio,Syn Studio,1.0,1.0000000000000002,0.5588744425444071,0.5904761904761905,460 saint catherine west #508 montreal quebec canada 5149987625,460 rue sainte catherine o montrAal h3b1a7,0,0.5909090909090908,0.6825001477017446,0,2.588881958800534e-06,1,1,1,1,1
14744,15957,Saints Martyrs Canadiens,Saints Martyrs Canadiens annexe,0.7741935483870968,0.9087389347953037,0.8133257084405583,0.9014084507042254,9920 rue parthenais montrAal h2b2l4,10000 rue parthenais montrAal h2b2l4,0,1.0,0.9999999999999999,1,0.08365027262802481,1,1,1,1,1
14565,15112,Sainte Bernadette Soubirous,Sainte Bernadette Soubirous annexe,0.7941176470588236,0.923811612819999,0.9666666666666667,0.9629629629629629,6855 16e av montrAal h1x2t5,6885 16e av montrAal h1x2t5,0,1.0,0.9999999999999999,1,0.06602009570323002,1,0,1,1,1
15114,14642,Saint Louis de Gonzague,Saint Louis de Gonzague annexe,0.7666666666666666,0.9027562323068256,0.5256574830378469,0.5757575757575758,2430 tsse mercure montrAal h2h1p2,2175 rue rachel e montrAal h2h1r3,0,0.16666666666666663,0.25048971643405976,0,0.30781861677487443,1,1,1,1,1
14765,14848,Saint Laurent Adifice Saint Germain,Saint Laurent Adifice Saint Germain Annexe,0.8333333333333334,0.9526279441628824,0.45028151394683397,0.5070422535211268,1870 rue decelles montrAal h4m1a8,850 boul marcel laurin montrAal h4m2m9,0,0.33333333333333337,0.12104550653376049,0,0.03661468335736192,1,1,1,1,1
15118,14572,Saint Jean de la Lande,Saint Jean de la Lande annexe,0.7586206896551724,0.9296599791147712,0.5280786895875595,0.5423728813559322,3120 av laurier e montrAal h1y1z6,5095 9e av montrAal h1y2j3,0,0.16666666666666663,0.45291081365783836,0,0.08556960104448157,1,1,1,1,1
15908,15099,Saint GArard,Saint GArard,1.0,0.9999999999999999,0.28917463464508397,0.3611111111111111,505 rue de liAge e montrAal h2p1j9,14385 boul pierrefonds montrAal h9h1z2,0,0.1875,0.0,0,18.173957554031833,1,1,1,1,1
14569,15944,Saint AndrA ApAtre,Saint AndrA ApAtre annexe,0.72,0.9092412093166349,0.5590653920196746,0.6666666666666666,215 rue prieur o montrAal h3l1r7,11015 rue tolhurst montrAal h3l3a8,0,0.5,0.3846153846153847,0,0.5389748857166111,1,1,1,1,1
15385,14939,Pierre de Coubertin,Pierre De Coubertin,0.9473684210526316,1.0000000000000002,0.4800426723563986,0.5217391304347826,4700 boul lavoisier montrAal h1r1h9,4660 rue charleroi montrAal h1h1t7,0,0.1428571428571429,0.13801311186847084,0,2.162143786942563,1,1,1,1,1
14854,14984,Notre Dame de GrAce,Notre Dame de GrAce annexe,0.7307692307692308,0.9309923193450479,0.5055789732343683,0.4634146341463415,5435 av notre dame de grAce montrAal h4a1l2,5619 ch cAte st antoine montrAal h4a1r5,0,0.05555555555555558,0.12038585308576923,0,0.35192285060664885,1,1,1,1,1
14658,14985,Notre Dame Des Victoires annexe,Notre Dame des Victoires,0.7419354838709677,0.9221228546165696,0.5928701515604371,0.6176470588235294,6120 rue la fontaine montrAal h1n2c1,2720 rue bossuet montrAal h1n2s6,0,0.33333333333333337,0.37796447300922725,0,1.294581269252214,1,1,1,1,1
14831,15070,MAtiers de la construction de MontrAal,MAtiers de la construction de MontrAal annexe 1,0.8085106382978724,0.9340401906204228,0.43041423101055826,0.5797101449275363,5205 rue parthenais montrAal h2h2h4,3320 rue hochelaga montrAal h1w1h1,0,0.5,0.3450327796711771,0,2.072049723701884,1,1,1,1,1
16734,16735,Les Acoles communautaires Skver section anglaise,Les Acoles communautaires Skver section franAaise,0.9183673469387755,0.9387972328218396,1.0,1.0,940 av outremont montrAal h2v4p8,940 av outremont montrAal h2v4p8,1,1.0,1.0000000000000002,1,0.0,1,1,0,0,1
16792,16790,Les Acoles Azrieli Talmud Torah Herzliah Campus Beutel section anglaise,Les Acoles Azrieli Talmud Torah Herzliah Campus Beutel section franAaise,0.9444444444444444,0.9547859244962514,0.9999999999999998,1.0,4840 av saint kevin montrAal h3w1p2,4840 av saint kevin montrAal h3w1p2,1,1.0,1.0,1,0.0,1,1,1,1,1
16791,16790,Les Acoles Azrieli Talmud Torah Herzliah Campus Adams section franAaise,Les Acoles Azrieli Talmud Torah Herzliah Campus Beutel section franAaise,0.9166666666666666,0.9380851459834828,0.5828155051501961,0.5945945945945946,5475 av mountain sights montrAal h3w2y8,4840 av saint kevin montrAal h3w1p2,0,0.33333333333333337,0.5007733956671914,0,0.3888225561351636,0,0,0,0,1
16791,16792,Les Acoles Azrieli Talmud Torah Herzliah Campus Adams section franAaise,Les Acoles Azrieli Talmud Torah Herzliah Campus Beutel section anglaise,0.8591549295774648,0.9045154217304137,0.5828155051501961,0.5945945945945946,5475 av mountain sights montrAal h3w2y8,4840 av saint kevin montrAal h3w1p2,0,0.33333333333333337,0.5007733956671914,0,0.3888225561351636,0,0,0,0,1
16789,16792,Les Acoles Azrieli Talmud Torah Herzliah Campus Adams section anglaise,Les Acoles Azrieli Talmud Torah Herzliah Campus Beutel section anglaise,0.9154929577464789,0.939666415794974,0.5828155051501961,0.5945945945945946,5475 av mountain sights montrAal h3w2y8,4840 av saint kevin montrAal h3w1p2,0,0.33333333333333337,0.5007733956671914,0,0.3888225561351636,0,0,0,0,1
16789,16791,Les Acoles Azrieli Talmud Torah Herzliah Campus Adams section anglaise,Les Acoles Azrieli Talmud Torah Herzliah Campus Adams section franAaise,0.9436619718309859,0.9589940926145842,1.0,1.0,5475 av mountain sights montrAal h3w2y8,5475 av mountain sights montrAal h3w2y8,1,1.0,0.9999999999999998,1,0.0,1,1,1,1,1
15727,14735,Lambert Closse,Lambert Closse,1.0,0.9999999999999999,0.40024936794580945,0.4266666666666667,6105 rue ladauversiAre montrAal h1s1r6,5840 rue saint urbain montrAal h2t2x5,0,0.3529411764705882,0.2439750182371333,0,7.142014431699295,1,1,1,1,1
16754,16755,L AcadAmie Centennial section anglaise,L AcadAmie Centennial section franAaise,0.8974358974358975,0.9072647087265548,0.9999999999999998,1.0,2065 rue sherbrooke o montrAal h3h1g6,2065 rue sherbrooke o montrAal h3h1g6,1,1.0,0.9999999999999998,1,0.0009505570072540415,1,1,1,1,1
16754,16756,L AcadAmie Centennial section anglaise,L AcadAmie Centennial section anglaise 2e cycle,0.8085106382978724,0.9220334986293894,0.3692164063486089,0.41975308641975306,2065 rue sherbrooke o montrAal h3h1g6,5100 ch de la cAte saint luc montrAal h3g2g9,0,0.125,0.21629522817435007,0,2.8845232084909966,1,1,1,1,1
