idx,facility_name,source_id,authority_type,grade_range,address_str,street_addr,postal_code,city,provider,address_str_clean,street_no,street_name
130,Astral Drive Elementary School,739,public,PR - 6,236 Astral Dr Dartmouth NS B2V 1B8 NS,236 Astral Dr,B2V 1B8,Dartmouth NS,Province of Nova Scotia,236 astral dr dartmouth ns b2v 1b8 ns,236,astral dr
131,Astral Drive Junior High School,749,public,07 - 9,238 Astral Dr Dartmouth NS B2V 1B8 NS,238 Astral Dr,B2V 1B8,Dartmouth NS,Province of Nova Scotia,238 astral dr dartmouth ns b2v 1b8 ns,238,astral dr
132,Atlantic Memorial-Terence Bay Elementary School,425,public,PP - 5,3591 Prospect Rd Shad Bay NS B3T 1Z3 NS,3591 Prospect Rd,B3T 1Z3,Shad Bay NS,Province of Nova Scotia,3591 prospect rd shad bay ns b3t 1z3 ns,3591,prospect rd
133,Atlantic View Elementary School,326,public,PP - 6,3391 Lawrencetown Rd Lawrencetown NS B2Z 1R5 NS,3391 Lawrencetown Rd,B2Z 1R5,Lawrencetown NS,Province of Nova Scotia,3391 lawrencetown rd lawrencetown ns b2z 1r5 ns,3391,lawrencetown rd
134,Auburn Drive High School,97,public,10 - 12,300 Auburn Dr Dartmouth NS B2W 6E9 NS,300 Auburn Dr,B2W 6E9,Dartmouth NS,Province of Nova Scotia,300 auburn dr dartmouth ns b2w 6e9 ns,300,auburn dr
135,Basinview Drive Community School,104,public,PR - 5,273 Basinview Dr Bedford NS B4A 3X8 NS,273 Basinview Dr,B4A 3X8,Bedford NS,Province of Nova Scotia,273 basinview dr bedford ns b4a 3x8 ns,273,basinview dr
136,Beaver Bank-Kinsac Elementary School,304,public,PR - 6,28 Kinsac Rd Beaver Bank NS B4G 1C5 NS,28 Kinsac Rd,B4G 1C5,Beaver Bank NS,Province of Nova Scotia,28 kinsac rd beaver bank ns b4g 1c5 ns,28,kinsac rd
137,Beaver Bank-Monarch Drive Elementary School,752,public,PR - 6,38 Monarch Dr Beaver Bank NS B4E 3A5 NS,38 Monarch Dr,B4E 3A5,Beaver Bank NS,Province of Nova Scotia,38 monarch dr beaver bank ns b4e 3a5 ns,38,monarch dr
138,Bedford and Forsyth Education Centres,268,public,10 - 12,426 Rocky Lake Dr Bedford NS B4A 2T5 NS,426 Rocky Lake Dr,B4A 2T5,Bedford NS,Province of Nova Scotia,426 rocky lake dr bedford ns b4a 2t5 ns,426,rocky lake dr
139,Bedford South School,937,public,PR - 6,2 Oceanview Dr Bedford NS B4A 4J6 NS,2 Oceanview Dr,B4A 4J6,Bedford NS,Province of Nova Scotia,2 oceanview dr bedford ns b4a 4j6 ns,2,oceanview dr
140,Beechville Lakeside Timberlea Jr. Elementary School,291,public,PR - 2,22 James St Timberlea NS B3T 1G9 NS,22 James St,B3T 1G9,Timberlea NS,Province of Nova Scotia,22 james st timberlea ns b3t 1g9 ns,22,james st
141,Beechville Lakeside Timberlea Sr. Elementary School,290,public,03 - 5,24 James St Timberlea NS B3T 1G9 NS,24 James St,B3T 1G9,Timberlea NS,Province of Nova Scotia,24 james st timberlea ns b3t 1g9 ns,24,james st
142,Bel Ayr Elementary School,514,public,PR - 6,4 Bell St Dartmouth NS B2W 2P3 NS,4 Bell St,B2W 2P3,Dartmouth NS,Province of Nova Scotia,4 bell st dartmouth ns b2w 2p3 ns,4,bell st
143,Bell Park Academic Centre,322,public,PP - 6,4 Thomas St Lake Echo NS B3E 1M6 NS,4 Thomas St,B3E 1M6,Lake Echo NS,Province of Nova Scotia,4 thomas st lake echo ns b3e 1m6 ns,4,thomas st
144,Bicentennial School,515,public,PP - 9,85 Victoria Rd Dartmouth NS B3A 1T9 NS,85 Victoria Rd,B3A 1T9,Dartmouth NS,Province of Nova Scotia,85 victoria rd dartmouth ns b3a 1t9 ns,85,victoria rd
145,Brookhouse Elementary School,519,public,PP - 6,15 Christopher Ave Dartmouth NS B2W 3G2 NS,15 Christopher Ave,B2W 3G2,Dartmouth NS,Province of Nova Scotia,15 christopher ave dartmouth ns b2w 3g2 ns,15,christopher ave
146,Brookside Junior High School,286,public,06 - 9,2239 Prospect Rd Hatchet Lake NS B3T 1R8 NS,2239 Prospect Rd,B3T 1R8,Hatchet Lake NS,Province of Nova Scotia,2239 prospect rd hatchet lake ns b3t 1r8 ns,2239,prospect rd
147,Burton Ettinger Elementary School,595,public,PP - 6,52 Alex St Halifax NS B3N 2W4 NS,52 Alex St,B3N 2W4,Halifax NS,Province of Nova Scotia,52 alex st halifax ns b3n 2w4 ns,52,alex st
148,Caldwell Road Elementary School,319,public,PP - 6,280 Caldwell Rd Dartmouth NS B2V 1A3 NS,280 Caldwell Rd,B2V 1A3,Dartmouth NS,Province of Nova Scotia,280 caldwell rd dartmouth ns b2v 1a3 ns,280,caldwell rd
149,Caledonia Junior High School,516,public,07 - 9,38 Caledonia Rd Dartmouth NS B2X 1K8 NS,38 Caledonia Rd,B2X 1K8,Dartmouth NS,Province of Nova Scotia,38 caledonia rd dartmouth ns b2x 1k8 ns,38,caledonia rd
150,Caudle Park Elementary School,312,public,PP - 5,35 McGee Dr Lower Sackville NS B4C 2J1 NS,35 McGee Dr,B4C 2J1,Lower Sackville NS,Province of Nova Scotia,35 mcgee dr lower sackville ns b4c 2j1 ns,35,mcgee dr
151,Cavalier Drive School,743,public,PP - 5,116 Cavalier Dr Lower Sackville NS B4C 3L9 NS,116 Cavalier Dr,B4C 3L9,Lower Sackville NS,Province of Nova Scotia,116 cavalier dr lower sackville ns b4c 3l9 ns,116,cavalier dr
152,Central Spryfield School,611,public,PP - 6,364 Herring Cove Rd Halifax NS B3R 1V8 NS,364 Herring Cove Rd,B3R 1V8,Halifax NS,Province of Nova Scotia,364 herring cove rd halifax ns b3r 1v8 ns,364,herring cove rd
153,Charles P. Allen High School,1183,public,10 - 12,200 Innovation Dr Bedford NS B4B 0G4 NS,200 Innovation Dr,B4B 0G4,Bedford NS,Province of Nova Scotia,200 innovation dr bedford ns b4b 0g4 ns,200,innovation dr
154,Chebucto Heights Elementary School,596,public,PP - 6,230 Cowie Hill Rd Halifax NS B3P 2M3 NS,230 Cowie Hill Rd,B3P 2M3,Halifax NS,Province of Nova Scotia,230 cowie hill rd halifax ns b3p 2m3 ns,230,cowie hill rd
155,Citadel High School,1109,public,10 - 12,1855 Trollope St Halifax NS B3H 0A4 NS,1855 Trollope St,B3H 0A4,Halifax NS,Province of Nova Scotia,1855 trollope st halifax ns b3h 0a4 ns,1855,trollope st halifax ns b3h
156,Clayton Park Junior High School,600,public,07 - 9,45 Plateau Cres Halifax NS B3M 2V7 NS,45 Plateau Cres,B3M 2V7,Halifax NS,Province of Nova Scotia,45 plateau cres halifax ns b3m 2v7 ns,45,plateau cres
157,Colby Village Elementary School,352,public,PP - 6,92 Colby Dr Dartmouth NS B2V 1J7 NS,92 Colby Dr,B2V 1J7,Dartmouth NS,Province of Nova Scotia,92 colby dr dartmouth ns b2v 1j7 ns,92,colby dr
158,Cole Harbour District High School,357,public,10 - 12,2 Chameau Cres Cole Harbour NS B2W 4X4 NS,2 Chameau Cres,B2W 4X4,Cole Harbour NS,Province of Nova Scotia,2 chameau cres cole harbour ns b2w 4x4 ns,2,chameau cres
159,Colonel John Stuart Elementary School,339,public,PR - 6,5 John Stewart Dr Cole Harbour NS B2W 4J7 NS,5 John Stewart Dr,B2W 4J7,Cole Harbour NS,Province of Nova Scotia,5 john stewart dr cole harbour ns b2w 4j7 ns,5,john stewart dr
160,Crichton Park Elementary School,517,public,PR - 6,49 Lyngby Ave Dartmouth NS B3A 3V1 NS,49 Lyngby Ave,B3A 3V1,Dartmouth NS,Province of Nova Scotia,49 lyngby ave dartmouth ns b3a 3v1 ns,49,lyngby ave
161,Cunard Junior High School,605,public,07 - 9,121 Williams Lake Rd Halifax NS B3P 1T6 NS,121 Williams Lake Rd,B3P 1T6,Halifax NS,Province of Nova Scotia,121 williams lake rd halifax ns b3p 1t6 ns,121,williams lake rd
162,Dartmouth High School,518,public,09 - 12,95 Victoria Rd Dartmouth NS B3A 1V2 NS,95 Victoria Rd,B3A 1V2,Dartmouth NS,Province of Nova Scotia,95 victoria rd dartmouth ns b3a 1v2 ns,95,victoria rd
163,Dartmouth South Academy,1193,public,PR - 8,111 Prince Arthur Ave Dartmouth NS B2Y 0C5 NS,111 Prince Arthur Ave,B2Y 0C5,Dartmouth NS,Province of Nova Scotia,111 prince arthur ave dartmouth ns b2y 0c5 ns,111,prince arthur ave
164,Duc d'Anville Elementary School,601,public,PP - 6,12 Clayton Park Dr Halifax NS B3M 1L3 NS,12 Clayton Park Dr,B3M 1L3,Halifax NS,Province of Nova Scotia,12 clayton park dr halifax ns b3m 1l3 ns,12,clayton park dr
165,Duncan MacMillan High School,328,public,PP - 12,481 Church Point Rd Sheet Harbour NS B0J 3B0 NS,481 Church Point Rd,B0J 3B0,Sheet Harbour NS,Province of Nova Scotia,481 church point rd sheet harbour ns b0j 3b0 ns,481,church point rd
166,Dutch Settlement Elementary School,343,public,PP - 6,990 Hwy 277 Dutch Settlement NS B2S 2J5 NS,990 Hwy 277,B2S 2J5,Dutch Settlement NS,Province of Nova Scotia,990 hwy 277 dutch settlement ns b2s 2j5 ns,990,hwy 277
167,East St. Margarets Elementary School,283,public,PP - 6,8671 Peggy's Cove Rd Indian Harbour NS B3Z 3P5 NS,8671 Peggy's Cove Rd,B3Z 3P5,Indian Harbour NS,Province of Nova Scotia,8671 peggy's cove rd indian harbour ns b3z 3p5 ns,8671,peggy's cove rd
168,Eastern Passage Education Centre,351,public,06 - 8,93 Samuel Danial Dr Eastern Passage NS B3G 1P7 NS,93 Samuel Danial Dr,B3G 1P7,Eastern Passage NS,Province of Nova Scotia,93 samuel danial dr eastern passage ns b3g 1p7 ns,93,samuel danial dr
169,Eastern Shore District High School,334,public,10 - 12,35 West Petpeswick Rd Musquodoboit Harbour NS B0J 2L0 NS,35 West Petpeswick Rd,B0J 2L0,Musquodoboit Harbour NS,Province of Nova Scotia,35 west petpeswick rd musquodoboit harbour ns b0j 2l0 ns,35,west petpeswick rd
170,Elizabeth Sutherland School,614,public,PP - 9,66 Rockingstone Rd Halifax NS B3R 2C9 NS,66 Rockingstone Rd,B3R 2C9,Halifax NS,Province of Nova Scotia,66 rockingstone rd halifax ns b3r 2c9 ns,66,rockingstone rd
171,Ellenvale Junior High School,538,public,07 - 9,88 Belle Vista Dr Dartmouth NS B2W 2X7 NS,88 Belle Vista Dr,B2W 2X7,Dartmouth NS,Province of Nova Scotia,88 belle vista dr dartmouth ns b2w 2x7 ns,88,belle vista dr
172,Eric Graves Memorial Junior High School,564,public,07 - 9,70 Dorothea Dr Dartmouth NS B2W 4M3 NS,70 Dorothea Dr,B2W 4M3,Dartmouth NS,Province of Nova Scotia,70 dorothea dr dartmouth ns b2w 4m3 ns,70,dorothea dr
173,Fairview Heights Elementary School,599,public,PP - 6,210 Coronation Ave Halifax NS B3N 2N3 NS,210 Coronation Ave,B3N 2N3,Halifax NS,Province of Nova Scotia,210 coronation ave halifax ns b3n 2n3 ns,210,coronation ave
174,Fairview Junior High School,578,public,07 - 9,155 Rosedale Ave Halifax NS B3N 2K2 NS,155 Rosedale Ave,B3N 2K2,Halifax NS,Province of Nova Scotia,155 rosedale ave halifax ns b3n 2k2 ns,155,rosedale ave
175,Five Bridges Junior High School,288,public,07 - 9,66 Hubley Rd Hubley NS B3Z 1B9 NS,66 Hubley Rd,B3Z 1B9,Hubley NS,Province of Nova Scotia,66 hubley rd hubley ns b3z 1b9 ns,66,hubley rd
176,Gaetz Brook Junior High School,356,public,07 - 9,6856 Hwy 7 Head of Chezzetcook NS B0J 1N0 NS,6856 Hwy 7,B0J 1N0,Head of Chezzetcook NS,Province of Nova Scotia,6856 hwy 7 head of chezzetcook ns b0j 1n0 ns,6856,hwy 7
177,George Bissett Elementary School,731,public,PP - 6,170 Arklow Dr Dartmouth NS B2W 4R6 NS,170 Arklow Dr,B2W 4R6,Dartmouth NS,Province of Nova Scotia,170 arklow dr dartmouth ns b2w 4r6 ns,170,arklow dr
178,Georges P. Vanier Junior High School,314,public,07 - 8,1410 Fall River Rd Fall River NS B2T 1J1 NS,1410 Fall River Rd,B2T 1J1,Fall River NS,Province of Nova Scotia,1410 fall river rd fall river ns b2t 1j1 ns,1410,fall river rd
179,Gorsebrook Junior High School,568,public,07 - 9,5966 South St Halifax NS B3H 1S6 NS,5966 South St,B3H 1S6,Halifax NS,Province of Nova Scotia,5966 south st halifax ns b3h 1s6 ns,5966,south st
180,Graham Creighton Junior High School,318,public,07 - 9,72 Cherry Brook Rd Cherry Brook NS B2Z 1A8 NS,72 Cherry Brook Rd,B2Z 1A8,Cherry Brook NS,Province of Nova Scotia,72 cherry brook rd cherry brook ns b2z 1a8 ns,72,cherry brook rd
181,Grosvenor-Wentworth Park Elementary School,602,public,PP - 6,4 Downing St Halifax NS B3M 2G4 NS,4 Downing St,B3M 2G4,Halifax NS,Province of Nova Scotia,4 downing st halifax ns b3m 2g4 ns,4,downing st
182,Halifax Central Junior High School,567,public,07 - 9,1787 Preston St Halifax NS B3H 3V7 NS,1787 Preston St,B3H 3V7,Halifax NS,Province of Nova Scotia,1787 preston st halifax ns b3h 3v7 ns,1787,preston st
183,Halifax West High School,592,public,10 - 12,283 Thomas Raddall Dr Halifax NS B3S 1R1 NS,283 Thomas Raddall Dr,B3S 1R1,Halifax NS,Province of Nova Scotia,283 thomas raddall dr halifax ns b3s 1r1 ns,283,thomas raddall dr
184,Hammonds Plains Consolidated School,306,public,PR - 5,2180 Hammonds Plains Rd Hammonds Plains NS B4B 1M5 NS,2180 Hammonds Plains Rd,B4B 1M5,Hammonds Plains NS,Province of Nova Scotia,2180 hammonds plains rd hammonds plains ns b4b 1m5 ns,2180,hammonds plains rd
185,Harbour View Elementary School,521,public,PP - 6,25 Alfred St Dartmouth NS B3A 4E8 NS,25 Alfred St,B3A 4E8,Dartmouth NS,Province of Nova Scotia,25 alfred st dartmouth ns b3a 4e8 ns,25,alfred st
186,Harold T. Barrett Junior High School,740,public,07 - 8,862 Beaver Bank Rd Beaver Bank NS B4G 1A9 NS,862 Beaver Bank Rd,B4G 1A9,Beaver Bank NS,Province of Nova Scotia,862 beaver bank rd beaver bank ns b4g 1a9 ns,862,beaver bank rd
187,Harrietsfield Elementary School,296,public,PP - 6,1150 Old Sambro Rd Harrietsfield NS B3V 1B1 NS,1150 Old Sambro Rd,B3V 1B1,Harrietsfield NS,Province of Nova Scotia,1150 old sambro rd harrietsfield ns b3v 1b1 ns,1150,old sambro rd
188,Harry R. Hamilton Elementary School,313,public,PR - 5,40 Hamilton Dr Middle Sackville NS B4E 3A9 NS,40 Hamilton Dr,B4E 3A9,Middle Sackville NS,Province of Nova Scotia,40 hamilton dr middle sackville ns b4e 3a9 ns,40,hamilton dr
189,Hawthorn Elementary School,522,public,PP - 6,10 Hawthorne St Dartmouth NS B2Y 2Y3 NS,10 Hawthorne St,B2Y 2Y3,Dartmouth NS,Province of Nova Scotia,10 hawthorne st dartmouth ns b2y 2y3 ns,10,hawthorne st
190,Herring Cove Junior High School,293,public,07 - 9,7 Lancaster Dr Herring Cove NS B3V 1H9 NS,7 Lancaster Dr,B3V 1H9,Herring Cove NS,Province of Nova Scotia,7 lancaster dr herring cove ns b3v 1h9 ns,7,lancaster dr
191,Highland Park Junior High School,571,public,07 - 9,3479 Robie St Halifax NS B3K 4S4 NS,3479 Robie St,B3K 4S4,Halifax NS,Province of Nova Scotia,3479 robie st halifax ns b3k 4s4 ns,3479,robie st
192,Hillside Park Elementary School,310,public,PP - 5,15 Hillside Ave Lower Sackville NS B4C 1W6 NS,15 Hillside Ave,B4C 1W6,Lower Sackville NS,Province of Nova Scotia,15 hillside ave lower sackville ns b4c 1w6 ns,15,hillside ave
193,Holland Road Elementary School,747,public,PR - 6,181 Holland Rd Fletchers Lake NS B2T 1A1 NS,181 Holland Rd,B2T 1A1,Fletchers Lake NS,Province of Nova Scotia,181 holland rd fletchers lake ns b2t 1a1 ns,181,holland rd
194,Humber Park Elementary School,327,public,PP - 6,5 Smallwood Ave Dartmouth NS B2W 3R6 NS,5 Smallwood Ave,B2W 3R6,Dartmouth NS,Province of Nova Scotia,5 smallwood ave dartmouth ns b2w 3r6 ns,5,smallwood ave
195,Ian Forsyth Elementary School,523,public,PP - 6,22 Glencoe Dr Dartmouth NS B2X 1J1 NS,22 Glencoe Dr,B2X 1J1,Dartmouth NS,Province of Nova Scotia,22 glencoe dr dartmouth ns b2x 1j1 ns,22,glencoe dr
196,Inglis Street Elementary School,579,public,PP - 6,5985 Inglis St Halifax NS B3H 1K7 NS,5985 Inglis St,B3H 1K7,Halifax NS,Province of Nova Scotia,5985 inglis st halifax ns b3h 1k7 ns,5985,inglis st
197,Island View High School,1196,public,09 - 12,1853 Caldwell Rd Eastern Passage NS B3G 1J3 NS,1853 Caldwell Rd,B3G 1J3,Eastern Passage NS,Province of Nova Scotia,1853 caldwell rd eastern passage ns b3g 1j3 ns,1853,caldwell rd
198,J. L. Ilsley High School,619,public,10 - 12,38 Sylvia Ave Halifax NS B3R 1J9 NS,38 Sylvia Ave,B3R 1J9,Halifax NS,Province of Nova Scotia,38 sylvia ave halifax ns b3r 1j9 ns,38,sylvia ave
199,John MacNeil Elementary School,539,public,PP - 6,62 Leaman Dr Dartmouth NS B3A 2K9 NS,62 Leaman Dr,B3A 2K9,Dartmouth NS,Province of Nova Scotia,62 leaman dr dartmouth ns b3a 2k9 ns,62,leaman dr
200,John Martin Junior High School,524,public,07 - 9,7 Brule St Dartmouth NS B3A 4G2 NS,7 Brule St,B3A 4G2,Dartmouth NS,Province of Nova Scotia,7 brule st dartmouth ns b3a 4g2 ns,7,brule st
201,John W. MacLeod-Fleming Tower Elementary School,607,public,PR - 6,1511 Purcell's Cove Rd Halifax NS B3P 1B7 NS,1511 Purcell's Cove Rd,B3P 1B7,Halifax NS,Province of Nova Scotia,1511 purcell's cove rd halifax ns b3p 1b7 ns,1511,purcell's cove rd
202,Joseph Giles Elementary School,354,public,PR - 6,54 Gregory Dr Dartmouth NS B2W 3M6 NS,54 Gregory Dr,B2W 3M6,Dartmouth NS,Province of Nova Scotia,54 gregory dr dartmouth ns b2w 3m6 ns,54,gregory dr
203,Joseph Howe Elementary School,569,public,PP - 6,2557 Maynard St Halifax NS B3K 3V6 NS,2557 Maynard St,B3K 3V6,Halifax NS,Province of Nova Scotia,2557 maynard st halifax ns b3k 3v6 ns,2557,maynard st
204,Kingswood Elementary School,1103,public,PR - 6,34 Vrege Crt Hammonds Plains NS B4B 1K2 NS,34 Vrege Crt,B4B 1K2,Hammonds Plains NS,Province of Nova Scotia,34 vrege crt hammonds plains ns b4b 1k2 ns,34,vrege crt
205,LeMarchant-St. Thomas Elementary School,1200,public,PR - 6,6141 Watt St Halifax NS B3H 2B7 NS,6141 Watt St,B3H 2B7,Halifax NS,Province of Nova Scotia,6141 watt st halifax ns b3h 2b7 ns,6141,watt st
206,Leslie Thomas Junior High School,353,public,06 - 8,100 Metropolitan Ave Lower Sackville NS B4C 2Z8 NS,100 Metropolitan Ave,B4C 2Z8,Lower Sackville NS,Province of Nova Scotia,100 metropolitan ave lower sackville ns b4c 2z8 ns,100,metropolitan ave
207,Lockview High School,968,public,09 - 12,148 Lockview Rd Fall River NS B2T 1J1 NS,148 Lockview Rd,B2T 1J1,Fall River NS,Province of Nova Scotia,148 lockview rd fall river ns b2t 1j1 ns,148,lockview rd
208,Madeline Symonds Middle School,939,public,06 - 9,290 White Hills Run Hammonds Plains NS B4B 1W6 NS,290 White Hills Run,B4B 1W6,Hammonds Plains NS,Province of Nova Scotia,290 white hills run hammonds plains ns b4b 1w6 ns,290,white hills run
209,Michael Wallace Elementary School,526,public,PR - 6,24 Andover St Dartmouth NS B2X 2L9 NS,24 Andover St,B2X 2L9,Dartmouth NS,Province of Nova Scotia,24 andover st dartmouth ns b2x 2l9 ns,24,andover st
210,Millwood Elementary School,748,public,PP - 5,190 Beaver Bank Cross Rd Lower Sackville NS B4E 1K5 NS,190 Beaver Bank Cross Rd,B4E 1K5,Lower Sackville NS,Province of Nova Scotia,190 beaver bank cross rd lower sackville ns b4e 1k5 ns,190,beaver bank cross rd
211,Millwood High School,745,public,09 - 12,141 Millwood Dr Middle Sackville NS B4E 0A1 NS,141 Millwood Dr,B4E 0A1,Middle Sackville NS,Province of Nova Scotia,141 millwood dr middle sackville ns b4e 0a1 ns,141,millwood dr
212,Mount Edward Elementary School,527,public,PP - 6,3 Windward Ave Dartmouth NS B2W 2G9 NS,3 Windward Ave,B2W 2G9,Dartmouth NS,Province of Nova Scotia,3 windward ave dartmouth ns b2w 2g9 ns,3,windward ave
213,Musquodoboit Rural High School,1149,public,07 - 12,11980 Hwy 224 Middle Musquodoboit NS B0N 1X0 NS,11980 Hwy 224,B0N 1X0,Middle Musquodoboit NS,Province of Nova Scotia,11980 hwy 224 middle musquodoboit ns b0n 1x0 ns,11980,hwy 224
214,Musquodoboit Valley Education Centre,348,public,PP - 6,12046 Hwy 224 Middle Musquodoboit NS B0N 1X0 NS,12046 Hwy 224,B0N 1X0,Middle Musquodoboit NS,Province of Nova Scotia,12046 hwy 224 middle musquodoboit ns b0n 1x0 ns,12046,hwy 224
215,Nelson Whynder Elementary School,324,public,PP - 6,979 North Preston Rd North Preston NS B2Z 1A2 NS,979 North Preston Rd,B2Z 1A2,North Preston NS,Province of Nova Scotia,979 north preston rd north preston ns b2z 1a2 ns,979,north preston rd
216,Ocean View Elementary School,56,public,PP - 3,51 Oceanview School Rd Eastern Passage NS B3G 1J3 NS,51 Oceanview School Rd,B3G 1J3,Eastern Passage NS,Province of Nova Scotia,51 oceanview school rd eastern passage ns b3g 1j3 ns,51,oceanview school rd
217,O'Connell Drive Elementary School,131,public,PP - 6,40 O'Connell Dr Porters Lake NS B3E 1E8 NS,40 O'Connell Dr,B3E 1E8,Porters Lake NS,Province of Nova Scotia,40 o'connell dr porters lake ns b3e 1e8 ns,40,o'connell dr
218,Oldfield Consolidated School,315,public,PP - 6,72 Halls Rd Enfield NS B2T 1C4 NS,72 Halls Rd,B2T 1C4,Enfield NS,Province of Nova Scotia,72 halls rd enfield ns b2t 1c4 ns,72,halls rd
219,Oxford School,572,public,PR - 9,6364 North St Halifax NS B3L 1P6 NS,6364 North St,B3L 1P6,Halifax NS,Province of Nova Scotia,6364 north st halifax ns b3l 1p6 ns,6364,north st
220,Oyster Pond Academy,1141,public,PP - 9,10583 Hwy 7 Oyster Pond NS B0J 1W0 NS,10583 Hwy 7,B0J 1W0,Oyster Pond NS,Province of Nova Scotia,10583 hwy 7 oyster pond ns b0j 1w0 ns,10583,hwy 7
221,Park West School,970,public,PR - 9,206 Langbrae Dr Halifax NS B3S 1L5 NS,206 Langbrae Dr,B3S 1L5,Halifax NS,Province of Nova Scotia,206 langbrae dr halifax ns b3s 1l5 ns,206,langbrae dr
222,Porters Lake Elementary School,1159,public,PR - 6,40 Inspiration Dr Porters Lake NS B3E 0A6 NS,40 Inspiration Dr,B3E 0A6,Porters Lake NS,Province of Nova Scotia,40 inspiration dr porters lake ns b3e 0a6 ns,40,inspiration dr
223,Portland Estates Elementary School,969,public,PR - 6,45 Portland Hills Dr Dartmouth NS B2W 6L5 NS,45 Portland Hills Dr,B2W 6L5,Dartmouth NS,Province of Nova Scotia,45 portland hills dr dartmouth ns b2w 6l5 ns,45,portland hills dr
224,Prince Andrew High School,533,public,10 - 12,31 Woodlawn Rd Dartmouth NS B2W 2R7 NS,31 Woodlawn Rd,B2W 2R7,Dartmouth NS,Province of Nova Scotia,31 woodlawn rd dartmouth ns b2w 2r7 ns,31,woodlawn rd
225,Prospect Road Elementary School,282,public,PR - 5,2199 Prospect Rd Hatchet Lake NS B3T 1R8 NS,2199 Prospect Rd,B3T 1R8,Hatchet Lake NS,Province of Nova Scotia,2199 prospect rd hatchet lake ns b3t 1r8 ns,2199,prospect rd
226,Ridgecliff Middle School,938,public,06 - 9,35 Beech Tree Run Beechville NS B3T 2E5 NS,35 Beech Tree Run,B3T 2E5,Beechville NS,Province of Nova Scotia,35 beech tree run beechville ns b3t 2e5 ns,35,beech tree run
227,Robert K. Turner Elementary School,359,public,PP - 6,141 Circassion Dr Dartmouth NS B2W 4N7 NS,141 Circassion Dr,B2W 4N7,Dartmouth NS,Province of Nova Scotia,141 circassion dr dartmouth ns b2w 4n7 ns,141,circassion dr
228,Rockingham Elementary School,603,public,PP - 6,31 Tremont Dr Halifax NS B3M 1X8 NS,31 Tremont Dr,B3M 1X8,Halifax NS,Province of Nova Scotia,31 tremont dr halifax ns b3m 1x8 ns,31,tremont dr
229,Rockingstone Heights School,609,public,PP - 9,1 Regan Dr Halifax NS B3R 2J1 NS,1 Regan Dr,B3R 2J1,Halifax NS,Province of Nova Scotia,1 regan dr halifax ns b3r 2j1 ns,1,regan dr
230,Rocky Lake Junior High School,1187,public,06 - 9,670 Rocky Lake Dr Bedford NS B4A 2T6 NS,670 Rocky Lake Dr,B4A 2T6,Bedford NS,Province of Nova Scotia,670 rocky lake dr bedford ns b4a 2t6 ns,670,rocky lake dr
231,Ross Road School,321,public,PP - 9,336 Ross Rd Westphal NS B2Z 1H2 NS,336 Ross Rd,B2Z 1H2,Westphal NS,Province of Nova Scotia,336 ross rd westphal ns b2z 1h2 ns,336,ross rd
232,Sackville Heights Elementary School,311,public,PR - 5,1225 Old Sackville Rd Middle Sackville NS B4E 3A6 NS,1225 Old Sackville Rd,B4E 3A6,Middle Sackville NS,Province of Nova Scotia,1225 old sackville rd middle sackville ns b4e 3a6 ns,1225,old sackville rd
233,Sackville Heights Junior High School,303,public,06 - 8,956 Sackville Dr Lower Sackville NS B4E 1S4 NS,956 Sackville Dr,B4E 1S4,Lower Sackville NS,Province of Nova Scotia,956 sackville dr lower sackville ns b4e 1s4 ns,956,sackville dr
234,Sackville High School,297,public,09 - 12,1 Kingfisher Way Lower Sackville NS B4C 2Y9 NS,1 Kingfisher Way,B4C 2Y9,Lower Sackville NS,Province of Nova Scotia,1 kingfisher way lower sackville ns b4c 2y9 ns,1,kingfisher way
235,Saint Mary's Elementary School,581,public,PR - 6,5614 Morris St Halifax NS B3J 1C2 NS,5614 Morris St,B3J 1C2,Halifax NS,Province of Nova Scotia,5614 morris st halifax ns b3j 1c2 ns,5614,morris st
236,Sambro Elementary School,295,public,PP - 6,3725 Old Sambro Rd Sambro NS B3V 1G1 NS,3725 Old Sambro Rd,B3V 1G1,Sambro NS,Province of Nova Scotia,3725 old sambro rd sambro ns b3v 1g1 ns,3725,old sambro rd
237,Seaside Elementary School,941,public,04 - 5,1881 Caldwell Rd Eastern Passage NS B3G 1J3 NS,1881 Caldwell Rd,B3G 1J3,Eastern Passage NS,Province of Nova Scotia,1881 caldwell rd eastern passage ns b3g 1j3 ns,1881,caldwell rd
238,Shannon Park Elementary School,534,public,PR - 6,75 Iroquois Dr Dartmouth NS B3A 4M5 NS,75 Iroquois Dr,B3A 4M5,Dartmouth NS,Province of Nova Scotia,75 iroquois dr dartmouth ns b3a 4m5 ns,75,iroquois dr
239,Shatford Memorial Elementary School,287,public,PR - 6,10089 St. Margaret's Bay Rd Hubbards NS B0J 1T0 NS,10089 St. Margaret's Bay Rd,B0J 1T0,Hubbards NS,Province of Nova Scotia,10089 st margaret's bay rd hubbards ns b0j 1t0 ns,10089,st margaret's bay rd
240,Sir Charles Tupper School,589,public,PP - 6,1930 Cambridge St Halifax NS B3H 4S5 NS,1930 Cambridge St,B3H 4S5,Halifax NS,Province of Nova Scotia,1930 cambridge st halifax ns b3h 4s5 ns,1930,cambridge st
