idx,facility_name,source_id,authority_type,grade_range,address_str,street_addr,postal_code,city,provider,address_str_clean,street_no,street_name
321,École Stella-Maris,219,public,PP - 6,"288, ch. Peter Dugas Meteghan N.-É. B0W 2J0 NS","288, ch. Peter Dugas",B0W 2J0,Meteghan N.-É.,Province of Nova Scotia,288 ch peter dugas meteghan n é b0w 2j0 ns,288,ch peter dugas meteghan n é
322,École Wedgeport,160,public,PP - 6,"44, ch. Ditcher Wedgeport N.-É. B0W 3P0 NS","44, ch. Ditcher",B0W 3P0,Wedgeport N.-É.,Province of Nova Scotia,44 ch ditcher wedgeport n é b0w 3p0 ns,44,ch ditcher wedgeport n é
323,Aspotogan Consolidated Elementary School,925,public,PP - 5,105 Parkwood Dr Mill Cove NS B0J 1T0 NS,105 Parkwood Dr,B0J 1T0,Mill Cove NS,Province of Nova Scotia,105 parkwood dr mill cove ns b0j 1t0 ns,105,parkwood dr
324,Bayview Community School,926,public,PP - 9,110 Clearway St Mahone Bay NS B0J 2E0 NS,110 Clearway St,B0J 2E0,Mahone Bay NS,Province of Nova Scotia,110 clearway st mahone bay ns b0j 2e0 ns,110,clearway st
325,Big Tancook Elementary School,405,public,PR - 5,36 School Rd Big Tancook Island NS B0J 3G0 NS,36 School Rd,B0J 3G0,Big Tancook Island NS,Province of Nova Scotia,36 school rd big tancook island ns b0j 3g0 ns,36,school rd
326,Bluenose Academy,1156,public,PP - 9,18 Tannery Rd Lunenburg NS B0J 2C0 NS,18 Tannery Rd,B0J 2C0,Lunenburg NS,Province of Nova Scotia,18 tannery rd lunenburg ns b0j 2c0 ns,18,tannery rd
327,Bridgewater Elementary School,509,public,PP - 4,130 York St Bridgewater NS B4V 1R3 NS,130 York St,B4V 1R3,Bridgewater NS,Province of Nova Scotia,130 york st bridgewater ns b4v 1r3 ns,130,york st
328,Bridgewater Junior High School,508,public,05 - 12,100 York St Bridgewater NS B4V 1R3 NS,100 York St,B4V 1R3,Bridgewater NS,Province of Nova Scotia,100 york st bridgewater ns b4v 1r3 ns,100,york st
329,Chester Area Middle School,216,public,05 - 8,204 Duke St Chester NS B0J 1J0 NS,204 Duke St,B0J 1J0,Chester NS,Province of Nova Scotia,204 duke st chester ns b0j 1j0 ns,204,duke st
330,Chester District Elementary School,207,public,PP - 4,202 Duke St Chester NS B0J 1J0 NS,202 Duke St,B0J 1J0,Chester NS,Province of Nova Scotia,202 duke st chester ns b0j 1j0 ns,202,duke st
331,Dr. John C. Wickwire Academy,386,public,PP - 5,311 Port Mouton Rd Liverpool NS B0T 1K0 NS,311 Port Mouton Rd,B0T 1K0,Liverpool NS,Province of Nova Scotia,311 port mouton rd liverpool ns b0t 1k0 ns,311,port mouton rd
332,Forest Heights Community School,80,public,09 - 12,847 Hwy 12 Chester Basin NS B0J 1K0 NS,847 Hwy 12,B0J 1K0,Chester Basin NS,Province of Nova Scotia,847 hwy 12 chester basin ns b0j 1k0 ns,847,hwy 12
333,Greenfield Elementary School,1150,public,PR - 6,5060 Hwy 210 Greenfield NS B0T 1E0 NS,5060 Hwy 210,B0T 1E0,Greenfield NS,Province of Nova Scotia,5060 hwy 210 greenfield ns b0t 1e0 ns,5060,hwy 210
334,Hebbville Academy,917,public,PP - 9,16147 Hwy 3 Hebbville NS B4V 6Y1 NS,16147 Hwy 3,B4V 6Y1,Hebbville NS,Province of Nova Scotia,16147 hwy 3 hebbville ns b4v 6y1 ns,16147,hwy 3 hebbville ns b4v
335,Liverpool Regional High School,710,public,09 - 12,104 College St Liverpool NS B0T 1K0 NS,104 College St,B0T 1K0,Liverpool NS,Province of Nova Scotia,104 college st liverpool ns b0t 1k0 ns,104,college st
336,New Germany Elementary School,397,public,PP - 6,150 School St New Germany NS B0R 1E0 NS,150 School St,B0R 1E0,New Germany NS,Province of Nova Scotia,150 school st new germany ns b0r 1e0 ns,150,school st
337,New Germany Rural High School,402,public,07 - 12,44 School St New Germany NS B0R 1E0 NS,44 School St,B0R 1E0,New Germany NS,Province of Nova Scotia,44 school st new germany ns b0r 1e0 ns,44,school st
338,New Ross Consolidated School,214,public,PP - 8,4689 Hwy 12 New Ross NS B0J 2M0 NS,4689 Hwy 12,B0J 2M0,New Ross NS,Province of Nova Scotia,4689 hwy 12 new ross ns b0j 2m0 ns,4689,hwy 12
339,Newcombville Elementary School,404,public,PP - 5,4220 Hwy 325 Newcombville NS B4V 7W2 NS,4220 Hwy 325,B4V 7W2,Newcombville NS,Province of Nova Scotia,4220 hwy 325 newcombville ns b4v 7w2 ns,4220,hwy 325
340,North Queens Community School,459,public,PP - 12,40 West Caledonia Rd Caledonia NS B0T 1E0 NS,40 West Caledonia Rd,B0T 1E0,Caledonia NS,Province of Nova Scotia,40 west caledonia rd caledonia ns b0t 1e0 ns,40,west caledonia rd
341,Park View Education Centre,409,public,10 - 12,1485 King St Bridgewater NS B4V 1C4 NS,1485 King St,B4V 1C4,Bridgewater NS,Province of Nova Scotia,1485 king st bridgewater ns b4v 1c4 ns,1485,king st
342,Pentz Elementary School,400,public,PP - 6,2680 Hwy 331 LaHave NS B0R 1C0 NS,2680 Hwy 331,B0R 1C0,LaHave NS,Province of Nova Scotia,2680 hwy 331 lahave ns b0r 1c0 ns,2680,hwy 331
343,Petite Rivière Elementary School,401,public,PP - 6,123 Wentzell Rd Petite Rivière NS B4V 5Y2 NS,123 Wentzell Rd,B4V 5Y2,Petite Rivière NS,Province of Nova Scotia,123 wentzell rd petite rivière ns b4v 5y2 ns,123,wentzell rd
344,South Queens Middle School,1185,public,06 - 8,157 Old Bridge St Liverpool NS B0T 1K0 NS,157 Old Bridge St,B0T 1K0,Liverpool NS,Province of Nova Scotia,157 old bridge st liverpool ns b0t 1k0 ns,157,old bridge st
345,SSRCE Adult High School,1171,public,10 - 12,137 Old Bridge St Liverpool NS B0T 1K0 NS,137 Old Bridge St,B0T 1K0,Liverpool NS,Province of Nova Scotia,137 old bridge st liverpool ns b0t 1k0 ns,137,old bridge st
346,SSRCE Alternate Programs,1172,public,07 - 12,45 School St Mahone Bay NS B0J 2E0 NS,45 School St,B0J 2E0,Mahone Bay NS,Province of Nova Scotia,45 school st mahone bay ns b0j 2e0 ns,45,school st
347,West Northfield Elementary School,394,public,PP - 6,6 Victoria Acres Dr West Northfield NS B4V 5C7 NS,6 Victoria Acres Dr,B4V 5C7,West Northfield NS,Province of Nova Scotia,6 victoria acres dr west northfield ns b4v 5c7 ns,6,victoria acres dr
348,Barrington Municipal High School,167,public,07 - 12,536 Oak Park Rd Barrington NS B0W 1E0 NS,536 Oak Park Rd,B0W 1E0,Barrington NS,Province of Nova Scotia,536 oak park rd barrington ns b0w 1e0 ns,536,oak park rd
349,Carleton Consolidated School,497,public,PP - 6,4014 Hwy 340 Carleton NS B5A 5P8 NS,4014 Hwy 340,B5A 5P8,Carleton NS,Province of Nova Scotia,4014 hwy 340 carleton ns b5a 5p8 ns,4014,hwy 340
