,MUNID,CODEID,TYPE,NO_CIVIQUE,GENERIQUE,LIAISON,SPECIFIQUE,DIRECTION,ADR_COMPLE,NOM_TOPOGR,COTE,SECTION,ENTITEID,GEOM,LONGITUDE,LATITUDE
105,81017,247,École secondaire,,,,,,389 Boulevard de la Cité-des-Jeunes,École secondaire Mont-Bleu,,,{BDEEA6CA-0523-4B64-A775-125E8E7EDA61},POINT (-75.771125 45.461833),45.461833,-75.771125
106,81017,250,Édifice communautaire,,,,,,331 Boulevard de la Cité-des-Jeunes,Cabane en bois rond,,,{489DCB34-4022-43C4-A0F5-6970F7214C72},POINT (-75.767525 45.457858),45.457858,-75.767525
107,81017,252,Police municipale,,,,,,830 Rue Georges,Poste police secteur de Buckingham,,,{5494EE61-0464-4956-AC05-759EF5BA4D63},POINT (-75.423343 45.573417),45.573417,-75.423343
108,81017,253,École primaire,,,,,,231 Rue Dorchester,École du Boisé,,,{15690246-E141-4287-A9FF-AD3CBB87E00F},POINT (-75.405793 45.587746),45.587746,-75.405793
109,81017,254,Parc récréatif,,,,,,674 Rue des Écureuils,Parc de Lucerne-Nord,,,{8A343C93-45D5-4879-9664-A62BA5C33C8B},POINT (-75.878278 45.458372),45.458372,-75.878278
110,81017,255,Police municipale,,,,,,625 Chemin d'Aylmer,Poste police secteur d'Aylmer,,,{8F9EB85C-B5EE-4C00-852C-743F35650302},POINT (-75.80762 45.400174),45.400174,-75.80762
111,81017,256,Centre communautaire,,,,,,57 Chemin Vanier,Centre communautaire André-Touchet,,,{491DEA99-CA1B-46D4-AF39-7DEE7D855331},POINT (-75.80397 45.383825),45.383825,-75.80397
112,81017,257,École primaire,,,,,,86 Promenade Crescent,École South Hull,,,{2D0B1768-4768-426C-9883-65C80CCCFC49},POINT (-75.804044 45.397347),45.397347,-75.804044
113,81017,723,Résidence pour personnes âgées,,,,,,465 Boulevard de la Gappe,Résidence de la Gappe Phase 1,,,{23CBA4A5-A3AB-4628-88C0-F156E9197AF0},POINT (-75.699063 45.47956),45.47956,-75.699063
114,81017,785,Résidence pour personnes âgées,,,,,,90 Rue de la Futaie,La Cité-Jardin plus,,,{FB14D156-A086-45B7-A078-58E4933F7353},POINT (-75.686447 45.486747),45.486747,-75.686447
115,81017,1102,Service de garderie,,,,,,201 Rue du Prado,Garderie éducative Parfaitement Petit,,,{815B1FA4-A67C-4492-9826-44081C020ADB},POINT (-75.803738 45.437324),45.437324,-75.803738
116,81017,787,Service de garderie,,,,,,195 Avenue Lépine,CPE Les petits Fripons (Lépine),,,{FD50D366-0979-4F2B-9829-713B4FFAE2C4},POINT (-75.398472 45.576035),45.576035,-75.398472
117,81017,788,Service de garderie,,,,,,39 Boulevard Montclair,Garderie éducative Le petit Caneton,,,{6809BAEE-4A35-4FF5-8805-19223AC4B0E4},POINT (-75.734439 45.440098),45.440098,-75.734439
118,81017,789,Service de garderie,,,,,,104 Rue Bédard,Garderie Imagine 2,,,{91C4DEA5-57A0-4715-BD83-240762F80CC6},POINT (-75.751586 45.45483),45.45483,-75.751586
119,81017,790,Service de garderie,,,,,,201(A) Rue du Prado,Garderie éducative Parfaitement plus Grand,,,{35785047-699F-4CDE-BD8C-0F68D7D790D8},POINT (-75.803604 45.437232),45.437232,-75.803604
120,81017,791,Service de garderie,,,,,,123 Avenue Gatineau,Garderie Maison d'enfants Montessori Gatineau,,,{E7986E19-D149-47AC-BB31-12FBFD63D8DA},POINT (-75.718776 45.48422),45.48422,-75.718776
121,81017,500,Centre récréatif,,,,,,741 Boulevard Maloney Est,Centre de plein air Hélène-Larochelle,,,{2BCE7511-80C2-4386-92B7-094D6D779952},POINT (-75.622567 45.491536),45.491536,-75.622567
122,81017,502,Autre parc,,,,,,172 Rue Fernand-Arvisais,Parc John-R.-Luck,,,{9C5FB107-BCA4-42EF-A592-B207F2A4B184},POINT (-75.645652 45.483555),45.483555,-75.645652
123,81017,507,Parc récréatif,,,,,,77 Rue Sabourin,Parc Racicot,,,{4F1A866E-3321-419C-B476-9BB18F27CF69},POINT (-75.632136 45.479637),45.479637,-75.632136
124,81017,510,Parc récréatif,,,,,,27 Rue Thérèse,Parc Hector-Aubin,,,{6C7F4791-7DEE-48D7-9C3C-39D8C9DFC2A0},POINT (-75.627025 45.522561),45.522561,-75.627025
125,81017,511,Parc récréatif,,,,,,1307 Rue Gilles,Parc Irène,,,{DC4BBDC9-592D-4D20-BC47-43FED02D3358},POINT (-75.640359 45.527679),45.527679,-75.640359
126,81017,512,Parc récréatif,,,,,,101 Rue d'Arizona,Parc Gérard-Marchand,,,{CAC80349-2925-424A-A939-6FB45CEAFE60},POINT (-75.498863 45.523283),45.523283,-75.498863
127,81017,515,Parc récréatif,,,,,,1100 Rue Yvon-Pichette,Parc Gilles-Maisonneuve,,,{341CDD32-EE10-4216-A06C-392D65D87FD6},POINT (-75.488459 45.526499),45.526499,-75.488459
128,81017,516,Parc récréatif,,,,,,39(A) Rue de Grandpré,Parc Valpin,,,{75186E67-E738-46DF-B379-7D29F3A528FF},POINT (-75.493347 45.528662),45.528662,-75.493347
129,81017,328,Parc récréatif,,,,,,250 Avenue du Bois-Franc,Parc des Jardins-Lavigne,,,{2E1D3703-3FEC-4E3A-8899-511307EA1B4F},POINT (-75.838583 45.417686),45.417686,-75.838583
130,81017,329,Réservoir d'eau potable,,,,,,401 Chemin McConnell,Réservoir McConnell,,,{567EED8E-CD84-4831-B1D0-87FE4B96EDBC},POINT (-75.824681 45.412412),45.412412,-75.824681
