BRIDGE_NO,BRIDGE_NAME,LOCATION,LENGTH_BRIDGE,WIDTH_CLEAR,WIDTH_OUT_TO_OUT,POSTED_CLEARANCE,POSTED_LOAD,IN_SERVICE_DATE,multipolygon
384.102,,CPR/14 St SW Subway,21.35000038,19.36000061,23.65999985,4.2 M,,1954/07/01,"MULTIPOLYGON (((-114.094870331613 51.044956689928, -114.094552563331 51.044945501696, -114.094543008797 51.044710870138, -114.094860762357 51.044716335542, -114.094852163233 51.044950981808, -114.094870331613 51.044956689928)))"
382.144A,,Glenmore Tr/LRT,20.42000008,21.89999962,28.70000076,,,1980/07/01,"MULTIPOLYGON (((-114.066367805092 50.994155540102, -114.06636152325 50.994201666802, -114.066351210894 50.994277377667, -114.066718687309 50.994308975252, -114.066977621386 50.994330488952, -114.067304667848 50.99435806964, -114.067303994121 50.994362057909, -114.067300984209 50.99437985138, -114.06705099745 50.994357586209, -114.066794532559 50.99433456277, -114.06656560764 50.994315192721, -114.066482068089 50.994308096982, -114.066478321744 50.994324144131, -114.066340542619 50.99431329443, -114.066230236645 50.994303344158, -114.066232717187 50.994285652599, -114.06612985734 50.994276770496, -114.066034887466 50.994268568867, -114.065999637781 50.994265525057, -114.06572288345 50.994243737834, -114.065473179972 50.994225336544, -114.065288276119 50.994212825512, -114.065103161543 50.994201336446, -114.064836335077 50.994185418231, -114.064382445891 50.994158051628, -114.064350636153 50.994155718317, -114.064352905533 50.994137273568, -114.064353353498 50.994133636942, -114.064724090359 50.994157621937, -114.064724638846 50.994157657592, -114.064783101822 50.994161438668, -114.065211654067 50.994189238582, -114.065554551667 50.994212606291, -114.065879344255 50.994238145253, -114.065888152438 50.994172037296, -114.065890269554 50.994156146609, -114.065893393079 50.994132706608, -114.065896261471 50.994111177086, -114.065896909865 50.994106318626, -114.065898416651 50.99409500949, -114.065904941737 50.99404731845, -114.065911496416 50.993999409838, -114.065918194895 50.993950452033, -114.065760125468 50.993943010343, -114.065760125785 50.993940210915, -114.065762315618 50.993924344461, -114.065762326892 50.993924258153, -114.065787834203 50.993925351337, -114.066018448557 50.993935236805, -114.066175863896 50.993942498719, -114.066280556276 50.993947327135, -114.066282615696 50.993928035626, -114.066373197091 50.993931996356, -114.066390178255 50.993932739155, -114.066387679412 50.993967501484, -114.06649904519 50.993971984299, -114.066499113612 50.993975006636, -114.066387010263 50.993970755278, -114.066386759535 50.993970745532, -114.066382547539 50.994014869027, -114.066376609157 50.994077056733, -114.06637218941 50.994123351385, -114.066370459649 50.994136050478, -114.066369770282 50.994141112134, -114.06636857482 50.994149892264, -114.066367805092 50.994155540102)))"
381.603,,Rideau Park / Elbow River,60,3,4,,,2014/11/30,"MULTIPOLYGON (((-114.078181748083 51.024986865831, -114.077258801297 51.024987479648, -114.077258679557 51.02491424011, -114.078193849575 51.024913618116, -114.078181748083 51.024986865831)))"
382.110,,16 Ave/University Dr NW,64.59999847,15.23999977,18.14999962,4.7 M,,1959/07/01,"MULTIPOLYGON (((-114.123093374497 51.067919753369, -114.122068305387 51.067688981153, -114.121907531505 51.067484802212, -114.122911901396 51.067713404122, -114.123093374497 51.067919753369)))"
382.196,,Glenmore Tr Ramp to Elbow Drive,46,7,8.11999989,5.5 M,,2006/07/01,"MULTIPOLYGON (((-114.079164650624 50.994626896967, -114.079166637837 50.994626895621, -114.078407853454 50.994721442538, -114.078463355842 50.99464617763, -114.079212222764 50.994561667907, -114.079164650624 50.994626896967)))"
382.127,,McKnight Bv/Deerfoot Tr NE,,,,5.4 M,,1970/07/01,"MULTIPOLYGON (((-114.041614436263 51.095932571287, -114.041633410225 51.095961927441, -114.041637428898 51.095968144153, -114.041679375574 51.096033041704, -114.041701284649 51.096066937474, -114.041736310643 51.096121127197, -114.041757906712 51.096154540323, -114.041806946172 51.096230410761, -114.041809852631 51.096234907246, -114.041809629918 51.096234906426, -114.041477096017 51.096234024311, -114.041464578384 51.096233990994, -114.041399957246 51.096233819716, -114.041389167095 51.09623381994, -114.041310469515 51.096233818105, -114.041251275012 51.09623381653, -114.041129281198 51.09623381276, -114.041037270815 51.096233810029, -114.041009470252 51.096233804501, -114.040951923245 51.096233793206, -114.040938209271 51.096233789918, -114.040884227097 51.09623377914, -114.040873986588 51.096233777327, -114.040823335113 51.096233766255, -114.040702553354 51.096233741839, -114.040602977857 51.096233721623, -114.040579301909 51.096233880868, -114.040561856173 51.096233997494, -114.040443163777 51.096234795538, -114.04043240367 51.09623486848, -114.040391433314 51.096235144239, -114.040335275743 51.096235521413, -114.040321694622 51.096235612398, -114.040273801647 51.096235934552, -114.040112995831 51.096237579201, -114.040001981771 51.096238920733, -114.039999917756 51.09623437627, -114.039986489516 51.096204816588, -114.039963123163 51.096153381282, -114.039947379225 51.096118725253, -114.03993389956 51.096089052313, -114.039908138914 51.096032343582, -114.039875591339 51.095960698153, -114.039872460312 51.095953805954, -114.039866804726 51.095941355413, -114.039865580352 51.095938661631, -114.040141636125 51.095947704269, -114.04020040563 51.095948632486, -114.040210200786 51.095948787336, -114.040272002638 51.095949763918, -114.040316489865 51.09595046686, -114.04032617652 51.09595061994, -114.040393590497 51.095951685317, -114.040398458809 51.095951761845, -114.040409193364 51.095951931636, -114.04052784747 51.09595225465, -114.040643028127 51.095952567963, -114.040700617741 51.095952724128, -114.040713096753 51.095952758439, -114.040758155962 51.095952881182, -114.040771097529 51.095952916224, -114.040817186067 51.095953041282, -114.040829238082 51.095952924703, -114.040948910221 51.095951769036, -114.041068378204 51.095950616014, -114.041129494848 51.095950025486, -114.041135335263 51.095949968595, -114.041203680787 51.095948618556, -114.04128147139 51.095947081754, -114.041293631793 51.095946841931, -114.041350162388 51.095945725215, -114.041501662563 51.095940140205, -114.041614436263 51.095932571287)))"
381.144,,Macleod Tr/Anderson LRT,114.19999695,1.89999998,1.89999998,None (LRT and railway under),,1980/07/01,"MULTIPOLYGON (((-114.074784581691 50.954065289339, -114.074680209187 50.953720673518, -114.074724991728 50.953716603028, -114.074831423086 50.95408366251, -114.074568613622 50.954109749301, -114.074471272623 50.954112731317, -114.074189699109 50.953975823906, -114.074184309359 50.953906232212, -114.074117849151 50.953585838388, -114.074102618507 50.953579439169, -114.074130883651 50.953806931607, -114.074092831214 50.953805352858, -114.074059472229 50.953563444779, -114.074145705053 50.953556981186, -114.074247810402 50.953960666909, -114.074451239056 50.954067695826, -114.07451376925 50.954085201489, -114.074784581691 50.954065289339)), ((-114.074680209187 50.953720673518, -114.074676386826 50.953721021173, -114.0746798561 50.953718825425, -114.074680209187 50.953720673518)))"
381.606,,Weaselhead/Glenmore Reser,78.23000336,2.0999999,2.0999999,,,1995/07/01,"MULTIPOLYGON (((-114.146800253226 50.991197857988, -114.146383224847 50.991853030827, -114.146343568226 50.991840756362, -114.146759312885 50.991187599895, -114.14680503072 50.991197851985, -114.146800253226 50.991197857988)))"
381.137,,16 Ave/16 St NW,145.05999756,2.13000011,2.13000011,WB 5.4 M / EB 5.6 M,,1981/07/01,"MULTIPOLYGON (((-114.101331997546 51.067089036191, -114.101293582029 51.067088911266, -114.101292546489 51.066614454583, -114.101698765828 51.066614101888, -114.101698857843 51.066656092707, -114.101331088618 51.066656412078, -114.101331997546 51.067089036191)))"
381.163,,Stoney Tr / Arbour Stone Cl NW,120,3,3.5999999,,,2010/07/01,"MULTIPOLYGON (((-114.213399686408 51.138980940776, -114.213310497771 51.139012325248, -114.212362587082 51.137933773377, -114.212441847573 51.137902407654, -114.213399686408 51.138980940776)))"
