OBJECTID,DT_MAJ_GDUNO,CD_IMM,CD_CS,NUM_IMM_CS,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,PRESC,PRIM,SEC,FORM_PRO,ADULTE,STAT_PROP_IMM,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,TYPE_CS,STYLE_CART,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+
1973,20201019,869007,869000,7,Virginie-Roy,"476, boulevard Grand",,71060,L'Île-Perrot,V,J7V4X5,1,1,0,0,0,Propriété de la CS,-73.967051,45.388708,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
1974,20201019,888071,888000,71,Soulanges,"1135, côte Saint-Georges",,71015,Saint-Télesphore,M,J0P1Y0,1,1,0,0,0,Propriété de la CS,-74.418432,45.297883,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
1975,20201019,888004,888000,4,Edgewater,"220, boulevard Cardinal Léger",,71070,Pincourt,V,J7V3Y5,1,1,0,0,0,Propriété de la CS,-73.99002,45.380621,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
1976,20201019,888005,888000,5,Mount Pleasant,"97, rue Mount Pleasant",,71100,Hudson,V,J0P1H0,1,1,0,0,0,Propriété de la CS,-74.141942,45.451515,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
1977,20201019,869006,869000,6,Harwood,"186, 8e Avenue",,71083,Vaudreuil-Dorion,V,J7V3B2,1,1,0,0,0,Propriété de la CS,-74.031667,45.380084,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
1978,20201019,888008,888000,8,Allancroft,"265, chemin Allancroft",,66107,Beaconsfield,V,H9W2R8,0,0,0,0,1,Propriété de la CS,-73.858639,45.441049,Éducation aux adultes,Anglo,4_Imm_Anglo_Fp_Adulte,0,0,0,0,0
1979,20201019,888009,888000,9,Beacon Hill,"170,  Alton Drive",,66107,Beaconsfield,V,H9W2Z3,1,1,0,0,0,Propriété de la CS,-73.843877,45.439259,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
1980,20201019,888010,888000,10,Place Cartier Adult Education,"257, boulevard Beaconsfield",,66107,Beaconsfield,V,H9W4A5,0,0,0,0,1,Propriété de la CS,-73.861626,45.428352,Éducation aux adultes,Anglo,4_Imm_Anglo_Fp_Adulte,0,0,0,0,0
1981,20201019,763077,763000,77,Beaconsfield,"91, promenade Sweetbriar",,66107,Beaconsfield,V,H9W5M7,1,1,0,0,0,Propriété de la CS,-73.838473,45.435324,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
1982,20201019,888012,888000,12,Clearpoint,"17, avenue Cedar",,66097,Pointe-Claire,V,H9S4X9,1,1,0,0,0,Propriété de la CS,-73.815046,45.435559,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
2147,20201019,689031,689000,31,Saint-Augustin,Saint-Augustin,,98012,Saint-Augustin,M,G0G2R0,1,1,1,1,1,Propriété de la CS,-58.647792,51.226592,Préscolaire - Primaire - Secondaire - Formation professionnelle - Éducation aux adultes,Statut,2_Imm_Statut_prim_sec,1,1,1,1,1
2148,20201019,689039,689000,39,Saint-Joseph,Port-Menier,,98020,L'Île-d'Anticosti,M,G0G2Y0,1,1,1,1,1,Propriété de la CS,-64.350185,49.817597,Préscolaire - Primaire - Secondaire - Formation professionnelle - Éducation aux adultes,Statut,2_Imm_Statut_prim_sec,1,1,1,1,1
2149,20201019,732049,732000,49,Saint-Sacrement,"1430, chemin Sainte-Foy",,23027,Québec,V,G1S2N8,1,1,0,0,0,Propriété de la CS,-71.257226,46.793728,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2150,20201019,732033,732000,33,Sacré-Coeur,"240, rue de Jumonville",,23027,Québec,V,G1K1G4,1,1,0,0,0,Propriété de la CS,-71.238047,46.813691,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2151,20201019,732852,732000,852,"Centre pédopsychiatrique, rés. du Sacré-Coeur-CHUQ","1, avenue du Sacré-Coeur",,23027,Québec,V,G1N2W1,1,1,1,0,0,Entente MEES/MSSS,-71.245537,46.813282,Préscolaire - Primaire - Secondaire,Franco,2_Imm_Franco_prim_sec,1,1,1,1,0
2152,20201019,732012,732000,12,Dominique-Savio,"2050, rue de la Trinité",,23027,Québec,V,G1J2M4,1,1,0,0,0,Propriété de la CS,-71.216659,46.836228,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2153,20201019,689036,689000,36,Nétagamiou,Chevery,,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,M,G0G1G0,1,1,1,1,1,Propriété de la CS,-59.618853,50.467458,Préscolaire - Primaire - Secondaire - Formation professionnelle - Éducation aux adultes,Statut,2_Imm_Statut_prim_sec,1,1,1,1,1
2154,20201019,689037,689000,37,Gabriel Dionne,Tête-à-la-Baleine,,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,M,G0G2W0,1,1,1,1,1,Propriété de la CS,-59.324862,50.701468,Préscolaire - Primaire - Secondaire - Formation professionnelle - Éducation aux adultes,Statut,2_Imm_Statut_prim_sec,1,1,1,1,1
2155,20201019,732046,732000,46,"Jeunes-du-Monde, Champfleury","2490, avenue Champfleury",,23027,Québec,V,G1J4N9,1,1,0,0,0,Propriété de la CS,-71.2296,46.843919,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2156,20201019,732045,732000,45,Saint-Paul-Apôtre,"2352, 8e Avenue",,23027,Québec,V,G1J3P2,1,1,0,0,0,Propriété de la CS,-71.233604,46.836795,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2322,20201019,762436,762000,436,"Saint-Donat, annexe","3100, rue Arcand",,66023,Montréal,V,H1N3C7,1,1,0,0,0,Propriété de la CS,-73.539188,45.584086,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2323,20201019,762039,762000,39,Robert-Gravel,"38, avenue Fairmount Est",,66023,Montréal,V,H2T1C9,0,0,1,0,0,Propriété de la CS,-73.593701,45.524639,Secondaire,Franco,3_Imm_Franco_secondaire,0,0,1,1,0
2324,20201019,761040,761000,40,René-Guenette,"11070, avenue Rome",,66023,Montréal,V,H1H4P6,1,1,0,0,0,Propriété de la CS,-73.644645,45.590102,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2325,20201019,762250,762000,250,"Des Cinq-Continents, pavillon Saint-Antonin","5325, avenue MacDonald",,66023,Montréal,V,H3X2W6,1,1,0,0,0,Propriété de la CS,-73.636113,45.482681,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2326,20201019,762254,762000,254,Simonne-Monet,"3850, avenue Dupuis",,66023,Montréal,V,H3T1E6,1,1,0,0,0,Propriété de la CS,-73.62742,45.496252,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2327,20201019,888064,888000,64,Lasalle Junior,"8340, rue David-Boyer",,66023,Montréal,V,H8N2A1,1,1,0,0,0,Propriété de la CS,-73.62571,45.432364,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
2328,20201019,887173,887000,173,Parkdale,"1475, rue Deguire",,66023,Montréal,V,H4L1M4,1,1,0,0,0,Propriété de la CS,-73.690868,45.520297,Préscolaire - Primaire,Anglo,1_Imm_Anglo_primaire,1,1,0,0,0
2329,20201019,762022,762000,22,Centre Gabrielle-Roy,"8699, boulevard Saint-Michel",,66023,Montréal,V,H1Z3G1,0,0,0,0,1,Propriété de la CS,-73.62032,45.568958,Éducation aux adultes,Franco,4_Imm_Franco_Fp_Adulte,0,0,0,0,0
2330,20201019,762100,762000,100,Saint-Étienne,"5959, avenue Christophe-Colomb",,66023,Montréal,V,H2S2G3,1,1,0,0,0,Propriété de la CS,-73.596473,45.536091,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2331,20201019,762404,762000,404,Camille-Laurin,"8000, avenue de l'Épée",,66023,Montréal,V,H3N2E9,1,0,0,0,0,Propriété de la CS,-73.634181,45.530636,Préscolaire,Franco,1_Imm_Franco_primaire,1,0,0,0,0
2332,20201019,761019,761000,19,Sainte-Colette,"12001, rue Jean-Paul-Cardinal",,66023,Montréal,V,H1G4W4,1,1,0,0,0,Propriété de la CS,-73.629798,45.610141,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2333,20201019,762006,762000,6,Marguerite-Bourgeoys,"2070, rue Plessis",,66023,Montréal,V,H2L2Y3,1,1,0,0,0,Propriété de la CS,-73.562042,45.52368,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2488,20201019,762028,762000,28,Louis-Joseph-Papineau,"2901, rue de Louvain Est",,66023,Montréal,V,H1Z1J7,1,1,1,0,0,Propriété de la CS,-73.633932,45.571327,Préscolaire - Primaire - Secondaire,Franco,2_Imm_Franco_prim_sec,1,1,1,1,0
