OBJECTID;DT_MAJ_GDUNO;CD_ORGNS;NOM_COURT;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;PRESC;PRIM;SEC;FORM_PRO;ADULTE;TYPE_ORGNS;RESEAU;SITE_WEB;CD_ORGNS_RESP;NOM_ORGNS_RESP;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;STYLE_CART
649;20201019;646501;École trilingue Vision Saguenay;École trilingue Vision Saguenay;683, rue Chabanel;;94068;Saguenay;V;G7H1Z7;1;1;0;0;0;Installation;Privé;https://saguenay.ecolevision.com/;646500;École trilingue Vision Saguenay;-71.038674;48.417987;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
651;20201019;647501;École de la Relève Ali Nestor;École de la Relève Ali Nestor;3700, boulevard Crémazie Est;;66023;Montréal;V;H2A1B2;0;0;1;0;1;Installation;Privé;;647500;École de la Relève Ali Nestor;-73.602891;45.56596;Secondaire - Éducation aux adultes;3_Priv_Bat_Secondaire
653;20201019;648501;L'Académie de la Vallée du Roy;L'Académie de la Vallée du Roy;100, rue des Trembles;;52007;Lavaltrie;V;J5T0G2;0;1;0;0;0;Installation;Privé;;648500;L'Académie de la Vallée du Roy;-73.289533;45.871337;Primaire;2_Priv_Bat_Prim
655;20201019;649501;Académie Blaise Pascal;Académie Blaise Pascal;5320 rue d'Amos;;66023;Montréal;V;H1G2Y1;1;1;0;0;0;Installation;Privé;www.academieblaisepascal.ca;649500;Académie Blaise Pascal;-73.623667;45.603039;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
657;20201019;650501;Collège Milestone;Collège Milestone;6400, avenue Auteuil, bureau 200;;58007;Brossard;V;J4Z3P5;0;0;0;1;0;Installation;Privé;www.collegemilestone.ca;650500;Collège Milestone;-73.465233;45.467752;Formation professionnelle;8_Priv_Bat_FP
659;20201019;651501;École du Routier R.C.;École du Routier R.C.;2150, rue André-C.-Hamel;;49058;Drummondville;V;J2C8B1;0;0;0;1;0;Installation;Privé;;651500;École du Routier R.C.;-72.524997;45.874667;Formation professionnelle;8_Priv_Bat_FP
661;20201019;652501;Collège St-Michel;Collège St-Michel;1995, rue Bélanger;;66023;Montréal;V;H2G1B8;0;0;0;1;0;Installation;Privé;;652500;Collège St-Michel;-73.602282;45.548009;Formation professionnelle;8_Priv_Bat_FP
663;20201019;653501;Édu2;Édu2;5800, boulevard Saint-Laurent;;66023;Montréal;V;H2T1T3;0;1;1;0;0;Installation;Privé;edu2.ca;653500;Édu2;-73.602526;45.527232;Primaire - Secondaire;7_Priv_Bat_Prim_Sec
665;20201019;654501;Les Centres Pédago. Accomp. Scolaire;Les Centres Pédagogiques Accompagnement Scolaire;186, boulevard Sainte-Rose;;65005;Laval;V;H7L1L4;0;0;1;0;1;Installation;Privé;;654500;Les Centres Pédagogiques Accompagnement Scolaire;-73.784649;45.615181;Secondaire - Éducation aux adultes;3_Priv_Bat_Secondaire
667;20201019;655501;École Primaire Let's Go;École Primaire Let's Go;109, 30e Rue;;29120;Notre-Dame-des-Pins;P;G0M1K0;1;1;0;0;0;Installation;Privé;;655500;École Primaire Let's Go;-70.709718;46.184666;Préscolaire - Primaire;4_Priv_Bat_Presc_Prim
